x,y,z,label
-0.879744,0.732168,1.58,tower_wall
-0.869298,0.729265,1.64,tower_wall
-0.923019,0.707906,1.46,tower_wall
-0.912461,0.705106,1.52,tower_wall
-0.901668,0.702151,1.58,tower_wall
-0.891041,0.699304,1.64,tower_wall
-0.880966,0.696822,1.7,tower_wall
-0.87178,0.694924,1.76,tower_wall
-0.953937,0.679068,1.4,tower_wall
-0.944135,0.676908,1.46,tower_wall
-0.933617,0.674306,1.52,tower_wall
-0.922761,0.671496,1.58,tower_wall
-0.911974,0.668728,1.64,tower_wall
-0.901656,0.66625,1.7,tower_wall
-0.892166,0.664283,1.76,tower_wall
-0.88379,0.663002,1.82,tower_wall
-0.982477,0.648467,1.34,tower_wall
-0.97396,0.647186,1.4,tower_wall
-0.96433,0.645264,1.46,tower_wall
-0.953887,0.642872,1.52,tower_wall
-0.942999,0.640223,1.58,tower_wall
-0.932076,0.637554,1.64,tower_wall
-0.921532,0.635104,1.7,tower_wall
-0.911745,0.633091,1.76,tower_wall
-0.903028,0.631695,1.82,tower_wall
-0.895595,0.631041,1.88,tower_wall
-1.008094,0.616027,1.28,tower_wall
-1.001228,0.615722,1.34,tower_wall
-0.992998,0.614682,1.4,tower_wall
-0.983576,0.612998,1.46,tower_wall
-0.973242,0.610823,1.52,tower_wall
-0.962355,0.60835,1.58,tower_wall
-0.951325,0.605799,1.64,tower_wall
-0.940576,0.6034,1.7,tower_wall
-0.930503,0.601366,1.76,tower_wall
-0.921445,0.599879,1.82,tower_wall
-0.913647,0.599071,1.88,tower_wall
-0.907244,0.599016,1.94,tower_wall
-1.030517,0.58188,1.22,tower_wall
-1.025442,0.582495,1.28,tower_wall
-1.018938,0.582392,1.34,tower_wall
-1.011024,0.581582,1.4,tower_wall
-1.001844,0.580135,1.46,tower_wall
-0.991655,0.578182,1.52,tower_wall
-0.980804,0.575896,1.58,tower_wall
-0.969698,0.573483,1.64,tower_wall
-0.958767,0.571157,1.7,tower_wall
-0.948424,0.569126,1.76,tower_wall
-0.93903,0.567572,1.82,tower_wall
-0.930861,0.566634,1.88,tower_wall
-0.924085,0.566395,1.94,tower_wall
-0.918744,0.566877,2.0,tower_wall
-1.019104,0.546701,1.46,tower_wall
-1.009097,0.544972,1.52,tower_wall
-0.998319,0.542884,1.58,tower_wall
-0.987171,0.540624,1.64,tower_wall
-0.976086,0.538392,1.7,tower_wall
-0.965491,0.53639,1.76,tower_wall
-1.024899,0.510943,1.52,arcade
-1.014874,0.509336,1.58,tower_wall
-1.00372,0.507243,1.64,tower_wall
-0.992512,0.505125,1.7,tower_wall
-0.981689,0.503174,1.76,tower_wall
-1.18294,0.478295,0.2,tower_wall
-1.039258,0.476276,1.52,arcade
-1.030443,0.475276,1.58,tower_wall
-1.01932,0.473361,1.64,tower_wall
-1.008023,0.471376,1.7,tower_wall
-0.996998,0.469498,1.76,tower_wall
-1.196998,0.443315,0.2,tower_wall
-1.187822,0.442268,0.26,tower_wall
-1.064571,0.443269,1.46,tower_wall
-1.055325,0.442197,1.52,tower_wall
-1.044997,0.44073,1.58,tower_wall
-1.033946,0.439001,1.64,tower_wall
-1.022596,0.437163,1.7,tower_wall
-1.0114,0.435381,1.76,tower_wall
-1.209943,0.40789,0.2,tower_wall
-1.201093,0.407045,0.26,tower_wall
-1.191049,0.405805,0.32,tower_wall
