x,y,z,label
-1.189092,-0.407244,0.38,tower_wall
-1.185079,-0.408002,0.44,tower_wall
-1.179615,-0.408279,0.5,tower_wall
-1.172625,-0.40805,0.56,tower_wall
-1.16417,-0.407336,0.62,tower_wall
-1.154444,-0.4062,0.68,tower_wall
-1.143751,-0.404745,0.74,tower_wall
-1.132485,-0.403099,0.8,tower_wall
-1.121089,-0.401411,0.86,tower_wall
-1.110018,-0.39983,0.92,tower_wall
-1.099699,-0.398498,0.98,tower_wall
-1.09049,-0.397534,1.04,tower_wall
-1.082652,-0.397024,1.1,tower_wall
-1.076321,-0.397014,1.16,tower_wall
-1.071501,-0.397504,1.22,tower_wall
-1.068059,-0.398451,1.28,tower_wall
-1.06574,-0.399771,1.34,tower_wall
-1.064188,-0.401344,1.4,tower_wall
-1.06298,-0.403031,1.46,tower_wall
-1.06166,-0.404681,1.52,tower_wall
-1.059784,-0.406147,1.58,tower_wall
-1.056956,-0.407298,1.64,tower_wall
-1.052866,-0.40803,1.7,tower_wall
-1.047317,-0.408279,1.76,tower_wall
-1.040242,-0.408022,1.82,tower_wall
-1.03171,-0.407283,1.88,tower_wall
-1.02192,-0.406126,1.94,tower_wall
-1.011184,-0.404656,2.0,tower_wall
-0.999899,-0.403004,2.06,tower_wall
-0.988509,-0.401318,2.12,tower_wall
-0.977469,-0.399747,2.18,tower_wall
-0.967204,-0.398433,2.24,tower_wall
-0.958066,-0.397493,2.3,tower_wall
-0.95031,-0.39701,2.36,tower_wall
-0.944065,-0.397029,2.42,tower_wall
-0.939326,-0.397546,2.48,tower_wall
-0.935955,-0.398516,2.54,tower_wall
-0.933689,-0.399853,2.6,tower_wall
-0.932169,-0.401437,2.66,tower_wall
-0.930966,-0.403126,2.72,tower_wall
-0.929627,-0.40477,2.78,tower_wall
-0.927707,-0.406221,2.84,tower_wall
-0.924815,-0.407351,2.9,tower_wall
-0.920648,-0.408057,2.96,tower_wall
-0.915014,-0.408278,3.02,tower_wall
-0.907854,-0.407993,3.08,tower_wall
-1.175878,-0.442507,0.38,tower_wall
-1.172206,-0.443464,0.44,tower_wall
-1.147103,-0.441206,0.62,arcade
-1.143153,-0.442061,0.68,tower_wall
-1.132731,-0.440561,0.74,tower_wall
-1.121629,-0.438813,0.8,tower_wall
-1.110275,-0.436973,0.86,tower_wall
-1.099119,-0.435206,0.92,tower_wall
-1.088597,-0.43367,0.98,tower_wall
-1.04935,-0.437729,1.46,tower_wall
-1.048056,-0.439551,1.52,tower_wall
-1.046328,-0.441215,1.58,tower_wall
-1.043758,-0.442573,1.64,tower_wall
-1.040014,-0.443503,1.7,tower_wall
-1.034867,-0.443922,1.76,tower_wall
-0.946642,-0.432448,2.3,tower_wall
-0.938506,-0.43178,2.36,tower_wall
-0.931844,-0.431648,2.42,tower_wall
-0.926688,-0.432065,2.48,tower_wall
-0.922937,-0.432992,2.54,tower_wall
-0.920362,-0.434348,2.6,tower_wall
-0.888803,-0.441206,3.08,arcade
-1.161576,-0.477316,0.38,tower_wall
-1.158215,-0.478483,0.44,tower_wall
-1.127458,-0.476276,0.68,arcade
-1.120597,-0.476053,0.74,tower_wall
-1.109691,-0.474223,0.8,tower_wall
-1.098416,-0.472246,0.86,tower_wall
-1.087216,-0.4703,0.92,tower_wall
-1.076531,-0.468558,0.98,tower_wall
-1.039258,-0.476276,1.52,arcade
-1.031819,-0.475823,1.58,tower_wall
-1.029472,-0.477394,1.64,tower_wall
-1.026042,-0.478534,1.7,tower_wall
-1.021275,-0.479143,1.76,tower_wall
-0.9258,-0.466241,2.36,tower_wall
-0.918737,-0.465938,2.42,tower_wall
-0.913168,-0.466229,2.48,tower_wall
-0.909028,-0.467087,2.54,tower_wall
-0.906125,-0.468436,2.6,tower_wall
-1.146212,-0.511639,0.38,tower_wall
-1.143128,-0.513026,0.44,tower_wall
-1.113099,-0.510943,0.68,arcade
-1.107352,-0.511181,0.74,tower_wall
-1.09667,-0.509291,0.8,tower_wall
-1.08551,-0.507195,0.86,tower_wall
-1.074305,-0.505079,0.92,tower_wall
-1.063495,-0.503134,0.98,tower_wall
-1.024899,-0.510943,1.52,arcade
-1.016285,-0.509945,1.58,tower_wall
-1.014121,-0.511729,1.64,tower_wall
-1.010974,-0.513089,1.7,tower_wall
-1.006562,-0.513903,1.76,tower_wall
-0.912191,-0.500371,2.36,tower_wall
-0.904747,-0.499878,2.42,tower_wall
-0.898773,-0.500019,2.48,tower_wall
-0.894242,-0.500782,2.54,tower_wall
-0.890995,-0.502098,2.6,tower_wall
-1.129813,-0.545446,0.38,tower_wall
-1.126972,-0.547059,0.44,tower_wall
-1.104037,-0.545178,0.62,arcade
-1.102484,-0.547391,0.68,tower_wall
-1.093001,-0.545907,0.74,tower_wall
-1.082568,-0.54398,0.8,tower_wall
-1.071556,-0.541782,0.86,tower_wall
-1.060384,-0.539511,0.92,tower_wall
-1.049488,-0.537368,0.98,tower_wall
-1.002721,-0.539062,1.46,tower_wall
-1.001272,-0.541324,1.52,tower_wall
-0.999752,-0.543552,1.58,tower_wall
-0.997733,-0.545549,1.64,tower_wall
-0.994834,-0.547135,1.7,tower_wall
-0.99075,-0.548168,1.76,tower_wall
-0.906788,-0.535455,2.3,tower_wall
-0.897681,-0.534147,2.36,tower_wall
-0.889878,-0.533446,2.42,tower_wall
-0.883512,-0.533415,2.48,tower_wall
-0.878591,-0.534058,2.54,tower_wall
-0.874989,-0.535316,2.6,tower_wall
-0.845737,-0.545178,3.08,arcade
-1.112407,-0.57871,0.38,tower_wall
-1.109773,-0.580551,0.44,tower_wall
-1.106056,-0.581848,0.5,tower_wall
-1.101025,-0.582486,0.56,tower_wall
-1.094567,-0.582407,0.62,tower_wall
-1.086697,-0.581618,0.68,tower_wall
-1.077553,-0.58019,0.74,tower_wall
-1.067391,-0.578251,0.8,tower_wall
-1.056556,-0.575973,0.86,tower_wall
-1.045452,-0.57356,0.92,tower_wall
-1.034508,-0.571228,0.98,tower_wall
-1.02414,-0.569185,1.04,tower_wall
-1.014711,-0.567613,1.1,tower_wall
-1.0065,-0.566654,1.16,tower_wall
-0.999678,-0.566391,1.22,tower_wall
-0.994292,-0.56685,1.28,tower_wall
-0.990259,-0.567989,1.34,tower_wall
-0.987379,-0.569706,1.4,tower_wall
-0.985344,-0.571848,1.46,tower_wall
-0.983774,-0.574224,1.52,tower_wall
-0.982247,-0.576621,1.58,tower_wall
-0.980336,-0.578825,1.64,tower_wall
-0.977649,-0.58064,1.7,tower_wall
-0.973863,-0.581902,1.76,tower_wall
-0.968754,-0.582501,1.82,tower_wall
-0.962216,-0.582381,1.88,tower_wall
-0.954269,-0.581554,1.94,tower_wall
-0.945061,-0.580093,2.0,tower_wall
-0.934851,-0.57813,2.06,tower_wall
-0.92399,-0.575839,2.12,tower_wall
-0.912883,-0.573425,2.18,tower_wall
-0.901961,-0.571104,2.24,tower_wall
-0.891637,-0.569083,2.3,tower_wall
-0.88227,-0.567542,2.36,tower_wall
-0.874133,-0.56662,2.42,tower_wall
-0.867391,-0.566398,2.48,tower_wall
-0.862084,-0.566897,2.54,tower_wall
-0.858123,-0.568071,2.6,tower_wall
-0.855299,-0.569817,2.66,tower_wall
-0.8533,-0.571977,2.72,tower_wall
-0.851744,-0.57436,2.78,tower_wall
-0.850207,-0.576752,2.84,tower_wall
-0.848262,-0.578939,2.9,tower_wall
-0.845521,-0.580726,2.96,tower_wall
-0.841666,-0.581954,3.02,tower_wall
-0.836479,-0.582513,3.08,tower_wall
-1.094021,-0.611405,0.38,tower_wall
-1.091557,-0.613473,0.44,tower_wall
-1.088103,-0.615008,0.5,tower_wall
-1.083402,-0.61587,0.56,tower_wall
-1.077313,-0.615984,0.62,tower_wall
-1.069817,-0.615339,0.68,tower_wall
-1.06102,-0.613993,0.74,tower_wall
-1.051146,-0.612065,0.8,tower_wall
-1.040513,-0.609729,0.86,tower_wall
-1.02951,-0.607193,0.92,tower_wall
-1.018555,-0.604683,0.98,tower_wall
-1.008065,-0.602424,1.04,tower_wall
-0.998414,-0.600617,1.1,tower_wall
-0.989901,-0.599424,1.16,tower_wall
-0.982725,-0.598951,1.22,tower_wall
-0.976962,-0.599241,1.28,tower_wall
-0.972566,-0.600268,1.34,tower_wall
-0.969367,-0.60194,1.4,tower_wall
-0.967086,-0.604107,1.46,tower_wall
-0.965366,-0.606576,1.52,tower_wall
-0.963797,-0.609127,1.58,tower_wall
-0.961956,-0.611532,1.64,tower_wall
-0.959446,-0.613575,1.7,tower_wall
-0.955927,-0.615075,1.76,tower_wall
-0.951152,-0.615897,1.82,tower_wall
-0.944983,-0.615968,1.88,tower_wall
-0.93741,-0.615281,1.94,tower_wall
-0.928546,-0.613898,2.0,tower_wall
-0.91862,-0.611943,2.06,tower_wall
-0.907956,-0.60959,2.12,tower_wall
-0.896943,-0.607049,2.18,tower_wall
-0.886004,-0.604548,2.24,tower_wall
-0.875552,-0.602309,2.3,tower_wall
-0.865957,-0.600533,2.36,tower_wall
-0.857515,-0.599378,2.42,tower_wall
-0.850417,-0.598947,2.48,tower_wall
-0.844734,-0.59928,2.54,tower_wall
-0.840411,-0.600346,2.6,tower_wall
-0.837271,-0.60205,2.66,tower_wall
-0.835032,-0.604239,2.72,tower_wall
-0.833331,-0.606719,2.78,tower_wall
-0.831758,-0.609268,2.84,tower_wall
-0.82989,-0.611658,2.9,tower_wall
-0.827331,-0.613675,2.96,tower_wall
-0.823748,-0.61514,3.02,tower_wall
-0.818897,-0.615921,3.08,tower_wall
-1.074683,-0.643505,0.38,tower_wall
-1.072355,-0.645798,0.44,tower_wall
-1.06913,-0.647573,0.5,tower_wall
-1.064733,-0.648672,0.56,tower_wall
-1.058994,-0.648996,0.62,tower_wall
-1.051864,-0.648517,0.68,tower_wall
-1.043416,-0.647276,0.74,tower_wall
-1.033842,-0.645386,0.8,tower_wall
-1.023434,-0.643015,0.86,tower_wall
-1.012561,-0.640374,0.92,tower_wall
-1.001629,-0.6377,0.98,tower_wall
-0.991053,-0.635231,1.04,tower_wall
-0.981215,-0.633189,1.1,tower_wall
-0.972431,-0.631755,1.16,tower_wall
-0.964922,-0.631057,1.22,tower_wall
-0.958798,-0.631158,1.28,tower_wall
-0.954041,-0.632049,1.34,tower_wall
-0.950514,-0.63365,1.4,tower_wall
-0.94797,-0.635819,1.46,tower_wall
-0.946073,-0.638361,1.52,tower_wall
-0.944429,-0.641049,1.58,tower_wall
-0.942624,-0.643644,1.64,tower_wall
-0.940254,-0.645913,1.7,tower_wall
-0.93697,-0.647654,1.76,tower_wall
-0.932501,-0.648711,1.82,tower_wall
-0.926684,-0.64899,1.88,tower_wall
-0.919477,-0.648467,1.94,tower_wall
-0.91096,-0.647186,2.0,tower_wall
-0.90133,-0.645264,2.06,tower_wall
-0.890887,-0.642872,2.12,tower_wall
-0.879999,-0.640223,2.18,tower_wall
-0.869076,-0.637554,2.24,tower_wall
-0.858532,-0.635104,2.3,tower_wall
-0.848745,-0.633091,2.36,tower_wall
-0.840028,-0.631695,2.42,tower_wall
-0.832595,-0.631041,2.48,tower_wall
-0.826549,-0.631187,2.54,tower_wall
-0.821866,-0.632121,2.6,tower_wall
-0.818402,-0.633758,2.66,tower_wall
-0.815903,-0.635953,2.72,tower_wall
-0.814031,-0.63851,2.78,tower_wall
-0.812389,-0.641199,2.84,tower_wall
-0.810562,-0.643782,2.9,tower_wall
-0.80815,-0.646026,2.96,tower_wall
-0.804806,-0.647732,3.02,tower_wall
-0.800265,-0.648748,3.08,tower_wall
-1.054422,-0.674988,0.38,tower_wall
-1.052194,-0.677499,0.44,tower_wall
-1.049165,-0.679517,0.5,tower_wall
-1.045043,-0.68086,0.56,tower_wall
-1.039633,-0.68141,0.62,tower_wall
-1.032857,-0.681116,0.68,tower_wall
-1.024756,-0.680005,0.74,tower_wall
-1.015491,-0.678176,0.8,tower_wall
-1.005328,-0.675793,0.86,tower_wall
