x,y,z,label
1.679518,0.397179,4.58,tower_wall
1.687954,0.397887,4.64,tower_wall
1.697666,0.399017,4.7,tower_wall
1.708349,0.400469,4.76,tower_wall
1.71961,0.402113,4.82,tower_wall
1.731007,0.403802,4.88,tower_wall
1.742085,0.405386,4.94,tower_wall
1.752417,0.406722,5.0,tower_wall
1.761642,0.407691,5.06,tower_wall
1.769499,0.408207,5.12,tower_wall
1.77585,0.408224,5.18,tower_wall
1.780689,0.40774,5.24,tower_wall
1.784147,0.406798,5.3,tower_wall
1.786479,0.405483,5.36,tower_wall
1.788038,0.403912,5.42,tower_wall
1.789247,0.402225,5.48,tower_wall
1.790563,0.400574,5.54,tower_wall
1.79243,0.399104,5.6,tower_wall
1.795243,0.397949,5.66,tower_wall
1.799315,0.397211,5.72,tower_wall
1.804844,0.396955,5.78,tower_wall
1.8119,0.397206,5.84,tower_wall
1.820414,0.39794,5.9,tower_wall
1.83019,0.399091,5.96,tower_wall
1.840915,0.400558,6.02,tower_wall
1.852196,0.402208,6.08,tower_wall
1.863588,0.403895,6.14,tower_wall
1.874634,0.405468,6.2,tower_wall
1.884913,0.406787,6.26,tower_wall
1.894067,0.407732,6.32,tower_wall
1.901842,0.408221,6.38,tower_wall
1.908107,0.40821,6.44,tower_wall
1.912864,0.407698,6.5,tower_wall
1.916252,0.406733,6.56,tower_wall
1.6975,0.435927,4.76,tower_wall
1.708794,0.437745,4.82,tower_wall
1.720097,0.439566,4.88,tower_wall
1.730964,0.441228,4.94,tower_wall
1.740986,0.442583,5.0,tower_wall
1.74983,0.443509,5.06,tower_wall
1.779256,0.433582,5.6,tower_wall
1.78242,0.43244,5.66,tower_wall
1.786896,0.431777,5.72,tower_wall
1.792847,0.43165,5.78,tower_wall
1.800305,0.432071,5.84,tower_wall
1.809164,0.433002,5.9,tower_wall
1.841378,0.437848,6.08,tower_wall
1.852669,0.439665,6.14,tower_wall
1.863498,0.441313,6.2,tower_wall
1.873462,0.442647,6.26,tower_wall
1.882233,0.443546,6.32,tower_wall
1.88959,0.443931,6.38,tower_wall
1.895439,0.443767,6.44,tower_wall
1.89982,0.443068,6.5,tower_wall
1.902905,0.441898,6.56,tower_wall
1.704958,0.476276,4.82,arcade
1.70809,0.475017,4.88,tower_wall
1.718717,0.476736,4.94,tower_wall
1.72841,0.478084,5.0,tower_wall
1.736866,0.478941,5.06,tower_wall
1.768712,0.466564,5.66,tower_wall
1.773594,0.466001,5.72,tower_wall
1.779957,0.466026,5.78,tower_wall
1.787794,0.466636,5.84,tower_wall
1.796968,0.467778,5.9,tower_wall
1.829497,0.473192,6.08,tower_wall
1.840651,0.475121,6.14,tower_wall
1.851235,0.476823,6.2,tower_wall
1.860866,0.478146,6.26,tower_wall
1.869246,0.478972,6.32,tower_wall
1.876189,0.479228,6.38,tower_wall
1.881639,0.47889,6.44,tower_wall
1.885671,0.477989,6.5,tower_wall
1.888487,0.476605,6.56,tower_wall
1.690599,0.510943,4.82,arcade
1.694987,0.510118,4.88,tower_wall
1.705349,0.51187,4.94,tower_wall
1.714698,0.513186,5.0,tower_wall
1.722763,0.513947,5.06,tower_wall
1.75413,0.500302,5.66,tower_wall
1.759415,0.499864,5.72,tower_wall
1.766175,0.500062,5.78,tower_wall
1.774367,0.500879,5.84,tower_wall
1.783823,0.50224,5.9,tower_wall
1.816551,0.508205,6.08,tower_wall
1.827536,0.510226,6.14,tower_wall
1.83785,0.511957,6.2,tower_wall
1.847133,0.513244,6.26,tower_wall
1.85512,0.513972,6.32,tower_wall
1.861659,0.514075,6.38,tower_wall
1.86673,0.513545,6.44,tower_wall
1.870442,0.512428,6.5,tower_wall
1.873026,0.510825,6.56,tower_wall
1.658816,0.540458,4.76,tower_wall
1.669974,0.542723,4.82,tower_wall
1.680793,0.544831,4.88,tower_wall
1.690868,0.546591,4.94,tower_wall
1.699864,0.547848,5.0,tower_wall
1.707538,0.548489,5.06,tower_wall
1.734404,0.534577,5.6,tower_wall
1.738684,0.533635,5.66,tower_wall
1.744365,0.533346,5.72,tower_wall
1.751503,0.533737,5.78,tower_wall
1.760023,0.534772,5.84,tower_wall
1.769726,0.536359,5.9,tower_wall
1.80254,0.542848,6.08,tower_wall
1.813328,0.54494,6.14,tower_wall
1.823351,0.546676,6.2,tower_wall
1.832277,0.547901,6.26,tower_wall
1.839872,0.548505,6.32,tower_wall
1.846021,0.548434,6.38,tower_wall
1.850735,0.547695,6.44,tower_wall
1.854158,0.546353,6.5,tower_wall
1.856547,0.544529,6.56,tower_wall
1.612287,0.568204,4.58,tower_wall
1.622149,0.569993,4.64,tower_wall
1.632807,0.572181,4.7,tower_wall
1.643869,0.574573,4.76,tower_wall
1.654913,0.576955,4.82,tower_wall
1.665513,0.579115,4.88,tower_wall
1.675285,0.580859,4.94,tower_wall
1.68392,0.582032,5.0,tower_wall
1.691209,0.582528,5.06,tower_wall
1.697063,0.582304,5.12,tower_wall
1.701523,0.58138,5.18,tower_wall
1.704752,0.579838,5.24,tower_wall
1.707025,0.577815,5.3,tower_wall
1.708702,0.575494,5.36,tower_wall
1.710196,0.57308,5.42,tower_wall
1.711935,0.57079,5.48,tower_wall
1.714328,0.568827,5.54,tower_wall
1.717724,0.567369,5.6,tower_wall
1.722381,0.566544,5.66,tower_wall
1.728447,0.566426,5.72,tower_wall
1.735942,0.567026,5.78,tower_wall
1.74476,0.568291,5.84,tower_wall
1.754676,0.570107,5.9,tower_wall
1.765367,0.572312,5.96,tower_wall
1.77644,0.574709,6.02,tower_wall
1.787469,0.577084,6.08,tower_wall
1.798033,0.579225,6.14,tower_wall
1.807749,0.580941,6.2,tower_wall
1.816313,0.582078,6.26,tower_wall
1.823522,0.582535,6.32,tower_wall
1.829296,0.58227,6.38,tower_wall
1.833681,0.581309,6.44,tower_wall
1.836848,0.579736,6.5,tower_wall
1.839078,0.577691,6.56,tower_wall
1.596094,0.601307,4.58,tower_wall
1.606138,0.603326,4.64,tower_wall
1.616871,0.605716,4.7,tower_wall
1.627899,0.608265,4.76,tower_wall
1.638797,0.610745,4.82,tower_wall
1.649156,0.612933,4.88,tower_wall
1.658613,0.614635,4.94,tower_wall
1.666886,0.615699,5.0,tower_wall
1.673798,0.61603,5.06,tower_wall
1.679296,0.615597,5.12,tower_wall
1.68345,0.61444,5.18,tower_wall
1.686453,0.612662,5.24,tower_wall
1.688598,0.610422,5.3,tower_wall
1.690258,0.60792,5.36,tower_wall
1.691846,0.605379,5.42,tower_wall
1.693784,0.603027,5.48,tower_wall
1.69646,0.601073,5.54,tower_wall
1.7002,0.599693,5.6,tower_wall
1.705231,0.599008,5.66,tower_wall
1.711666,0.599082,5.72,tower_wall
1.719495,0.599906,5.78,tower_wall
1.72858,0.601407,5.84,tower_wall
1.738672,0.603452,5.9,tower_wall
1.749433,0.605857,5.96,tower_wall
1.760464,0.608408,6.02,tower_wall
1.771342,0.610877,6.08,tower_wall
1.78166,0.613043,6.14,tower_wall
1.791057,0.614713,6.2,tower_wall
1.799257,0.615738,6.26,tower_wall
1.806091,0.616025,6.32,tower_wall
1.81151,0.615551,6.38,tower_wall
1.815593,0.614355,6.44,tower_wall
1.81854,0.612547,6.5,tower_wall
1.820647,0.610287,6.56,tower_wall
1.578985,0.63398,4.58,tower_wall
1.589175,0.636226,4.64,tower_wall
1.599949,0.638809,4.7,tower_wall
1.610908,0.641498,4.76,tower_wall
1.621634,0.644054,4.82,tower_wall
1.631733,0.646247,4.88,tower_wall
1.640866,0.647883,4.94,tower_wall
1.648779,0.648814,5.0,tower_wall
1.655329,0.648958,5.06,tower_wall
1.660492,0.648302,5.12,tower_wall
1.664371,0.646904,5.18,tower_wall
1.667181,0.644889,5.24,tower_wall
1.669236,0.642438,5.3,tower_wall
1.670912,0.639769,5.36,tower_wall
1.672625,0.637121,5.42,tower_wall
1.674783,0.634729,5.48,tower_wall
1.677757,0.632809,5.54,tower_wall
1.681843,0.631531,5.6,tower_wall
1.68724,0.631009,5.66,tower_wall
1.694028,0.631291,5.72,tower_wall
1.702163,0.63235,5.78,tower_wall
1.711482,0.634093,5.84,tower_wall
1.721714,0.636364,5.9,tower_wall
1.732509,0.638959,5.96,tower_wall
1.743466,0.641647,6.02,tower_wall
1.754167,0.644188,6.08,tower_wall
1.764221,0.646356,6.14,tower_wall
1.773291,0.647955,6.2,tower_wall
1.78113,0.648844,6.26,tower_wall
1.787601,0.648942,6.32,tower_wall
1.792689,0.648242,6.38,tower_wall
1.796501,0.646806,6.44,tower_wall
1.79926,0.644762,6.5,tower_wall
1.801283,0.642292,6.56,tower_wall
1.560963,0.666193,4.58,tower_wall
1.571264,0.668661,4.64,tower_wall
1.582044,0.671424,4.7,tower_wall
1.592904,0.674236,4.76,tower_wall
1.603435,0.676846,4.82,tower_wall
1.61326,0.67902,4.88,tower_wall
1.622064,0.680565,4.94,tower_wall
1.629623,0.681342,5.0,tower_wall
1.635825,0.681281,5.06,tower_wall
1.640679,0.680389,5.12,tower_wall
1.644313,0.678745,5.18,tower_wall
1.646966,0.676495,5.24,tower_wall
1.648964,0.673842,5.3,tower_wall
1.650691,0.671021,5.36,tower_wall
1.652555,0.668285,5.42,tower_wall
1.654953,0.665878,5.48,tower_wall
1.658233,0.664015,5.54,tower_wall
1.662665,0.662863,5.6,tower_wall
1.668416,0.662525,5.66,tower_wall
1.675535,0.66303,5.72,tower_wall
1.683948,0.664333,5.78,tower_wall
1.693468,0.666319,5.84,tower_wall
1.703806,0.66881,5.9,tower_wall
1.714601,0.671583,5.96,tower_wall
1.725453,0.67439,6.02,tower_wall
1.735954,0.676982,6.08,tower_wall
1.74573,0.679125,6.14,tower_wall
1.754469,0.68063,6.2,tower_wall
1.761954,0.681361,6.26,tower_wall
1.768079,0.681253,6.32,tower_wall
1.77286,0.680316,6.38,tower_wall
1.776432,0.678633,6.44,tower_wall
1.779039,0.676355,6.5,tower_wall
1.781011,0.673686,6.56,tower_wall
1.54203,0.697916,4.58,tower_wall
1.552407,0.700598,4.64,tower_wall
1.563162,0.703528,4.7,tower_wall
1.573895,0.706443,4.76,tower_wall
1.584211,0.709085,4.82,tower_wall
1.593751,0.711216,4.88,tower_wall
1.602225,0.712646,4.94,tower_wall
1.60944,0.713248,5.0,tower_wall
1.615314,0.712967,5.06,tower_wall
1.619885,0.71183,5.12,tower_wall
1.623306,0.709937,5.18,tower_wall
1.625836,0.707457,5.24,tower_wall
1.627811,0.704613,5.3,tower_wall
1.629618,0.701657,5.36,tower_wall
1.631657,0.698855,5.42,tower_wall
1.63431,0.696456,5.48,tower_wall
1.637902,0.694675,5.54,tower_wall
1.642675,0.693671,5.6,tower_wall
1.648766,0.693533,5.66,tower_wall
1.656193,0.694274,5.72,tower_wall
1.664855,0.695828,5.78,tower_wall
1.674542,0.698056,5.84,tower_wall
1.684951,0.700758,5.9,tower_wall
1.695715,0.703694,5.96,tower_wall
1.706435,0.706601,6.02,tower_wall
1.716716,0.70922,6.08,tower_wall
1.726203,0.711316,6.14,tower_wall
1.734611,0.712702,6.2,tower_wall
1.741752,0.713255,6.26,tower_wall
1.747551,0.712926,6.32,tower_wall
1.752052,0.711742,6.38,tower_wall
1.755416,0.709811,6.44,tower_wall
1.757905,0.707305,6.5,tower_wall
1.75986,0.704447,6.56,tower_wall
1.522191,0.72912,4.58,tower_wall
1.532612,0.732005,4.64,tower_wall
1.54331,0.735085,4.7,tower_wall
1.553893,0.738084,4.76,tower_wall
1.563977,0.740734,4.82,tower_wall
1.573225,0.742798,4.88,tower_wall
1.581374,0.744092,4.94,tower_wall
