x,y,z,label
-3.2,-0.22,3.22,column
-3.2,-0.22,3.29,column
-3.2,-0.22,3.36,column
-3.2,-0.22,3.43,column
-3.2,-0.22,3.5,column
-3.2,-0.22,3.57,column
-3.2,-0.22,3.64,column
-3.2,-0.22,3.71,facade
-3.2,-0.22,3.78,entablature
-3.2,-0.22,3.85,entablature
-3.2,-0.22,3.92,entablature
-3.2,-0.22,3.99,entablature
-3.2,-0.22,4.06,entablature
-3.2,-0.22,4.13,entablature
-3.2,-0.22,4.2,entablature
-3.2,-0.22,4.27,entablature
-3.2,-0.22,4.34,entablature
-3.2,-0.22,4.41,entablature
-3.2,-0.22,4.48,entablature
-3.2,-0.22,4.55,entablature
-3.2,-0.22,4.62,entablature
-3.2,-0.22,4.69,entablature
-3.2,-0.22,4.76,entablature
-3.2,-0.22,4.83,entablature
-3.2,-0.22,4.9,entablature
-3.2,-0.22,4.97,entablature
-3.2,-0.22,5.04,entablature
-3.2,-0.22,5.11,entablature
-3.2,-0.22,5.18,entablature
-3.13,-0.22,3.22,column
-3.13,-0.22,3.29,column
-3.13,-0.22,3.36,column
-3.13,-0.22,3.43,column
-3.13,-0.22,3.5,column
-3.13,-0.22,3.57,column
-3.13,-0.22,3.64,column
-3.13,-0.22,3.71,facade
-3.13,-0.22,3.78,entablature
-3.13,-0.22,3.85,entablature
-3.13,-0.22,3.92,entablature
-3.13,-0.22,3.99,entablature
-3.13,-0.22,4.06,entablature
-3.13,-0.22,4.13,entablature
-3.13,-0.22,4.2,entablature
-3.13,-0.22,4.27,entablature
-3.13,-0.22,4.34,entablature
-3.13,-0.22,4.41,entablature
-3.13,-0.22,4.48,entablature
-3.13,-0.22,4.55,entablature
-3.13,-0.22,4.62,entablature
-3.13,-0.22,4.69,entablature
-3.13,-0.22,4.76,entablature
-3.13,-0.22,4.83,entablature
-3.13,-0.22,4.9,entablature
-3.13,-0.22,4.97,entablature
-3.13,-0.22,5.04,entablature
-3.13,-0.22,5.11,entablature
-3.13,-0.22,5.18,entablature
-3.06,-0.22,3.22,column
-3.06,-0.22,3.29,column
-3.06,-0.22,3.36,column
-3.06,-0.22,3.43,column
-3.06,-0.22,3.5,column
-3.06,-0.22,3.57,column
-3.06,-0.22,3.64,column
-3.06,-0.22,3.71,facade
-3.06,-0.22,3.78,entablature
-3.06,-0.22,3.85,entablature
-3.06,-0.22,3.92,entablature
-3.06,-0.22,3.99,entablature
