x,y,z,label
1.56,-0.22,0.63,column
1.56,-0.22,0.7,column
1.56,-0.22,0.77,column
1.56,-0.22,0.84,column
1.56,-0.22,0.91,column
1.56,-0.22,0.98,column
1.56,-0.22,1.05,column
1.56,-0.22,1.12,column
1.56,-0.22,1.19,column
1.56,-0.22,1.26,column
1.56,-0.22,1.33,column
1.56,-0.22,1.4,column
1.56,-0.22,1.47,column
1.56,-0.22,1.54,column
1.56,-0.22,1.61,column
1.56,-0.22,1.68,column
1.56,-0.22,1.75,column
1.56,-0.22,1.82,column
1.56,-0.22,1.89,column
1.56,-0.22,1.96,column
1.56,-0.22,2.03,column
1.56,-0.22,2.1,column
1.56,-0.22,2.17,column
1.56,-0.22,2.24,column
1.56,-0.22,2.31,column
1.56,-0.22,2.38,column
1.56,-0.22,2.45,column
1.56,-0.22,2.52,column
1.56,-0.22,2.59,column
1.56,-0.22,2.66,column
1.56,-0.22,2.73,column
1.56,-0.22,2.8,column
1.56,-0.22,2.87,column
1.56,-0.22,2.94,column
1.56,-0.22,3.01,column
1.56,-0.22,3.08,column
1.56,-0.22,3.15,column
1.56,-0.22,3.22,column
1.56,-0.22,3.29,column
1.56,-0.22,3.36,column
1.56,-0.22,3.43,column
1.56,-0.22,3.5,column
1.63,-0.22,0.63,column
1.63,-0.22,0.7,column
1.63,-0.22,0.77,column
1.63,-0.22,0.84,column
1.63,-0.22,0.91,column
1.63,-0.22,0.98,column
1.63,-0.22,1.05,column
1.63,-0.22,1.12,column
1.63,-0.22,1.19,column
1.63,-0.22,1.26,column
1.63,-0.22,1.33,column
1.63,-0.22,1.4,column
1.63,-0.22,1.47,column
1.63,-0.22,1.54,column
1.63,-0.22,1.61,column
1.63,-0.22,1.68,column
1.63,-0.22,1.75,column
1.63,-0.22,1.82,column
1.63,-0.22,1.89,column
1.63,-0.22,1.96,column
1.63,-0.22,2.03,column
1.63,-0.22,2.1,column
1.63,-0.22,2.17,column
1.63,-0.22,2.24,column
1.63,-0.22,2.31,column
1.63,-0.22,2.38,column
1.63,-0.22,2.45,column
1.63,-0.22,2.52,column
1.63,-0.22,2.59,column
1.63,-0.22,2.66,column
1.63,-0.22,2.73,column
1.63,-0.22,2.8,column
1.63,-0.22,2.87,column
1.63,-0.22,2.94,column
1.63,-0.22,3.01,column
1.63,-0.22,3.08,column
1.63,-0.22,3.15,column
1.63,-0.22,3.22,column
1.63,-0.22,3.29,column
1.63,-0.22,3.36,column
1.63,-0.22,3.43,column
1.63,-0.22,3.5,column
1.7,-0.22,0.63,column
1.7,-0.22,0.7,column
1.7,-0.22,0.77,column
1.7,-0.22,0.84,column
1.7,-0.22,0.91,column
1.7,-0.22,0.98,column
1.7,-0.22,1.05,column
1.7,-0.22,1.12,column
1.7,-0.22,1.19,column
1.7,-0.22,1.26,column
1.7,-0.22,1.33,column
1.7,-0.22,1.4,column
1.7,-0.22,1.47,column
