x,y,z,label
6.2,0.0,0.0,facade
6.2,0.0,0.09,facade
6.2,0.0,0.18,facade
6.19819,0.097863,0.0,facade
6.19819,0.097863,0.09,facade
6.19819,0.097863,0.18,facade
6.19276,0.195669,0.0,facade
6.19276,0.195669,0.09,facade
6.19276,0.195669,0.18,facade
6.183714,0.293361,0.0,facade
6.183714,0.293361,0.09,facade
6.183714,0.293361,0.18,facade
6.171056,0.390881,0.0,facade
6.171056,0.390881,0.09,facade
6.171056,0.390881,0.18,facade
6.154795,0.488174,0.0,facade
6.154795,0.488174,0.09,facade
6.154795,0.488174,0.18,facade
6.13494,0.585181,0.0,facade
6.13494,0.585181,0.09,facade
6.13494,0.585181,0.18,facade
6.111502,0.681846,0.0,facade
6.111502,0.681846,0.09,facade
6.111502,0.681846,0.18,facade
6.084495,0.778113,0.0,facade
6.084495,0.778113,0.09,facade
6.084495,0.778113,0.18,facade
6.053935,0.873926,0.0,facade
6.053935,0.873926,0.09,facade
6.053935,0.873926,0.18,facade
6.019839,0.969228,0.0,facade
6.019839,0.969228,0.09,facade
6.019839,0.969228,0.18,facade
5.982228,1.063965,0.0,facade
5.982228,1.063965,0.09,facade
5.982228,1.063965,0.18,facade
5.941124,1.15808,0.0,facade
5.941124,1.15808,0.09,facade
5.941124,1.15808,0.18,facade
5.89655,1.251519,0.0,facade
5.89655,1.251519,0.09,facade
5.89655,1.251519,0.18,facade
5.848533,1.344227,0.0,facade
5.848533,1.344227,0.09,facade
5.848533,1.344227,0.18,facade
5.797101,1.43615,0.0,facade
5.797101,1.43615,0.09,facade
5.797101,1.43615,0.18,facade
5.742283,1.527234,0.0,facade
5.742283,1.527234,0.09,facade
5.742283,1.527234,0.18,facade
5.684112,1.617427,0.0,facade
5.684112,1.617427,0.09,facade
5.684112,1.617427,0.18,facade
5.622621,1.706674,0.0,facade
5.622621,1.706674,0.09,facade
5.622621,1.706674,0.18,facade
5.557847,1.794926,0.0,facade
5.557847,1.794926,0.09,facade
5.557847,1.794926,0.18,facade
5.489827,1.882129,0.0,facade
5.489827,1.882129,0.09,facade
5.489827,1.882129,0.18,facade
5.418602,1.968233,0.0,facade
5.418602,1.968233,0.09,facade
5.418602,1.968233,0.18,facade
5.344212,2.053187,0.0,facade
5.344212,2.053187,0.09,facade
5.344212,2.053187,0.18,facade
5.266701,2.136943,0.0,facade
5.266701,2.136943,0.09,facade
5.266701,2.136943,0.18,facade
5.186115,2.219451,0.0,facade
5.186115,2.219451,0.09,facade
5.186115,2.219451,0.18,facade
5.1025,2.300662,0.0,facade
5.1025,2.300662,0.09,facade
5.1025,2.300662,0.18,facade
5.015905,2.38053,0.0,facade
5.015905,2.38053,0.09,facade
5.015905,2.38053,0.18,facade
4.926382,2.459008,0.0,facade
4.926382,2.459008,0.09,facade
4.926382,2.459008,0.18,facade
4.833981,2.53605,0.0,facade
4.833981,2.53605,0.09,facade
4.833981,2.53605,0.18,facade
4.738757,2.611611,0.0,facade
4.738757,2.611611,0.09,facade
4.738757,2.611611,0.18,facade
4.640767,2.685647,0.0,facade
4.640767,2.685647,0.09,facade
4.640767,2.685647,0.18,facade
4.540066,2.758114,0.0,facade
4.540066,2.758114,0.09,facade
4.540066,2.758114,0.18,facade
4.436714,2.828971,0.0,facade
4.436714,2.828971,0.09,facade
4.436714,2.828971,0.18,facade
4.33077,2.898176,0.0,facade
4.33077,2.898176,0.09,facade
4.33077,2.898176,0.18,facade
4.222298,2.965688,0.0,facade
4.222298,2.965688,0.09,facade
4.222298,2.965688,0.18,facade
4.11136,3.031469,0.0,facade
4.11136,3.031469,0.09,facade
4.11136,3.031469,0.18,facade
3.998022,3.095479,0.0,facade
3.998022,3.095479,0.09,facade
3.998022,3.095479,0.18,facade
3.882348,3.157681,0.0,facade
3.882348,3.157681,0.09,facade
3.882348,3.157681,0.18,facade
3.882348,3.157681,2.61,facade
3.882348,3.157681,2.7,facade
3.882348,3.157681,2.79,facade
3.882348,3.157681,2.88,facade
3.882348,3.157681,2.97,facade
