x,y,z,label
-6.171056,-0.390881,0.27,facade
-6.171056,-0.390881,0.36,facade
-6.171056,-0.390881,0.45,facade
-6.171056,-0.390881,0.54,facade
-6.171056,-0.390881,0.63,facade
-6.171056,-0.390881,0.72,facade
-6.171056,-0.390881,0.81,facade
-6.171056,-0.390881,0.9,facade
-6.171056,-0.390881,0.99,facade
-6.171056,-0.390881,1.08,facade
-6.171056,-0.390881,1.17,facade
-6.171056,-0.390881,1.26,facade
-6.171056,-0.390881,1.35,facade
-6.171056,-0.390881,1.44,facade
-6.171056,-0.390881,1.53,facade
-6.171056,-0.390881,1.62,facade
-6.171056,-0.390881,1.71,facade
-6.171056,-0.390881,1.8,facade
-6.171056,-0.390881,1.89,facade
-6.171056,-0.390881,1.98,facade
-6.171056,-0.390881,2.07,facade
-6.171056,-0.390881,2.16,facade
-6.171056,-0.390881,2.25,facade
-6.171056,-0.390881,2.34,facade
-6.171056,-0.390881,2.43,facade
-6.171056,-0.390881,2.52,facade
-6.171056,-0.390881,2.61,facade
-6.171056,-0.390881,2.7,facade
-6.171056,-0.390881,2.79,facade
-6.171056,-0.390881,2.88,facade
-6.171056,-0.390881,2.97,facade
-6.171056,-0.390881,3.06,facade
-6.171056,-0.390881,3.15,facade
-6.171056,-0.390881,3.24,facade
-6.171056,-0.390881,3.33,facade
-6.171056,-0.390881,3.42,facade
-6.171056,-0.390881,3.51,facade
-6.154795,-0.488174,0.27,facade
-6.154795,-0.488174,0.36,facade
-6.154795,-0.488174,0.45,facade
-6.154795,-0.488174,0.54,facade
-6.154795,-0.488174,0.63,facade
-6.154795,-0.488174,0.72,facade
-6.154795,-0.488174,0.81,facade
-6.154795,-0.488174,0.9,facade
-6.154795,-0.488174,0.99,facade
-6.154795,-0.488174,1.08,facade
-6.154795,-0.488174,1.17,facade
-6.154795,-0.488174,1.26,facade
-6.154795,-0.488174,1.35,facade
-6.154795,-0.488174,1.44,facade
-6.154795,-0.488174,1.53,facade
-6.154795,-0.488174,1.62,facade
-6.154795,-0.488174,1.71,facade
-6.154795,-0.488174,1.8,facade
-6.154795,-0.488174,1.89,facade
-6.154795,-0.488174,1.98,facade
-6.154795,-0.488174,2.07,facade
-6.154795,-0.488174,2.16,facade
-6.154795,-0.488174,2.25,facade
-6.154795,-0.488174,2.34,facade
-6.154795,-0.488174,2.43,facade
-6.154795,-0.488174,2.52,facade
-6.154795,-0.488174,2.61,facade
-6.154795,-0.488174,2.7,facade
-6.154795,-0.488174,2.79,facade
-6.154795,-0.488174,2.88,facade
-6.154795,-0.488174,2.97,facade
-6.154795,-0.488174,3.06,facade
-6.154795,-0.488174,3.15,facade
-6.154795,-0.488174,3.24,facade
-6.154795,-0.488174,3.33,facade
-6.154795,-0.488174,3.42,facade
-6.154795,-0.488174,3.51,facade
-6.13494,-0.585181,0.27,facade
-6.13494,-0.585181,0.36,facade
-6.13494,-0.585181,0.45,facade
-6.13494,-0.585181,0.54,facade
-6.13494,-0.585181,0.63,facade
-6.13494,-0.585181,0.72,facade
-6.13494,-0.585181,0.81,facade
-6.13494,-0.585181,0.9,facade
-6.13494,-0.585181,0.99,facade
-6.13494,-0.585181,1.08,facade
-6.13494,-0.585181,1.17,facade
-6.13494,-0.585181,1.26,facade
-6.13494,-0.585181,1.35,facade
-6.13494,-0.585181,1.44,facade
-6.13494,-0.585181,1.53,facade
-6.13494,-0.585181,1.62,facade
-6.13494,-0.585181,1.71,facade
-6.13494,-0.585181,1.8,facade
-6.13494,-0.585181,1.89,facade
-6.13494,-0.585181,1.98,facade
-6.13494,-0.585181,2.07,facade
-6.13494,-0.585181,2.16,facade
-6.13494,-0.585181,2.25,facade
-6.13494,-0.585181,2.34,facade
-6.13494,-0.585181,2.43,facade
-6.13494,-0.585181,2.52,facade
-6.13494,-0.585181,2.61,facade
-6.13494,-0.585181,2.7,facade
-6.13494,-0.585181,2.79,facade
-6.13494,-0.585181,2.88,facade
-6.13494,-0.585181,2.97,facade
-6.13494,-0.585181,3.06,facade
-6.13494,-0.585181,3.15,facade
-6.13494,-0.585181,3.24,facade
-6.13494,-0.585181,3.33,facade
-6.13494,-0.585181,3.42,facade
-6.13494,-0.585181,3.51,facade
-6.111502,-0.681846,0.27,facade
-6.111502,-0.681846,0.36,facade
-6.111502,-0.681846,0.45,facade
-6.111502,-0.681846,0.54,facade
-6.111502,-0.681846,0.63,facade
-6.111502,-0.681846,0.72,facade
-6.111502,-0.681846,0.81,facade
-6.111502,-0.681846,0.9,facade
-6.111502,-0.681846,0.99,facade
-6.111502,-0.681846,1.08,facade
-6.111502,-0.681846,1.17,facade
-6.111502,-0.681846,1.26,facade
-6.111502,-0.681846,1.35,facade
-6.111502,-0.681846,1.44,facade
-6.111502,-0.681846,1.53,facade
-6.111502,-0.681846,1.62,facade
-6.111502,-0.681846,1.71,facade
-6.111502,-0.681846,1.8,facade
-6.111502,-0.681846,1.89,facade
-6.111502,-0.681846,1.98,facade
-6.111502,-0.681846,2.07,facade
-6.111502,-0.681846,2.16,facade
-6.111502,-0.681846,2.25,facade
-6.111502,-0.681846,2.34,facade
-6.111502,-0.681846,2.43,facade
-6.111502,-0.681846,2.52,facade
-6.111502,-0.681846,2.61,facade
-6.111502,-0.681846,2.7,facade
-6.111502,-0.681846,2.79,facade
-6.111502,-0.681846,2.88,facade
-6.111502,-0.681846,2.97,facade
-6.111502,-0.681846,3.06,facade
-6.111502,-0.681846,3.15,facade
-6.111502,-0.681846,3.24,facade
-6.111502,-0.681846,3.33,facade
-6.111502,-0.681846,3.42,facade
-6.111502,-0.681846,3.51,facade
-6.084495,-0.778113,0.27,facade
-6.084495,-0.778113,0.36,facade
-6.084495,-0.778113,1.89,arch_edge
-6.084495,-0.778113,1.98,facade
-6.084495,-0.778113,2.07,facade
-6.084495,-0.778113,2.16,facade
-6.084495,-0.778113,2.25,facade
-6.084495,-0.778113,2.34,facade
-6.084495,-0.778113,2.43,facade
-6.084495,-0.778113,2.52,facade
-6.084495,-0.778113,2.61,facade
