x,y,z,label
3.764408,3.21804,1.17,facade
3.764408,3.21804,1.26,facade
3.764408,3.21804,1.35,facade
3.764408,3.21804,1.44,facade
3.764408,3.21804,1.53,facade
3.764408,3.21804,1.62,facade
3.764408,3.21804,1.71,facade
3.764408,3.21804,1.8,facade
3.764408,3.21804,1.89,facade
3.764408,3.21804,1.98,facade
3.764408,3.21804,2.07,facade
3.764408,3.21804,2.16,facade
3.764408,3.21804,2.25,facade
3.764408,3.21804,2.34,facade
3.764408,3.21804,2.43,facade
3.764408,3.21804,2.52,facade
3.764408,3.21804,2.61,facade
3.764408,3.21804,2.7,facade
3.764408,3.21804,2.79,facade
3.764408,3.21804,2.88,facade
3.764408,3.21804,2.97,facade
3.764408,3.21804,3.06,facade
3.764408,3.21804,3.15,facade
3.764408,3.21804,3.24,facade
3.764408,3.21804,3.33,facade
3.764408,3.21804,3.42,facade
3.764408,3.21804,3.51,facade
3.764408,3.21804,3.6,facade
3.764408,3.21804,3.69,facade
3.644269,3.276519,1.17,facade
3.644269,3.276519,1.26,facade
3.644269,3.276519,1.35,facade
3.644269,3.276519,1.44,facade
3.644269,3.276519,1.53,facade
3.644269,3.276519,1.62,facade
3.644269,3.276519,1.71,facade
3.644269,3.276519,1.8,facade
3.644269,3.276519,1.89,facade
3.644269,3.276519,1.98,facade
3.644269,3.276519,2.07,facade
3.644269,3.276519,2.16,facade
3.644269,3.276519,2.25,facade
3.644269,3.276519,2.34,facade
3.644269,3.276519,2.43,facade
3.644269,3.276519,2.52,facade
3.644269,3.276519,2.61,facade
3.644269,3.276519,2.7,facade
3.644269,3.276519,2.79,facade
3.644269,3.276519,2.88,facade
3.644269,3.276519,2.97,facade
3.644269,3.276519,3.06,facade
3.644269,3.276519,3.15,facade
3.644269,3.276519,3.24,facade
3.644269,3.276519,3.33,facade
3.644269,3.276519,3.42,facade
3.644269,3.276519,3.51,facade
3.644269,3.276519,3.6,facade
3.644269,3.276519,3.69,facade
3.522001,3.333085,1.17,facade
3.522001,3.333085,1.26,facade
3.522001,3.333085,1.35,facade
3.522001,3.333085,1.44,facade
3.522001,3.333085,1.53,facade
3.522001,3.333085,1.62,facade
3.522001,3.333085,1.71,facade
3.522001,3.333085,1.8,facade
3.522001,3.333085,1.89,facade
3.522001,3.333085,1.98,facade
3.522001,3.333085,2.07,facade
3.522001,3.333085,2.16,facade
3.522001,3.333085,2.25,facade
3.522001,3.333085,2.34,facade
3.522001,3.333085,2.43,facade
3.522001,3.333085,2.52,facade
3.522001,3.333085,2.61,facade
