x,y,z,label
-1.684466,-0.347814,0.0,pinc_display_clean
-1.693869,-0.298675,0.0,pinc_display_clean
-1.70184,-0.249283,0.0,pinc_display_clean
-1.70837,-0.19968,0.0,pinc_display_clean
-1.713455,-0.149908,0.0,pinc_display_clean
-1.71709,-0.100009,0.0,pinc_display_clean
-1.719272,-0.050026,0.0,pinc_display_clean
-1.72,0.0,0.0,pinc_display_clean
-1.719272,0.050026,0.0,pinc_display_clean
-1.71709,0.100009,0.0,pinc_display_clean
-1.713455,0.149908,0.0,pinc_display_clean
-1.70837,0.19968,0.0,pinc_display_clean
-1.70184,0.249283,0.0,pinc_display_clean
-1.693869,0.298675,0.0,pinc_display_clean
-1.684466,0.347814,0.0,pinc_display_clean
-1.647742,-0.493302,0.0,pinc_display_clean
-1.661392,-0.445169,0.0,pinc_display_clean
-1.673637,-0.396659,0.0,pinc_display_clean
-1.66864,-0.195036,0.0,pinc_display_clean
-1.68,0.0,0.0,pinc_display_clean
-1.66864,0.195036,0.0,pinc_display_clean
-1.673637,0.396659,0.0,pinc_display_clean
-1.661392,0.445169,0.0,pinc_display_clean
-1.647742,0.493302,0.0,pinc_display_clean
-1.616271,-0.588275,0.0,pinc_display_clean
-1.632697,-0.541017,0.0,pinc_display_clean
-1.634715,-0.387435,0.0,pinc_display_clean
-1.600646,-0.188071,0.08,pinc_display_clean
-1.605435,-0.141192,0.08,pinc_display_clean
-1.608859,-0.094195,0.08,pinc_display_clean
-1.610915,-0.047117,0.08,pinc_display_clean
-1.6116,0.0,0.08,pinc_display_clean
-1.610915,0.047117,0.08,pinc_display_clean
-1.608859,0.094195,0.08,pinc_display_clean
-1.605435,0.141192,0.08,pinc_display_clean
-1.600646,0.188071,0.08,pinc_display_clean
-1.634715,0.387435,0.0,pinc_display_clean
-1.632697,0.541017,0.0,pinc_display_clean
-1.616271,0.588275,0.0,pinc_display_clean
-1.579332,-0.681257,0.0,pinc_display_clean
-1.598478,-0.635035,0.0,pinc_display_clean
-1.578684,-0.574594,0.0,pinc_display_clean
-1.567933,-0.373598,0.08,pinc_display_clean
-1.578132,-0.327592,0.08,pinc_display_clean
-1.586989,-0.28131,0.08,pinc_display_clean
-1.594495,-0.23479,0.08,pinc_display_clean
-1.594495,0.23479,0.08,pinc_display_clean
-1.586989,0.28131,0.08,pinc_display_clean
-1.578132,0.327592,0.08,pinc_display_clean
-1.567933,0.373598,0.08,pinc_display_clean
-1.578684,0.574594,0.0,pinc_display_clean
-1.598478,0.635035,0.0,pinc_display_clean
-1.579332,0.681257,0.0,pinc_display_clean
-1.537048,-0.771935,0.0,pinc_display_clean
-1.558849,-0.726903,0.0,pinc_display_clean
-1.529373,-0.509563,0.08,pinc_display_clean
-1.543543,-0.464621,0.08,pinc_display_clean
-1.5564,-0.419287,0.08,pinc_display_clean
-1.549452,-0.181105,0.0,pinc_display_clean
-1.541052,-0.181105,0.08,pinc_display_clean
-1.56,0.0,0.0,pinc_display_clean
-1.5516,0.0,0.08,pinc_display_clean
-1.549452,0.181105,0.0,pinc_display_clean
-1.541052,0.181105,0.08,pinc_display_clean
-1.5564,0.419287,0.08,pinc_display_clean
-1.543543,0.464621,0.08,pinc_display_clean
-1.529373,0.509563,0.08,pinc_display_clean
-1.558849,0.726903,0.0,pinc_display_clean
-1.537048,0.771935,0.0,pinc_display_clean
-1.489564,-0.86,0.0,pinc_display_clean
-1.513946,-0.816313,0.0,pinc_display_clean
-1.501303,-0.753983,0.0,pinc_display_clean
-1.497143,-0.598114,0.08,pinc_display_clean
-1.513902,-0.554073,0.08,pinc_display_clean
-1.51795,-0.359761,0.0,pinc_display_clean
-1.50955,-0.359761,0.08,pinc_display_clean
-1.51795,0.359761,0.0,pinc_display_clean
-1.50955,0.359761,0.08,pinc_display_clean
-1.513902,0.554073,0.08,pinc_display_clean
-1.497143,0.598114,0.08,pinc_display_clean
-1.501303,0.753983,0.0,pinc_display_clean
-1.513946,0.816313,0.0,pinc_display_clean
-1.489564,0.86,0.0,pinc_display_clean
-1.463921,-0.90296,0.0,pinc_display_clean
-1.459819,-0.684642,0.08,pinc_display_clean
-1.47911,-0.641649,0.08,pinc_display_clean
-1.46592,-0.533551,0.0,pinc_display_clean
-1.45752,-0.533551,0.08,pinc_display_clean
-1.440715,-0.256999,0.16,pinc_display_clean
-1.447574,-0.214499,0.16,pinc_display_clean
-1.453193,-0.171818,0.16,pinc_display_clean
-1.457568,-0.12899,0.16,pinc_display_clean
-1.460696,-0.086054,0.16,pinc_display_clean
-1.462574,-0.043045,0.16,pinc_display_clean
-1.4632,0.0,0.16,pinc_display_clean
-1.444975,0.0,0.905,pinc_display_clean
-1.462574,0.043045,0.16,pinc_display_clean
-1.460696,0.086054,0.16,pinc_display_clean
-1.457568,0.12899,0.16,pinc_display_clean
-1.453193,0.171818,0.16,pinc_display_clean
-1.447574,0.214499,0.16,pinc_display_clean
-1.440715,0.256999,0.16,pinc_display_clean
-1.46592,0.533551,0.0,pinc_display_clean
-1.45752,0.533551,0.08,pinc_display_clean
-1.47911,0.641649,0.08,pinc_display_clean
-1.459819,0.684642,0.08,pinc_display_clean
-1.463921,0.90296,0.0,pinc_display_clean
-1.408942,-0.986551,0.0,pinc_display_clean
-1.4203295,-0.9341649999999999,0.0,pinc_display_clean
-1.417526,-0.768853,0.08,pinc_display_clean
-1.402355,-0.760768,0.265723,pinc_display_clean
-1.439285,-0.727055,0.08,pinc_display_clean
-1.413502,-0.741805,0.253931,pinc_display_clean
-1.401024,-0.424469,0.16,pinc_display_clean
-1.41277,-0.383052,0.16,pinc_display_clean
-1.401185,-0.332087,0.0,pinc_display_clean
-1.423306,-0.341311,0.16,pinc_display_clean
-1.432624,-0.299282,0.16,pinc_display_clean
-1.400727,-0.207253,0.135,pinc_display_clean
-1.430263,-0.167174,0.0,pinc_display_clean
-1.421863,-0.167174,0.08,pinc_display_clean
-1.406156,-0.166013,0.135,pinc_display_clean
-1.407447,-0.1665935,0.16999999999999998,pinc_display_clean
-1.410383,-0.124633,0.135,pinc_display_clean
-1.405658,-0.124633,0.18,pinc_display_clean
-1.400933,-0.124633,0.225,pinc_display_clean
-1.413406,-0.083147,0.135,pinc_display_clean
-1.408681,-0.083147,0.18,pinc_display_clean
-1.403956,-0.083147,0.225,pinc_display_clean
-1.41522,-0.041591,0.135,pinc_display_clean
-1.410495,-0.041591,0.18,pinc_display_clean
-1.40577,-0.041591,0.225,pinc_display_clean
-1.44,0.0,0.0,pinc_display_clean
-1.4316,0.0,0.08,pinc_display_clean
-1.415825,0.0,0.135,pinc_display_clean
-1.41715,0.0,0.16999999999999998,pinc_display_clean
-1.406375,0.0,0.225,pinc_display_clean
-1.424975,0.0,0.905,pinc_display_clean
-1.42815,0.0,0.97,pinc_display_clean
-1.421325,0.0,1.035,pinc_display_clean
-1.4145,0.0,1.1,pinc_display_clean
-1.417675,0.0,1.165,pinc_display_clean
-1.41085,0.0,1.23,pinc_display_clean
-1.404025,0.0,1.295,pinc_display_clean
-1.41522,0.041591,0.135,pinc_display_clean
-1.410495,0.041591,0.18,pinc_display_clean
-1.40577,0.041591,0.225,pinc_display_clean
-1.413406,0.083147,0.135,pinc_display_clean
-1.408681,0.083147,0.18,pinc_display_clean
-1.403956,0.083147,0.225,pinc_display_clean
-1.410383,0.124633,0.135,pinc_display_clean
-1.405658,0.124633,0.18,pinc_display_clean
-1.400933,0.124633,0.225,pinc_display_clean
-1.430263,0.167174,0.0,pinc_display_clean
-1.421863,0.167174,0.08,pinc_display_clean
-1.406156,0.166013,0.135,pinc_display_clean
-1.407447,0.1665935,0.16999999999999998,pinc_display_clean
-1.400727,0.207253,0.135,pinc_display_clean
-1.432624,0.299282,0.16,pinc_display_clean
-1.401185,0.332087,0.0,pinc_display_clean
-1.423306,0.341311,0.16,pinc_display_clean
-1.41277,0.383052,0.16,pinc_display_clean
-1.401024,0.424469,0.16,pinc_display_clean
-1.439285,0.727055,0.08,pinc_display_clean
-1.417526,0.768853,0.08,pinc_display_clean
-1.4203295,0.9341649999999999,0.0,pinc_display_clean
-1.408942,0.986551,0.0,pinc_display_clean
-1.379652,-1.027113,0.0,pinc_display_clean
-1.370409,-0.850462,0.08,pinc_display_clean
-1.394561,-0.81,0.08,pinc_display_clean
-1.3673685,-0.816819,0.3011005,pinc_display_clean
-1.394775,-0.773332,0.273585,pinc_display_clean
-1.383186,-0.7920575,0.2853775,pinc_display_clean
-1.394067,-0.700127,0.0,pinc_display_clean
-1.385667,-0.700127,0.08,pinc_display_clean
-1.373945,-0.50619,0.16,pinc_display_clean
-1.388079,-0.465526,0.16,pinc_display_clean
-1.367099,-0.370111,0.135,pinc_display_clean
-1.362374,-0.370111,0.18,pinc_display_clean
-1.392785,-0.332087,0.08,pinc_display_clean
-1.377279,-0.329781,0.135,pinc_display_clean
-1.3784695,-0.330934,0.16999999999999998,pinc_display_clean
-1.367829,-0.329781,0.225,pinc_display_clean
-1.386282,-0.289171,0.135,pinc_display_clean
-1.381557,-0.289171,0.18,pinc_display_clean
-1.376832,-0.289171,0.225,pinc_display_clean
-1.3941,-0.248317,0.135,pinc_display_clean
-1.389375,-0.248317,0.18,pinc_display_clean
-1.38465,-0.248317,0.225,pinc_display_clean
-1.396002,-0.207253,0.18,pinc_display_clean
-1.391277,-0.207253,0.225,pinc_display_clean
-1.396706,-0.166013,0.225,pinc_display_clean
-1.397675,0.0,1.165,pinc_display_clean
-1.39085,0.0,1.23,pinc_display_clean
-1.384025,0.0,1.295,pinc_display_clean
-1.3872,0.0,1.36,pinc_display_clean
