x,y,z,label
0.243075,-1.54,2.315,reconstructed_only
0.268275,-1.54,2.555,reconstructed_only
0.2751,-1.54,2.62,reconstructed_only
0.243075,-1.52,2.315,reconstructed_only
0.268275,-1.52,2.555,reconstructed_only
0.2751,-1.52,2.62,reconstructed_only
0.247913,-1.420331,0.78,reconstructed_only
0.252638,-1.420331,0.825,reconstructed_only
0.257363,-1.420331,0.87,reconstructed_only
0.251672,-1.427581,1.605,reconstructed_only
0.256397,-1.427581,1.65,reconstructed_only
0.261122,-1.427581,1.695,reconstructed_only
0.25515,-1.43,2.43,reconstructed_only
0.259875,-1.43,2.475,reconstructed_only
0.2646,-1.43,2.52,reconstructed_only
0.258628,-1.427581,3.255,reconstructed_only
0.263353,-1.427581,3.3,reconstructed_only
0.268078,-1.427581,3.345,reconstructed_only
0.271837,-1.420331,4.17,reconstructed_only
0.278347,-1.283788,0.86,reconstructed_only
0.281925,-1.54,2.685,reconstructed_only
0.28875,-1.54,2.75,reconstructed_only
0.295575,-1.54,2.815,reconstructed_only
0.3024,-1.54,2.88,reconstructed_only
0.309225,-1.54,2.945,reconstructed_only
0.31605,-1.54,3.01,reconstructed_only
0.281925,-1.52,2.685,reconstructed_only
0.28875,-1.52,2.75,reconstructed_only
0.295575,-1.52,2.815,reconstructed_only
0.3024,-1.52,2.88,reconstructed_only
0.309225,-1.52,2.945,reconstructed_only
0.31605,-1.52,3.01,reconstructed_only
0.289153,-1.414902,0.78,reconstructed_only
0.293878,-1.414902,0.825,reconstructed_only
0.298603,-1.414902,0.87,reconstructed_only
0.293158,-1.424558,1.605,reconstructed_only
0.297883,-1.424558,1.65,reconstructed_only
0.302608,-1.424558,1.695,reconstructed_only
0.296741,-1.429395,2.43,reconstructed_only
0.301466,-1.429395,2.475,reconstructed_only
0.306191,-1.429395,2.52,reconstructed_only
0.300184,-1.429395,3.255,reconstructed_only
0.304909,-1.429395,3.3,reconstructed_only
0.309634,-1.429395,3.345,reconstructed_only
0.303767,-1.424558,4.08,reconstructed_only
0.308492,-1.424558,4.125,reconstructed_only
0.313217,-1.424558,4.17,reconstructed_only
0.307772,-1.414902,4.905,reconstructed_only
0.312497,-1.414902,4.95,reconstructed_only
0.317222,-1.414902,4.995,reconstructed_only
0.312479,-1.400457,5.73,reconstructed_only
0.317204,-1.400457,5.775,reconstructed_only
0.284717,-1.284262,0.92,reconstructed_only
0.290854,-1.283148,0.98,reconstructed_only
0.296772,-1.280545,1.04,reconstructed_only
0.315911,-1.282575,1.94,reconstructed_only
0.310608,-1.294708,2.24,reconstructed_only
0.316758,-1.292128,2.3,reconstructed_only
0.29886349999999995,-1.254479,0.56,reconstructed_only
0.287823,-1.263125,0.62,reconstructed_only
0.295017,-1.268194,0.68,reconstructed_only
0.30209,-1.27258,0.74,reconstructed_only
0.308974,-1.275891,0.8,reconstructed_only
0.315616,-1.277833,0.86,reconstructed_only
0.302507,-1.276687,1.1,reconstructed_only
0.308108,-1.271917,1.16,reconstructed_only
0.313639,-1.266662,1.22,reconstructed_only
0.3007955,-1.263909,1.28,reconstructed_only
0.288156,-1.261567,1.34,reconstructed_only
0.29399,-1.257581,1.4,reconstructed_only
0.299968,-1.254824,1.46,reconstructed_only
0.306118,-1.253543,1.52,reconstructed_only
0.312454,-1.253852,1.58,reconstructed_only
0.318973,-1.255724,1.64,reconstructed_only
0.295646,-1.26698,1.76,reconstructed_only
0.302391,-1.272064,1.82,reconstructed_only
0.30916,-1.277422,1.88,reconstructed_only
0.34190066666666663,-1.6074513333333336,1.3427673333333334,reconstructed_only
0.322875,-1.54,3.075,reconstructed_only
0.3297,-1.54,3.14,reconstructed_only
0.3549,-1.54,3.38,reconstructed_only
0.322875,-1.52,3.075,reconstructed_only
0.3297,-1.52,3.14,reconstructed_only
0.3549,-1.52,3.38,reconstructed_only
0.330217,-1.408275,0.78,reconstructed_only
0.334942,-1.408275,0.825,reconstructed_only
0.339667,-1.408275,0.87,reconstructed_only
0.334538,-1.420331,1.605,reconstructed_only
0.339263,-1.420331,1.65,reconstructed_only
0.343988,-1.420331,1.695,reconstructed_only
0.338297,-1.427581,2.43,reconstructed_only
0.343022,-1.427581,2.475,reconstructed_only
0.347747,-1.427581,2.52,reconstructed_only
0.341775,-1.43,3.255,reconstructed_only
0.3465,-1.43,3.3,reconstructed_only
0.351225,-1.43,3.345,reconstructed_only
0.345253,-1.427581,4.08,reconstructed_only
0.349978,-1.427581,4.125,reconstructed_only
0.354703,-1.427581,4.17,reconstructed_only
0.349012,-1.420331,4.905,reconstructed_only
0.353737,-1.420331,4.95,reconstructed_only
0.358462,-1.420331,4.995,reconstructed_only
0.353333,-1.408275,5.73,reconstructed_only
0.358058,-1.408275,5.775,reconstructed_only
0.321929,-1.400457,5.82,reconstructed_only
0.322603,-1.287064,2.0,reconstructed_only
0.329203,-1.290486,2.06,reconstructed_only
0.335682,-1.292536,2.12,reconstructed_only
0.342026,-1.293031,2.18,reconstructed_only
0.348229,-1.291927,2.24,reconstructed_only
0.354301,-1.289323,2.3,reconstructed_only
0.322833,-1.288271,2.36,reconstructed_only
0.328854,-1.283482,2.42,reconstructed_only
0.336,-1.29,3.2,reconstructed_only
0.3423,-1.292052,3.26,reconstructed_only
0.3486,-1.295465,3.32,reconstructed_only
0.3549,-1.297496,3.38,reconstructed_only
0.353495,-1.243416,0.56,reconstructed_only
0.324526,-1.256399,0.62,reconstructed_only
0.331861,-1.261413,0.68,reconstructed_only
0.339051,-1.265726,0.74,reconstructed_only
0.346017,-1.268951,0.8,reconstructed_only
0.352699,-1.270801,0.86,reconstructed_only
0.340525,-1.274671,0.92,reconstructed_only
0.328078,-1.27705,0.98,reconstructed_only
0.33391,-1.274396,1.04,reconstructed_only
0.339524,-1.270505,1.1,reconstructed_only
0.344981,-1.265725,1.16,reconstructed_only
0.350357,-1.260483,1.22,reconstructed_only
0.355734,-1.255248,1.28,reconstructed_only
0.324761,-1.256575,1.34,reconstructed_only
0.330485,-1.252645,1.4,reconstructed_only
0.336391,-1.249951,1.46,reconstructed_only
0.342512,-1.248733,1.52,reconstructed_only
0.348866,-1.249102,1.58,reconstructed_only
0.355448,-1.251023,1.64,reconstructed_only
0.325655,-1.258991,1.7,reconstructed_only
0.332466,-1.263362,1.76,reconstructed_only
0.33936,-1.268446,1.82,reconstructed_only
0.346285,-1.273789,1.88,reconstructed_only
0.353184,-1.278913,1.94,reconstructed_only
0.334846,-1.278188,2.48,reconstructed_only
0.340836,-1.272863,2.54,reconstructed_only
0.346852,-1.267982,2.6,reconstructed_only
0.352919,-1.263981,2.66,reconstructed_only
