x,y,z,label
-1.489564,-0.86,0.0,reconstructed_only
-1.513946,-0.816313,0.0,reconstructed_only
-1.463921,-0.90296,0.0,reconstructed_only
-1.408942,-0.986551,0.0,reconstructed_only
-1.4203295,-0.9341649999999999,0.0,reconstructed_only
-1.417526,-0.768853,0.08,reconstructed_only
-1.402355,-0.760768,0.265723,reconstructed_only
-1.409823,-0.748145,0.257862,reconstructed_only
-1.379652,-1.027113,0.0,reconstructed_only
-1.370409,-0.850462,0.08,reconstructed_only
-1.394561,-0.81,0.08,reconstructed_only
-1.3673685,-0.816819,0.3011005,reconstructed_only
-1.394775,-0.773332,0.273585,reconstructed_only
-1.383186,-0.7920575,0.2853775,reconstructed_only
-1.349195,-1.066805,0.0,reconstructed_only
-1.34509,-0.890205,0.08,reconstructed_only
-1.32166,-0.883593,0.34434,reconstructed_only
-1.3386243333333334,-0.8595236666666667,0.32861633333333334,reconstructed_only
-1.355234,-0.835232,0.312893,reconstructed_only
-1.327749,-0.589332,0.905,reconstructed_only
-1.320924,-0.589332,0.97,reconstructed_only
-1.284883,-1.143449,0.0,reconstructed_only
-1.317596,-1.105595,0.0,reconstructed_only
-1.286955,-1.079883,0.0,reconstructed_only
-1.29104,-0.967397,0.08,reconstructed_only
-1.318626,-0.929194,0.08,reconstructed_only
-1.286402,-0.930857,0.375786,reconstructed_only
-1.313002,-0.895514,0.352201,reconstructed_only
-1.299806,-0.9132565,0.36399400000000004,reconstructed_only
-1.303361,-0.857234,0.0,reconstructed_only
-1.294961,-0.857234,0.08,reconstructed_only
-1.285898,-0.702409,0.16,reconstructed_only
-1.309272,-0.581679,0.905,reconstructed_only
-1.302447,-0.581679,0.97,reconstructed_only
-1.3048605,-0.5855055,1.035,reconstructed_only
-1.2980355000000001,-0.5855055,1.1,reconstructed_only
-1.2912105,-0.5855055,1.165,reconstructed_only
-1.293624,-0.589332,1.23,reconstructed_only
-1.286799,-0.589332,1.295,reconstructed_only
-1.251083,-1.180336,0.0,reconstructed_only
-1.262353,-1.004781,0.08,reconstructed_only
-1.258878,-0.965551,0.399371,reconstructed_only
-1.244761,-0.9826375,0.4111635,reconstructed_only
-1.2727415,-0.9482775,0.3875785,reconstructed_only
-1.242853,-0.776965,0.16,reconstructed_only
-1.264918,-0.74,0.16,reconstructed_only
-1.275147,-0.581679,1.23,reconstructed_only
-1.268322,-0.581679,1.295,reconstructed_only
-1.2707355,-0.5855055,1.36,reconstructed_only
-1.2639105000000002,-0.5855055,1.425,reconstructed_only
-1.2570855,-0.5855055,1.49,reconstructed_only
-1.241124,-0.589332,1.73,reconstructed_only
-1.247067,-0.527965,0.78,reconstructed_only
-1.242342,-0.527965,0.825,reconstructed_only
-1.26186,-0.489089,0.78,reconstructed_only
-1.257135,-0.489089,0.825,reconstructed_only
-1.25241,-0.489089,0.87,reconstructed_only
-1.275517,-0.449799,0.78,reconstructed_only
-1.270792,-0.449799,0.825,reconstructed_only
-1.266067,-0.449799,0.87,reconstructed_only
-1.216224,-1.216224,0.0,reconstructed_only
-1.2171865,-1.0591425,0.08,reconstructed_only
-1.2158820000000001,-1.016312,0.4347485,reconstructed_only
-1.201123,-1.032894,0.446541,reconstructed_only
-1.230445,-0.999572,0.422956,reconstructed_only
-1.219722,-0.813273,0.16,reconstructed_only
-1.203102,-0.791293,0.0,reconstructed_only
-1.21412,-0.604344,0.78,reconstructed_only
-1.209395,-0.604344,0.825,reconstructed_only
-1.20467,-0.604344,0.87,reconstructed_only
-1.231149,-0.566394,0.78,reconstructed_only
-1.226424,-0.566394,0.825,reconstructed_only
-1.221699,-0.566394,0.87,reconstructed_only
-1.222647,-0.581679,1.73,reconstructed_only
-1.2250605,-0.5855055,1.795,reconstructed_only
-1.2182355,-0.5855055,1.86,reconstructed_only
-1.2114105,-0.5855055,1.925,reconstructed_only
-1.213824,-0.589332,1.99,reconstructed_only
-1.206999,-0.589332,2.055,reconstructed_only
-1.200174,-0.589332,2.12,reconstructed_only
-1.237617,-0.527965,0.87,reconstructed_only
-1.180336,-1.251083,0.0,reconstructed_only
-1.169945,-1.111711,0.08,reconstructed_only
-1.1759629999999999,-1.0600625,0.46619499999999997,reconstructed_only
-1.195029,-1.002749,0.0,reconstructed_only
-1.186629,-1.002749,0.08,reconstructed_only
-1.170342,-0.883795,0.16,reconstructed_only
-1.195545,-0.848893,0.16,reconstructed_only
-1.194702,-0.791293,0.08,reconstructed_only
-1.186302,-0.791293,0.16,reconstructed_only
-1.1863915,-0.660231,0.78,reconstructed_only
-1.1816665,-0.660231,0.825,reconstructed_only
-1.1769414999999999,-0.660231,0.87,reconstructed_only
-1.195347,-0.581679,1.99,reconstructed_only
-1.188522,-0.581679,2.055,reconstructed_only
-1.181697,-0.581679,2.12,reconstructed_only
-1.1841105,-0.5855055,2.185,reconstructed_only
-1.1772855,-0.5855055,2.25,reconstructed_only
-1.1704605,-0.5855055,2.315,reconstructed_only
-1.160442,-0.527965,1.605,reconstructed_only
-1.175235,-0.489089,1.605,reconstructed_only
-1.17051,-0.489089,1.65,reconstructed_only
-1.165785,-0.489089,1.695,reconstructed_only
-1.168727,-0.45991150000000003,0.38,reconstructed_only
-1.172206,-0.443464,0.44,reconstructed_only
-1.188892,-0.449799,1.605,reconstructed_only
-1.184167,-0.449799,1.65,reconstructed_only
-1.179442,-0.449799,1.695,reconstructed_only
-1.189092,-0.407244,0.38,reconstructed_only
-1.185079,-0.408002,0.44,reconstructed_only
-1.179615,-0.408279,0.5,reconstructed_only
-1.172625,-0.40805,0.56,reconstructed_only
-1.16417,-0.407336,0.62,reconstructed_only
-1.143449,-1.284883,0.0,reconstructed_only
-1.152886,-1.221988,0.0,reconstructed_only
-1.137113,-1.145513,0.08,reconstructed_only
-1.139856,-1.097327,0.4937106666666667,reconstructed_only
-1.144135,-0.917949,0.16,reconstructed_only
-1.135197,-0.750717,0.78,reconstructed_only
-1.130472,-0.750717,0.825,reconstructed_only
-1.125747,-0.750717,0.87,reconstructed_only
-1.156516,-0.715,0.78,reconstructed_only
-1.151791,-0.715,0.825,reconstructed_only
-1.147066,-0.715,0.87,reconstructed_only
-1.127495,-0.604344,1.605,reconstructed_only
-1.12277,-0.604344,1.65,reconstructed_only
-1.144524,-0.566394,1.605,reconstructed_only
-1.139799,-0.566394,1.65,reconstructed_only
-1.135074,-0.566394,1.695,reconstructed_only
-1.1452605,-0.5855055,2.555,reconstructed_only
-1.1384355,-0.5855055,2.62,reconstructed_only
-1.1316104999999999,-0.5855055,2.685,reconstructed_only
-1.134024,-0.589332,2.75,reconstructed_only
-1.127199,-0.589332,2.815,reconstructed_only
-1.120374,-0.589332,2.88,reconstructed_only
-1.129813,-0.545446,0.38,reconstructed_only
-1.126972,-0.547059,0.44,reconstructed_only
-1.155717,-0.527965,1.65,reconstructed_only
-1.150992,-0.527965,1.695,reconstructed_only
-1.146212,-0.511639,0.38,reconstructed_only
-1.143128,-0.513026,0.44,reconstructed_only
-1.158215,-0.478483,0.44,reconstructed_only
-1.147103,-0.441206,0.62,reconstructed_only
-1.1353055,-0.4591685,0.68,reconstructed_only
-1.1266639999999999,-0.458307,0.74,reconstructed_only
-1.154444,-0.4062,0.68,reconstructed_only
-1.143751,-0.404745,0.74,reconstructed_only
-1.127057,-0.420956,0.8,reconstructed_only
-1.121089,-0.401411,0.86,reconstructed_only
-1.105595,-1.317596,0.0,reconstructed_only
-1.103311,-1.178345,0.08,reconstructed_only
-1.108011,-1.128448,0.517296,reconstructed_only
-1.0917569999999999,-1.1436899999999999,0.529088,reconstructed_only
-1.118727,-1.11817,0.509434,reconstructed_only
-1.088797,-0.983898,0.16,reconstructed_only
-1.103104,-0.925614,0.0,reconstructed_only
-1.094704,-0.925614,0.08,reconstructed_only
-1.1016249999999999,-0.93847,0.16,reconstructed_only
-1.089487,-0.820214,0.78,reconstructed_only
-1.084762,-0.820214,0.825,reconstructed_only
-1.080037,-0.820214,0.87,reconstructed_only
-1.112848,-0.785798,0.78,reconstructed_only
-1.108123,-0.785798,0.825,reconstructed_only
-1.103398,-0.785798,0.87,reconstructed_only
-1.102844,-0.725352,0.0,reconstructed_only
-1.094444,-0.725352,0.08,reconstructed_only
