x,y,z,label
-0.051239,1.34376,4.17,reconstructed_only
-0.011949,1.357417,4.17,reconstructed_only
0.025936,1.34376,4.905,reconstructed_only
0.030661,1.34376,4.95,reconstructed_only
0.035386,1.34376,4.995,reconstructed_only
0.027721,1.369925,4.17,reconstructed_only
0.065226,1.357417,4.905,reconstructed_only
0.069951,1.357417,4.95,reconstructed_only
0.074676,1.357417,4.995,reconstructed_only
0.067739,1.381274,4.17,reconstructed_only
0.112561,1.34376,5.73,reconstructed_only
0.117286,1.34376,5.775,reconstructed_only
0.108069,1.391454,4.17,reconstructed_only
0.104896,1.369925,4.905,reconstructed_only
0.109621,1.369925,4.95,reconstructed_only
0.114346,1.369925,4.995,reconstructed_only
0.151851,1.357417,5.73,reconstructed_only
0.156576,1.357417,5.775,reconstructed_only
0.122011,1.34376,5.82,reconstructed_only
0.144914,1.381274,4.905,reconstructed_only
0.149639,1.381274,4.95,reconstructed_only
0.154364,1.381274,4.995,reconstructed_only
0.148679,1.400457,4.17,reconstructed_only
0.161301,1.357417,5.82,reconstructed_only
0.199186,1.34376,6.555,reconstructed_only
0.185244,1.391454,4.905,reconstructed_only
0.189969,1.391454,4.95,reconstructed_only
0.194694,1.391454,4.995,reconstructed_only
0.191521,1.369925,5.73,reconstructed_only
0.196246,1.369925,5.775,reconstructed_only
0.189533,1.408275,4.17,reconstructed_only
0.238476,1.357417,6.555,reconstructed_only
0.203911,1.34376,6.6,reconstructed_only
0.231539,1.381274,5.73,reconstructed_only
0.236264,1.381274,5.775,reconstructed_only
0.200971,1.369925,5.82,reconstructed_only
0.230597,1.414902,4.17,reconstructed_only
0.225854,1.400457,4.905,reconstructed_only
0.230579,1.400457,4.95,reconstructed_only
0.235304,1.400457,4.995,reconstructed_only
0.243201,1.357417,6.6,reconstructed_only
0.271869,1.391454,5.73,reconstructed_only
0.276594,1.391454,5.775,reconstructed_only
0.240989,1.381274,5.82,reconstructed_only
0.278146,1.369925,6.555,reconstructed_only
0.271837,1.420331,4.17,reconstructed_only
0.266708,1.408275,4.905,reconstructed_only
0.271433,1.408275,4.95,reconstructed_only
0.276158,1.408275,4.995,reconstructed_only
0.293637,1.278436,4.58,reconstructed_only
0.299443,1.281805,4.64,reconstructed_only
0.30545,1.283805,4.7,reconstructed_only
0.311684,1.284258,4.76,reconstructed_only
0.31815,1.283123,4.82,reconstructed_only
0.281319,1.391454,5.82,reconstructed_only
0.318164,1.381274,6.555,reconstructed_only
0.282871,1.369925,6.6,reconstructed_only
0.313217,1.424558,4.17,reconstructed_only
0.307772,1.414902,4.905,reconstructed_only
0.312497,1.414902,4.95,reconstructed_only
0.317222,1.414902,4.995,reconstructed_only
0.312479,1.400457,5.73,reconstructed_only
0.317204,1.400457,5.775,reconstructed_only
0.331701,1.27663,4.94,reconstructed_only
0.338701,1.271851,5.0,reconstructed_only
0.345772,1.266592,5.06,reconstructed_only
0.352843,1.261324,5.12,reconstructed_only
0.359847,1.256518,5.18,reconstructed_only
0.330881,1.283492,4.58,reconstructed_only
0.336792,1.286826,4.64,reconstructed_only
0.342864,1.288777,4.7,reconstructed_only
0.349117,1.289172,4.76,reconstructed_only
0.355558,1.287973,4.82,reconstructed_only
0.324834,1.280503,4.88,reconstructed_only
0.358494,1.391454,6.555,reconstructed_only
0.322889,1.381274,6.6,reconstructed_only
0.354703,1.427581,4.17,reconstructed_only
0.349012,1.420331,4.905,reconstructed_only
0.353737,1.420331,4.95,reconstructed_only
0.358462,1.420331,4.995,reconstructed_only
0.353333,1.408275,5.73,reconstructed_only
0.358058,1.408275,5.775,reconstructed_only
0.321929,1.400457,5.82,reconstructed_only
0.375794,1.276537,5.0,reconstructed_only
0.382712,1.271249,5.06,reconstructed_only
0.389629,1.26597,5.12,reconstructed_only
0.39649,1.261171,5.18,reconstructed_only
0.366721,1.252601,5.24,reconstructed_only
0.373413,1.249925,5.3,reconstructed_only
0.379888,1.248728,5.36,reconstructed_only
0.386131,1.249117,5.42,reconstructed_only
0.392147,1.251058,5.48,reconstructed_only
0.397961,1.254377,5.54,reconstructed_only
0.368265,1.287428,4.58,reconstructed_only
0.374275,1.290735,4.64,reconstructed_only
0.380408,1.292648,4.7,reconstructed_only
0.386678,1.292996,4.76,reconstructed_only
0.393087,1.291748,4.82,reconstructed_only
0.38089850000000003,1.2871525,4.88,reconstructed_only
0.36893,1.28136,4.94,reconstructed_only
0.363219,1.391454,6.6,reconstructed_only
0.396259,1.429395,4.17,reconstructed_only
0.390392,1.424558,4.905,reconstructed_only
0.395117,1.424558,4.95,reconstructed_only
0.399842,1.424558,4.995,reconstructed_only
0.394397,1.414902,5.73,reconstructed_only
0.399122,1.414902,5.775,reconstructed_only
0.362783,1.408275,5.82,reconstructed_only
0.399104,1.400457,6.555,reconstructed_only
0.419763,1.274874,5.06,reconstructed_only
0.426526,1.269587,5.12,reconstructed_only
0.433245,1.264794,5.18,reconstructed_only
0.42156400000000005,1.2591035000000002,5.24,reconstructed_only
0.409853,1.254647,5.3,reconstructed_only
0.416286,1.253505,5.36,reconstructed_only
0.422534,1.253956,5.42,reconstructed_only
0.428599,1.255961,5.48,reconstructed_only
0.434504,1.25934,5.54,reconstructed_only
0.403616,1.258777,5.6,reconstructed_only
0.409171,1.263866,5.66,reconstructed_only
0.414691,1.269189,5.72,reconstructed_only
0.420247,1.27427,5.78,reconstructed_only
0.425904,1.278656,5.84,reconstructed_only
0.405752,1.290242,4.58,reconstructed_only
0.41186,1.293529,4.64,reconstructed_only
0.418051,1.295414,4.7,reconstructed_only
0.424332,1.295729,4.76,reconstructed_only
0.430707,1.294445,4.82,reconstructed_only
0.437168,1.291678,4.88,reconstructed_only
0.406273,1.285042,4.94,reconstructed_only
0.412998,1.280184,5.0,reconstructed_only
0.410991,1.315957,5.75,reconstructed_only
0.417291,1.315957,5.81,reconstructed_only
0.423591,1.315957,5.87,reconstructed_only
0.431721,1.281955,5.9,reconstructed_only
0.429891,1.315957,5.93,reconstructed_only
0.4369655,1.2999144999999999,5.975,reconstructed_only
0.43785,1.43,4.17,reconstructed_only
0.431878,1.427581,4.905,reconstructed_only
0.436603,1.427581,4.95,reconstructed_only
0.435637,1.420331,5.73,reconstructed_only
0.403847,1.414902,5.82,reconstructed_only
0.439958,1.408275,6.555,reconstructed_only
0.403829,1.400457,6.6,reconstructed_only
0.456896,1.277464,5.06,reconstructed_only
0.463504,1.272172,5.12,reconstructed_only
0.470083,1.267385,5.18,reconstructed_only
0.476608,1.263531,5.24,reconstructed_only
0.446411,1.258325,5.3,reconstructed_only
0.452807,1.257226,5.36,reconstructed_only
0.459063,1.257726,5.42,reconstructed_only
0.465183,1.259781,5.48,reconstructed_only
0.471184,1.263207,5.54,reconstructed_only
0.4586875,1.2657440000000002,5.6,reconstructed_only
0.445985,1.268917,5.66,reconstructed_only
0.45166,1.27426,5.72,reconstructed_only
0.457366,1.279343,5.78,reconstructed_only
0.464038,1.276382,6.2,reconstructed_only
0.471043,1.271564,6.26,reconstructed_only
0.478115,1.266293,6.32,reconstructed_only
0.462281,1.289454,4.76,reconstructed_only
0.468388,1.296064,4.82,reconstructed_only
0.47477,1.293275,4.88,reconstructed_only
0.443702,1.287673,4.94,reconstructed_only
0.450286,1.28279,5.0,reconstructed_only
0.463156,1.283711,5.84,reconstructed_only
0.469074,1.286974,5.9,reconstructed_only
0.475156,1.288842,5.96,reconstructed_only
0.443987,1.284236,6.02,reconstructed_only
0.442491,1.315957,6.05,reconstructed_only
0.4496285,1.2994855,6.095000000000001,reconstructed_only
0.457161,1.280316,6.14,reconstructed_only
0.455091,1.315957,6.17,reconstructed_only
0.461391,1.315957,6.23,reconstructed_only
0.467691,1.315957,6.29,reconstructed_only
0.473991,1.315957,6.35,reconstructed_only
0.449346,1.321007,5.75,reconstructed_only
0.455646,1.321007,5.81,reconstructed_only
0.461946,1.321007,5.87,reconstructed_only
0.468246,1.321007,5.93,reconstructed_only
0.474546,1.321007,5.99,reconstructed_only
0.479441,1.429395,4.17,reconstructed_only
0.473434,1.429395,4.905,reconstructed_only
0.478159,1.429395,4.95,reconstructed_only
0.441328,1.427581,4.995,reconstructed_only
0.477017,1.424558,5.73,reconstructed_only
0.440362,1.420331,5.775,reconstructed_only
0.445087,1.420331,5.82,reconstructed_only
0.444683,1.408275,6.6,reconstructed_only
0.441525,1.53,4.205,reconstructed_only
0.44835,1.53,4.27,reconstructed_only
0.455175,1.53,4.335,reconstructed_only
0.462,1.53,4.4,reconstructed_only
0.468825,1.53,4.465,reconstructed_only
0.47565,1.53,4.53,reconstructed_only
0.494084,1.27902,5.06,reconstructed_only
0.483058,1.260956,5.3,reconstructed_only
0.48942,1.259888,5.36,reconstructed_only
0.495689,1.260423,5.42,reconstructed_only
0.501867,1.262513,5.48,reconstructed_only
0.507966,1.265972,5.54,reconstructed_only
0.514002,1.270491,5.6,reconstructed_only
0.48294,1.272852,5.66,reconstructed_only
0.488771,1.27821,5.72,reconstructed_only
0.508128,1.276248,6.26,reconstructed_only
0.515047,1.270948,6.32,reconstructed_only
0.485185,1.261039,6.38,reconstructed_only
0.492183,1.256271,6.44,reconstructed_only
0.499048,1.252415,6.5,reconstructed_only
0.505729,1.249817,6.56,reconstructed_only
0.5061,1.29,4.82,reconstructed_only
0.5124,1.293808,4.88,reconstructed_only
0.4999435,1.2895155,4.94,reconstructed_only
0.487629,1.284355,5.0,reconstructed_only
0.494626,1.283293,5.78,reconstructed_only
0.500546,1.287646,5.84,reconstructed_only
0.506562,1.290882,5.9,reconstructed_only
0.512703,1.29271,5.96,reconstructed_only
0.5002,1.291057,6.02,reconstructed_only
0.487871,1.28786,6.08,reconstructed_only
0.494493,1.2851,6.14,reconstructed_only
0.50126,1.28111,6.2,reconstructed_only
0.480291,1.315957,6.41,reconstructed_only
0.486591,1.315957,6.47,reconstructed_only
0.492891,1.315957,6.53,reconstructed_only
0.499191,1.315957,6.59,reconstructed_only
0.505491,1.315957,6.65,reconstructed_only
0.511791,1.315957,6.71,reconstructed_only
0.518091,1.315957,6.77,reconstructed_only
0.487833,1.324939,5.75,reconstructed_only
0.494133,1.324939,5.81,reconstructed_only
0.500433,1.324939,5.87,reconstructed_only
0.506733,1.324939,5.93,reconstructed_only
