x,y,z,label
-3.2,-0.22,0.0,completed
-3.2,-0.22,0.07,completed
-3.2,-0.22,0.09,completed
-3.2,-0.22,0.14,completed
-3.2,-0.22,0.18,completed
-3.2,-0.22,0.21,completed
-3.2,-0.22,0.27,completed
-3.2,-0.22,0.28,completed
-3.2,-0.22,0.35,completed
-3.2,-0.22,0.36,completed
-3.2,-0.22,0.41000000000000003,completed
-3.2,-0.22,0.45,completed
-3.2,-0.22,0.49,completed
-3.2,-0.22,0.54,completed
-3.2,-0.22,0.56,completed
-3.2,-0.22,0.63,completed
-3.2,-0.22,0.7,completed
-3.2,-0.22,0.72,completed
-3.2,-0.22,0.77,completed
-3.2,-0.22,0.81,completed
-3.2,-0.22,0.84,completed
-3.2,-0.22,0.905,completed
-3.2,-0.22,0.985,completed
-3.2,-0.22,1.05,completed
-3.2,-0.22,1.08,completed
-3.2,-0.22,1.12,completed
-3.2,-0.22,1.18,completed
-3.2,-0.22,1.26,completed
-3.2,-0.22,1.34,completed
-3.2,-0.22,1.4,completed
-3.2,-0.22,1.455,completed
-3.2,-0.22,1.5350000000000001,completed
-3.2,-0.22,1.6150000000000002,completed
-3.2,-0.22,1.6949999999999998,completed
-3.2,-0.22,1.75,completed
-3.2,-0.22,1.81,completed
-3.2,-0.22,1.89,completed
-3.2,-0.22,1.97,completed
-3.2,-0.22,2.03,completed
-3.2,-0.22,2.07,completed
-3.2,-0.22,2.1,completed
-3.2,-0.22,2.165,completed
-3.2,-0.22,2.245,completed
-3.2,-0.22,2.31,completed
-3.2,-0.22,2.34,completed
-3.2,-0.22,2.38,completed
-3.2,-0.22,2.43,completed
-3.2,-0.22,2.45,completed
-3.2,-0.22,2.52,completed
-3.2,-0.22,2.59,completed
-3.2,-0.22,2.61,completed
-3.2,-0.22,2.66,completed
-3.2,-0.22,2.7,completed
-3.2,-0.22,2.73,completed
-3.2,-0.22,2.79,completed
-3.2,-0.22,2.8,completed
-3.2,-0.22,2.87,completed
-3.2,-0.22,2.88,completed
-3.2,-0.22,2.94,completed
-3.2,-0.22,2.97,completed
-3.2,-0.22,3.01,completed
-3.2,-0.22,3.06,completed
-3.2,-0.22,3.08,completed
-3.2,-0.22,3.15,completed
-3.2,-0.22,3.22,completed
-3.2,-0.22,3.24,completed
-3.2,-0.22,3.29,completed
-3.2,-0.22,3.33,completed
-3.2,-0.22,3.36,completed
-3.2,-0.22,3.425,completed
-3.2,-0.22,3.505,completed
-3.2,-0.22,3.57,completed
-3.2,-0.22,3.6,completed
-3.2,-0.22,3.64,completed
-3.2,-0.22,3.7,completed
-3.2,-0.22,3.72,completed
-3.2,-0.22,3.78,completed
-3.2,-0.22,3.8600000000000003,completed
-3.2,-0.22,3.92,completed
-3.2,-0.22,3.975,completed
-3.2,-0.22,4.055,completed
-3.2,-0.22,4.135,completed
-3.2,-0.22,4.215,completed
-3.2,-0.22,4.27,completed
-3.2,-0.22,4.33,completed
-3.2,-0.22,4.41,completed
-3.2,-0.22,4.49,completed
-3.2,-0.22,4.55,completed
-3.2,-0.22,4.59,completed
-3.2,-0.22,4.62,completed
-3.2,-0.22,4.68,completed
-3.2,-0.22,4.69,completed
-3.2,-0.22,4.76,completed
-3.2,-0.22,4.77,completed
-3.2,-0.22,4.83,completed
-3.2,-0.22,4.86,completed
-3.2,-0.22,4.9,completed
-3.2,-0.22,4.95,completed
-3.2,-0.22,4.97,completed
-3.2,-0.22,5.04,completed
-3.2,-0.22,5.11,completed
-3.2,-0.22,5.13,completed
-3.2,-0.22,5.18,completed
-3.2,-0.22,5.2,completed
-3.2,-0.15,0.0,completed
-3.2,-0.15,0.09,completed
-3.2,-0.15,0.18,completed
-3.2,-0.15,0.27,completed
-3.2,-0.15,0.36,completed
-3.2,-0.15,0.4,completed
-3.2,-0.15,0.45,completed
-3.2,-0.15,0.54,completed
-3.2,-0.15,0.63,completed
-3.2,-0.15,0.72,completed
-3.2,-0.15,0.81,completed
-3.2,-0.15,0.9,completed
-3.2,-0.15,0.99,completed
-3.2,-0.15,1.08,completed
-3.2,-0.15,1.17,completed
-3.2,-0.15,1.26,completed
-3.2,-0.15,1.35,completed
-3.2,-0.15,1.44,completed
-3.2,-0.15,1.53,completed
