x,y,z,label
-3.2,-0.22,0.0,pinc_display_clean
-3.2,-0.22,0.09,pinc_display_clean
-3.2,-0.22,0.18,pinc_display_clean
-3.2,-0.22,5.11,pinc_display_clean
-3.2,-0.22,5.13,pinc_display_clean
-3.2,-0.22,5.18,pinc_display_clean
-3.2,-0.22,5.2,pinc_display_clean
-3.2,-0.15,0.0,pinc_display_clean
-3.2,-0.15,0.09,pinc_display_clean
-3.2,-0.15,0.18,pinc_display_clean
-3.2,-0.15,5.13,pinc_display_clean
-3.2,-0.15,5.2,pinc_display_clean
-3.2,-0.08,0.0,pinc_display_clean
-3.2,-0.08,0.09,pinc_display_clean
-3.2,-0.08,0.18,pinc_display_clean
-3.2,-0.08,5.13,pinc_display_clean
-3.2,-0.08,5.2,pinc_display_clean
-3.2,-0.01,0.0,pinc_display_clean
-3.2,-0.01,0.09,pinc_display_clean
-3.2,-0.01,0.18,pinc_display_clean
-3.2,-0.01,5.13,pinc_display_clean
-3.2,-0.01,5.2,pinc_display_clean
-3.2,0.06,0.0,pinc_display_clean
-3.2,0.06,0.09,pinc_display_clean
-3.2,0.06,0.18,pinc_display_clean
-3.2,0.06,5.13,pinc_display_clean
-3.2,0.06,5.2,pinc_display_clean
-3.2,0.13,0.0,pinc_display_clean
-3.2,0.13,0.09,pinc_display_clean
-3.2,0.13,0.18,pinc_display_clean
-3.2,0.13,5.13,pinc_display_clean
-3.2,0.13,5.2,pinc_display_clean
-3.2,0.2,0.0,pinc_display_clean
-3.2,0.2,0.09,pinc_display_clean
-3.2,0.2,0.18,pinc_display_clean
-3.2,0.22,5.11,pinc_display_clean
-3.2,0.2,5.13,pinc_display_clean
-3.2,0.22,5.18,pinc_display_clean
-3.2,0.2,5.2,pinc_display_clean
-3.13,-0.22,5.11,pinc_display_clean
-3.13,-0.22,5.18,pinc_display_clean
-3.13,-0.22,5.2,pinc_display_clean
-3.13,-0.15,5.2,pinc_display_clean
-3.13,-0.08,5.2,pinc_display_clean
-3.13,-0.01,5.2,pinc_display_clean
-3.13,0.06,5.2,pinc_display_clean
-3.13,0.13,5.2,pinc_display_clean
-3.13,0.22,5.11,pinc_display_clean
-3.13,0.22,5.18,pinc_display_clean
-3.13,0.2,5.2,pinc_display_clean
-3.06,-0.22,5.11,pinc_display_clean
-3.06,-0.22,5.18,pinc_display_clean
-3.06,-0.22,5.2,pinc_display_clean
-3.06,-0.15,5.2,pinc_display_clean
-3.06,-0.08,5.2,pinc_display_clean
-3.06,-0.01,5.2,pinc_display_clean
-3.06,0.06,5.2,pinc_display_clean
-3.06,0.13,5.2,pinc_display_clean
-3.06,0.22,5.11,pinc_display_clean
-3.06,0.22,5.18,pinc_display_clean
-3.06,0.2,5.2,pinc_display_clean
-2.99,-0.22,5.11,pinc_display_clean
-2.99,-0.22,5.18,pinc_display_clean
-2.99,-0.22,5.2,pinc_display_clean
-2.99,-0.15,5.2,pinc_display_clean
-2.99,-0.08,5.2,pinc_display_clean
-2.99,-0.01,5.2,pinc_display_clean
-2.99,0.06,5.2,pinc_display_clean
-2.99,0.13,5.2,pinc_display_clean
-2.99,0.22,5.11,pinc_display_clean
-2.99,0.22,5.18,pinc_display_clean
-2.99,0.2,5.2,pinc_display_clean
-2.92,-0.22,5.11,pinc_display_clean
-2.92,-0.22,5.18,pinc_display_clean
-2.92,-0.22,5.2,pinc_display_clean
-2.92,-0.15,5.2,pinc_display_clean
-2.92,-0.08,5.2,pinc_display_clean
-2.92,-0.01,5.2,pinc_display_clean
-2.92,0.06,5.2,pinc_display_clean
-2.92,0.13,5.2,pinc_display_clean
-2.92,0.22,5.11,pinc_display_clean
-2.92,0.22,5.18,pinc_display_clean
-2.92,0.2,5.2,pinc_display_clean
-2.85,-0.22,5.11,pinc_display_clean
-2.85,-0.22,5.18,pinc_display_clean
-2.85,-0.22,5.2,pinc_display_clean
-2.85,-0.15,5.2,pinc_display_clean
-2.85,-0.08,5.2,pinc_display_clean
-2.85,-0.01,5.2,pinc_display_clean
-2.85,0.06,5.2,pinc_display_clean
-2.85,0.13,5.2,pinc_display_clean
-2.85,0.22,5.11,pinc_display_clean
-2.85,0.22,5.18,pinc_display_clean
-2.85,0.2,5.2,pinc_display_clean
-2.78,-0.22,5.11,pinc_display_clean
-2.78,-0.22,5.18,pinc_display_clean
-2.78,-0.22,5.2,pinc_display_clean
-2.78,-0.15,5.2,pinc_display_clean
-2.78,-0.08,5.2,pinc_display_clean
-2.78,-0.01,5.2,pinc_display_clean
-2.78,0.06,5.2,pinc_display_clean
-2.78,0.13,5.2,pinc_display_clean
-2.78,0.22,5.11,pinc_display_clean
-2.78,0.22,5.18,pinc_display_clean
-2.78,0.2,5.2,pinc_display_clean
-2.71,-0.22,5.11,pinc_display_clean
-2.71,-0.22,5.18,pinc_display_clean
-2.71,-0.22,5.2,pinc_display_clean
-2.71,-0.15,5.2,pinc_display_clean
-2.71,-0.08,5.2,pinc_display_clean
-2.71,-0.01,5.2,pinc_display_clean
-2.71,0.06,5.2,pinc_display_clean
-2.71,0.13,5.2,pinc_display_clean
-2.71,0.22,5.11,pinc_display_clean
-2.71,0.22,5.18,pinc_display_clean
-2.71,0.2,5.2,pinc_display_clean
-2.64,-0.22,5.11,pinc_display_clean
-2.64,-0.22,5.18,pinc_display_clean
-2.64,-0.22,5.2,pinc_display_clean
-2.64,-0.15,5.2,pinc_display_clean
-2.64,-0.08,5.2,pinc_display_clean
-2.64,-0.01,5.2,pinc_display_clean
-2.64,0.06,5.2,pinc_display_clean
-2.64,0.13,5.2,pinc_display_clean
-2.64,0.22,5.11,pinc_display_clean
-2.64,0.22,5.18,pinc_display_clean
-2.64,0.2,5.2,pinc_display_clean
-2.57,-0.22,5.11,pinc_display_clean
-2.57,-0.22,5.18,pinc_display_clean
-2.57,-0.22,5.2,pinc_display_clean
-2.57,-0.15,5.2,pinc_display_clean
-2.57,-0.08,5.2,pinc_display_clean
-2.57,-0.01,5.2,pinc_display_clean
-2.57,0.06,5.2,pinc_display_clean
-2.57,0.13,5.2,pinc_display_clean
-2.57,0.22,5.11,pinc_display_clean
-2.57,0.22,5.18,pinc_display_clean
-2.57,0.2,5.2,pinc_display_clean
-2.5,-0.22,5.11,pinc_display_clean
-2.5,-0.22,5.18,pinc_display_clean
-2.5,-0.22,5.2,pinc_display_clean
-2.5,-0.15,5.2,pinc_display_clean
-2.5,-0.08,5.2,pinc_display_clean
-2.5,-0.01,5.2,pinc_display_clean
-2.5,0.06,5.2,pinc_display_clean
-2.5,0.13,5.2,pinc_display_clean
-2.5,0.22,5.11,pinc_display_clean
-2.5,0.22,5.18,pinc_display_clean
-2.5,0.2,5.2,pinc_display_clean
-2.43,-0.22,5.11,pinc_display_clean
-2.43,-0.22,5.18,pinc_display_clean
-2.43,-0.22,5.2,pinc_display_clean
-2.43,-0.15,5.2,pinc_display_clean
-2.43,-0.08,5.2,pinc_display_clean
-2.43,-0.01,5.2,pinc_display_clean
-2.43,0.06,5.2,pinc_display_clean
-2.43,0.13,5.2,pinc_display_clean
-2.43,0.22,5.11,pinc_display_clean
-2.43,0.22,5.18,pinc_display_clean
-2.43,0.2,5.2,pinc_display_clean
-2.36,-0.22,5.11,pinc_display_clean
-2.36,-0.22,5.18,pinc_display_clean
-2.36,-0.22,5.2,pinc_display_clean
-2.36,-0.15,5.2,pinc_display_clean
-2.36,-0.08,5.2,pinc_display_clean
-2.36,-0.01,5.2,pinc_display_clean
-2.36,0.06,5.2,pinc_display_clean
-2.36,0.13,5.2,pinc_display_clean
-2.36,0.22,5.11,pinc_display_clean
-2.36,0.22,5.18,pinc_display_clean
-2.36,0.2,5.2,pinc_display_clean
-2.29,-0.22,5.11,pinc_display_clean
-2.29,-0.22,5.18,pinc_display_clean
