x,y,z,label
-3.2,-0.22,0.0,reconstructed_only
-3.2,-0.22,0.07,reconstructed_only
-3.2,-0.22,0.14,reconstructed_only
-3.2,-0.22,0.21,reconstructed_only
-3.2,-0.22,0.27,reconstructed_only
-3.2,-0.22,0.28,reconstructed_only
-3.2,-0.22,0.35,reconstructed_only
-3.2,-0.22,0.36,reconstructed_only
-3.2,-0.22,0.41000000000000003,reconstructed_only
-3.2,-0.22,0.45,reconstructed_only
-3.2,-0.22,0.49,reconstructed_only
-3.2,-0.22,0.54,reconstructed_only
-3.2,-0.22,0.56,reconstructed_only
-3.2,-0.22,0.63,reconstructed_only
-3.2,-0.22,0.7,reconstructed_only
-3.2,-0.22,0.72,reconstructed_only
-3.2,-0.22,0.77,reconstructed_only
-3.2,-0.22,0.81,reconstructed_only
-3.2,-0.22,0.84,reconstructed_only
-3.2,-0.22,0.905,reconstructed_only
-3.2,-0.22,0.985,reconstructed_only
-3.2,-0.22,1.05,reconstructed_only
-3.2,-0.22,1.08,reconstructed_only
-3.2,-0.22,1.12,reconstructed_only
-3.2,-0.22,1.18,reconstructed_only
-3.2,-0.22,1.26,reconstructed_only
-3.2,-0.22,1.34,reconstructed_only
-3.2,-0.22,1.4,reconstructed_only
-3.2,-0.22,1.455,reconstructed_only
-3.2,-0.22,1.5350000000000001,reconstructed_only
-3.2,-0.22,1.6150000000000002,reconstructed_only
-3.2,-0.22,1.6949999999999998,reconstructed_only
-3.2,-0.22,1.75,reconstructed_only
-3.2,-0.22,1.81,reconstructed_only
-3.2,-0.22,1.89,reconstructed_only
-3.2,-0.22,1.97,reconstructed_only
-3.2,-0.22,2.03,reconstructed_only
-3.2,-0.22,2.07,reconstructed_only
-3.2,-0.22,2.1,reconstructed_only
-3.2,-0.22,2.165,reconstructed_only
-3.2,-0.22,2.245,reconstructed_only
-3.2,-0.22,2.31,reconstructed_only
-3.2,-0.22,2.34,reconstructed_only
-3.2,-0.22,2.38,reconstructed_only
-3.2,-0.22,2.43,reconstructed_only
-3.2,-0.22,2.45,reconstructed_only
-3.2,-0.22,2.52,reconstructed_only
-3.2,-0.22,2.59,reconstructed_only
-3.2,-0.22,2.61,reconstructed_only
-3.2,-0.22,2.66,reconstructed_only
-3.2,-0.22,2.7,reconstructed_only
-3.2,-0.22,2.73,reconstructed_only
-3.2,-0.22,2.79,reconstructed_only
-3.2,-0.22,2.8,reconstructed_only
-3.2,-0.22,2.87,reconstructed_only
-3.2,-0.22,2.88,reconstructed_only
-3.2,-0.22,2.94,reconstructed_only
-3.2,-0.22,2.97,reconstructed_only
-3.2,-0.22,3.01,reconstructed_only
-3.2,-0.22,3.06,reconstructed_only
-3.2,-0.22,3.08,reconstructed_only
-3.2,-0.22,3.15,reconstructed_only
-3.2,-0.22,3.22,reconstructed_only
-3.2,-0.22,3.24,reconstructed_only
-3.2,-0.22,3.29,reconstructed_only
-3.2,-0.22,3.33,reconstructed_only
-3.2,-0.22,3.36,reconstructed_only
-3.2,-0.22,3.425,reconstructed_only
-3.2,-0.22,3.505,reconstructed_only
-3.2,-0.22,3.57,reconstructed_only
-3.2,-0.22,3.6,reconstructed_only
-3.2,-0.22,3.64,reconstructed_only
-3.2,-0.22,3.7,reconstructed_only
-3.2,-0.22,3.72,reconstructed_only
-3.2,-0.22,3.78,reconstructed_only
-3.2,-0.22,3.8600000000000003,reconstructed_only
-3.2,-0.22,3.92,reconstructed_only
-3.2,-0.22,3.975,reconstructed_only
-3.2,-0.22,4.055,reconstructed_only
-3.2,-0.22,4.135,reconstructed_only
-3.2,-0.22,4.215,reconstructed_only
-3.2,-0.22,4.27,reconstructed_only
-3.2,-0.22,4.33,reconstructed_only
-3.2,-0.22,4.41,reconstructed_only
-3.2,-0.22,4.49,reconstructed_only
-3.2,-0.22,4.55,reconstructed_only
-3.2,-0.22,4.59,reconstructed_only
-3.2,-0.22,4.62,reconstructed_only
-3.2,-0.22,4.68,reconstructed_only
-3.2,-0.22,4.69,reconstructed_only
-3.2,-0.22,4.76,reconstructed_only
-3.2,-0.22,4.77,reconstructed_only
-3.2,-0.22,4.83,reconstructed_only
-3.2,-0.22,4.86,reconstructed_only
-3.2,-0.22,4.9,reconstructed_only
-3.2,-0.22,4.95,reconstructed_only
-3.2,-0.22,4.97,reconstructed_only
-3.2,-0.22,5.04,reconstructed_only
-3.2,-0.15,0.0,reconstructed_only
-3.2,-0.15,0.27,reconstructed_only
-3.2,-0.15,0.36,reconstructed_only
-3.2,-0.15,0.4,reconstructed_only
-3.2,-0.15,0.45,reconstructed_only
-3.2,-0.15,0.54,reconstructed_only
-3.2,-0.15,0.63,reconstructed_only
-3.2,-0.15,0.72,reconstructed_only
-3.2,-0.15,0.81,reconstructed_only
-3.2,-0.15,0.9,reconstructed_only
-3.2,-0.15,0.99,reconstructed_only
-3.2,-0.15,1.08,reconstructed_only
-3.2,-0.15,1.17,reconstructed_only
-3.2,-0.15,1.26,reconstructed_only
-3.2,-0.15,1.35,reconstructed_only
-3.2,-0.15,1.44,reconstructed_only
-3.2,-0.15,1.53,reconstructed_only
-3.2,-0.15,1.62,reconstructed_only
-3.2,-0.15,1.71,reconstructed_only
-3.2,-0.15,1.8,reconstructed_only
-3.2,-0.15,1.89,reconstructed_only
-3.2,-0.15,1.98,reconstructed_only
-3.2,-0.15,2.07,reconstructed_only
-3.2,-0.15,2.16,reconstructed_only
-3.2,-0.15,2.25,reconstructed_only
-3.2,-0.15,2.34,reconstructed_only
-3.2,-0.15,2.43,reconstructed_only
-3.2,-0.15,2.52,reconstructed_only
-3.2,-0.15,2.61,reconstructed_only
-3.2,-0.15,2.7,reconstructed_only
-3.2,-0.15,2.79,reconstructed_only
-3.2,-0.15,2.88,reconstructed_only
-3.2,-0.15,2.97,reconstructed_only
-3.2,-0.15,3.06,reconstructed_only
-3.2,-0.15,3.15,reconstructed_only
-3.2,-0.15,3.24,reconstructed_only
-3.2,-0.15,3.33,reconstructed_only
-3.2,-0.15,3.42,reconstructed_only
-3.2,-0.15,3.51,reconstructed_only
-3.2,-0.15,3.6,reconstructed_only
-3.2,-0.15,3.69,reconstructed_only
-3.2,-0.15,3.72,reconstructed_only
-3.2,-0.15,3.78,reconstructed_only
-3.2,-0.15,3.87,reconstructed_only
-3.2,-0.15,3.96,reconstructed_only
-3.2,-0.15,4.05,reconstructed_only
-3.2,-0.15,4.14,reconstructed_only
-3.2,-0.15,4.23,reconstructed_only
-3.2,-0.15,4.32,reconstructed_only
-3.2,-0.15,4.41,reconstructed_only
-3.2,-0.15,4.5,reconstructed_only
-3.2,-0.15,4.59,reconstructed_only
-3.2,-0.15,4.68,reconstructed_only
-3.2,-0.15,4.77,reconstructed_only
-3.2,-0.15,4.86,reconstructed_only
-3.2,-0.15,4.95,reconstructed_only
-3.2,-0.15,5.04,reconstructed_only
-3.2,-0.08,0.0,reconstructed_only
-3.2,-0.08,0.27,reconstructed_only
-3.2,-0.08,0.36,reconstructed_only
-3.2,-0.08,0.4,reconstructed_only
-3.2,-0.08,0.45,reconstructed_only
-3.2,-0.08,0.54,reconstructed_only
-3.2,-0.08,0.63,reconstructed_only
-3.2,-0.08,0.72,reconstructed_only
-3.2,-0.08,0.81,reconstructed_only
-3.2,-0.08,0.9,reconstructed_only
-3.2,-0.08,0.99,reconstructed_only
-3.2,-0.08,1.08,reconstructed_only
-3.2,-0.08,1.17,reconstructed_only
-3.2,-0.08,1.26,reconstructed_only
-3.2,-0.08,1.35,reconstructed_only
-3.2,-0.08,1.44,reconstructed_only
-3.2,-0.08,1.53,reconstructed_only
-3.2,-0.08,1.62,reconstructed_only
-3.2,-0.08,1.71,reconstructed_only
-3.2,-0.08,1.8,reconstructed_only
-3.2,-0.08,1.89,reconstructed_only
-3.2,-0.08,1.98,reconstructed_only
-3.2,-0.08,2.07,reconstructed_only
-3.2,-0.08,2.16,reconstructed_only
-3.2,-0.08,2.25,reconstructed_only
-3.2,-0.08,2.34,reconstructed_only
-3.2,-0.08,2.43,reconstructed_only
-3.2,-0.08,2.52,reconstructed_only
