x,y,z,label
0.7477659999999999,-0.24,2.46269,reconstructed_only
0.7477659999999999,-0.144,2.46269,reconstructed_only
0.7477659999999999,-0.048,2.46269,reconstructed_only
0.7477659999999999,0.048,2.46269,reconstructed_only
0.7477659999999999,0.144,2.46269,reconstructed_only
0.7477659999999999,0.24,2.46269,reconstructed_only
0.783381,-0.24,2.432448,reconstructed_only
0.783381,-0.144,2.432448,reconstructed_only
0.783381,-0.048,2.432448,reconstructed_only
0.783381,0.048,2.432448,reconstructed_only
0.783381,0.144,2.432448,reconstructed_only
0.783381,0.24,2.432448,reconstructed_only
0.828861,-0.24,2.389875,reconstructed_only
0.806402,-0.24,2.411461,reconstructed_only
0.828861,-0.144,2.389875,reconstructed_only
0.806402,-0.144,2.411461,reconstructed_only
0.828861,-0.048,2.389875,reconstructed_only
0.806402,-0.048,2.411461,reconstructed_only
0.828861,0.048,2.389875,reconstructed_only
0.806402,0.048,2.411461,reconstructed_only
0.828861,0.144,2.389875,reconstructed_only
0.806402,0.144,2.411461,reconstructed_only
0.828861,0.24,2.389875,reconstructed_only
0.806402,0.24,2.411461,reconstructed_only
0.872031,-0.24,2.344961,reconstructed_only
0.850742,-0.24,2.367703,reconstructed_only
0.872031,-0.144,2.344961,reconstructed_only
0.850742,-0.144,2.367703,reconstructed_only
0.872031,-0.048,2.344961,reconstructed_only
0.850742,-0.048,2.367703,reconstructed_only
0.872031,0.048,2.344961,reconstructed_only
0.850742,0.048,2.367703,reconstructed_only
0.872031,0.144,2.344961,reconstructed_only
0.850742,0.144,2.367703,reconstructed_only
0.872031,0.24,2.344961,reconstructed_only
0.850742,0.24,2.367703,reconstructed_only
0.91277,-0.24,2.297831,reconstructed_only
0.892711,-0.24,2.321665,reconstructed_only
0.891899,-0.24,2.731065,reconstructed_only
0.91277,-0.144,2.297831,reconstructed_only
0.892711,-0.144,2.321665,reconstructed_only
0.891899,-0.144,2.731065,reconstructed_only
0.91277,-0.048,2.297831,reconstructed_only
0.892711,-0.048,2.321665,reconstructed_only
0.891899,-0.048,2.731065,reconstructed_only
0.91277,0.048,2.297831,reconstructed_only
0.892711,0.048,2.321665,reconstructed_only
0.891899,0.048,2.731065,reconstructed_only
0.91277,0.144,2.297831,reconstructed_only
0.892711,0.144,2.321665,reconstructed_only
0.891899,0.144,2.731065,reconstructed_only
0.91277,0.24,2.297831,reconstructed_only
0.892711,0.24,2.321665,reconstructed_only
0.891899,0.24,2.731065,reconstructed_only
0.9415785,-0.24,2.2610465,reconstructed_only
0.9378759999999999,-0.24,2.69473,reconstructed_only
0.9415785,-0.144,2.2610465,reconstructed_only
0.9378759999999999,-0.144,2.69473,reconstructed_only
0.9415785,-0.048,2.2610465,reconstructed_only
0.9378759999999999,-0.048,2.69473,reconstructed_only
0.9415785,0.048,2.2610465,reconstructed_only
0.9378759999999999,0.048,2.69473,reconstructed_only
