x,y,z,label
-6.154795,-0.488174,0.0,completed
-6.154795,-0.488174,0.09,completed
-6.154795,-0.488174,0.2,completed
-6.154795,-0.488174,0.27,completed
-6.154795,-0.488174,0.36,completed
-6.154795,-0.488174,0.45,completed
-6.154795,-0.488174,0.54,completed
-6.154795,-0.488174,0.63,completed
-6.154795,-0.488174,0.72,completed
-6.154795,-0.488174,0.81,completed
-6.154795,-0.488174,0.9,completed
-6.154795,-0.488174,0.99,completed
-6.154795,-0.488174,1.08,completed
-6.154795,-0.488174,1.17,completed
-6.154795,-0.488174,1.26,completed
-6.154795,-0.488174,1.35,completed
-6.154795,-0.488174,1.44,completed
-6.154795,-0.488174,1.53,completed
-6.154795,-0.488174,1.62,completed
-6.154795,-0.488174,1.71,completed
-6.154795,-0.488174,1.8,completed
-6.154795,-0.488174,1.89,completed
-6.154795,-0.488174,1.98,completed
-6.154795,-0.488174,2.07,completed
-6.154795,-0.488174,2.16,completed
-6.154795,-0.488174,2.25,completed
-6.154795,-0.488174,2.34,completed
-6.154795,-0.488174,2.43,completed
-6.154795,-0.488174,2.52,completed
-6.154795,-0.488174,2.61,completed
-6.154795,-0.488174,2.7,completed
-6.154795,-0.488174,2.79,completed
-6.154795,-0.488174,2.88,completed
-6.154795,-0.488174,2.97,completed
-6.154795,-0.488174,3.06,completed
-6.154795,-0.488174,3.15,completed
-6.154795,-0.488174,3.24,completed
-6.154795,-0.488174,3.33,completed
-6.154795,-0.488174,3.42,completed
-6.154795,-0.488174,3.51,completed
-6.154795,-0.488174,3.6,completed
-6.154795,-0.488174,3.69,completed
-6.154795,-0.488174,3.75,completed
-6.171056,-0.390881,0.0,completed
-6.171056,-0.390881,0.09,completed
-6.171056,-0.390881,0.2,completed
-6.171056,-0.390881,0.27,completed
-6.171056,-0.390881,0.36,completed
-6.171056,-0.390881,0.45,completed
-6.171056,-0.390881,0.54,completed
-6.171056,-0.390881,0.63,completed
-6.171056,-0.390881,0.72,completed
-6.171056,-0.390881,0.81,completed
-6.171056,-0.390881,0.9,completed
-6.171056,-0.390881,0.99,completed
-6.171056,-0.390881,1.08,completed
-6.171056,-0.390881,1.17,completed
-6.171056,-0.390881,1.26,completed
-6.171056,-0.390881,1.35,completed
-6.171056,-0.390881,1.44,completed
-6.171056,-0.390881,1.53,completed
-6.171056,-0.390881,1.62,completed
-6.171056,-0.390881,1.71,completed
-6.171056,-0.390881,1.8,completed
-6.171056,-0.390881,1.89,completed
-6.171056,-0.390881,1.98,completed
-6.171056,-0.390881,2.07,completed
-6.171056,-0.390881,2.16,completed
-6.171056,-0.390881,2.25,completed
-6.171056,-0.390881,2.34,completed
-6.171056,-0.390881,2.43,completed
-6.171056,-0.390881,2.52,completed
-6.171056,-0.390881,2.61,completed
-6.171056,-0.390881,2.7,completed
-6.171056,-0.390881,2.79,completed
-6.171056,-0.390881,2.88,completed
-6.171056,-0.390881,2.97,completed
-6.171056,-0.390881,3.06,completed
-6.171056,-0.390881,3.15,completed
-6.171056,-0.390881,3.24,completed
-6.171056,-0.390881,3.33,completed
-6.171056,-0.390881,3.42,completed
-6.171056,-0.390881,3.51,completed
-6.171056,-0.390881,3.6,completed
-6.171056,-0.390881,3.69,completed
-6.171056,-0.390881,3.75,completed
-6.183714,-0.293361,0.0,completed
-6.183714,-0.293361,0.09,completed
-6.183714,-0.293361,0.2,completed
-6.183714,-0.293361,0.27,completed
-6.183714,-0.293361,0.36,completed
-6.183714,-0.293361,0.45,completed
-6.183714,-0.293361,0.54,completed
-6.183714,-0.293361,0.63,completed
-6.183714,-0.293361,0.72,completed
-6.183714,-0.293361,0.81,completed
-6.183714,-0.293361,0.9,completed
-6.183714,-0.293361,0.99,completed
-6.183714,-0.293361,1.08,completed
-6.183714,-0.293361,1.17,completed
-6.183714,-0.293361,1.26,completed
-6.183714,-0.293361,1.35,completed
-6.183714,-0.293361,1.44,completed
-6.183714,-0.293361,1.53,completed
-6.183714,-0.293361,1.62,completed
-6.183714,-0.293361,1.71,completed
-6.183714,-0.293361,1.8,completed
-6.183714,-0.293361,1.89,completed
-6.183714,-0.293361,1.98,completed
-6.183714,-0.293361,2.07,completed
-6.183714,-0.293361,2.16,completed
-6.183714,-0.293361,2.25,completed
-6.183714,-0.293361,2.34,completed
-6.183714,-0.293361,2.43,completed
-6.183714,-0.293361,2.52,completed
-6.183714,-0.293361,2.61,completed
-6.183714,-0.293361,2.7,completed
-6.183714,-0.293361,2.79,completed
