x,y,z,label
-6.171056,-0.390881,0.0,completed
-6.171056,-0.390881,0.09,completed
-6.171056,-0.390881,0.2,completed
-6.171056,-0.390881,0.27,completed
-6.171056,-0.390881,0.36,completed
-6.171056,-0.390881,0.45,completed
-6.171056,-0.390881,0.54,completed
-6.171056,-0.390881,0.63,completed
-6.171056,-0.390881,0.72,completed
-6.171056,-0.390881,0.81,completed
-6.171056,-0.390881,0.9,completed
-6.171056,-0.390881,0.99,completed
-6.171056,-0.390881,1.08,completed
-6.171056,-0.390881,1.17,completed
-6.171056,-0.390881,1.26,completed
-6.171056,-0.390881,1.35,completed
-6.171056,-0.390881,1.44,completed
-6.171056,-0.390881,1.53,completed
-6.171056,-0.390881,1.62,completed
-6.171056,-0.390881,1.71,completed
-6.171056,-0.390881,1.8,completed
-6.171056,-0.390881,1.89,completed
-6.171056,-0.390881,1.98,completed
-6.171056,-0.390881,2.07,completed
-6.171056,-0.390881,2.16,completed
-6.171056,-0.390881,2.25,completed
-6.171056,-0.390881,2.34,completed
-6.171056,-0.390881,2.43,completed
-6.171056,-0.390881,2.52,completed
-6.171056,-0.390881,2.61,completed
-6.171056,-0.390881,2.7,completed
-6.171056,-0.390881,2.79,completed
-6.171056,-0.390881,2.88,completed
-6.171056,-0.390881,2.97,completed
-6.171056,-0.390881,3.06,completed
-6.171056,-0.390881,3.15,completed
-6.171056,-0.390881,3.24,completed
-6.171056,-0.390881,3.33,completed
-6.171056,-0.390881,3.42,completed
-6.171056,-0.390881,3.51,completed
-6.171056,-0.390881,3.6,completed
-6.171056,-0.390881,3.69,completed
-6.171056,-0.390881,3.75,completed
-6.183714,-0.293361,0.0,completed
-6.183714,-0.293361,0.09,completed
-6.183714,-0.293361,0.2,completed
-6.183714,-0.293361,0.27,completed
-6.183714,-0.293361,0.36,completed
-6.183714,-0.293361,0.45,completed
-6.183714,-0.293361,0.54,completed
-6.183714,-0.293361,0.63,completed
-6.183714,-0.293361,0.72,completed
-6.183714,-0.293361,0.81,completed
-6.183714,-0.293361,0.9,completed
-6.183714,-0.293361,0.99,completed
-6.183714,-0.293361,1.08,completed
-6.183714,-0.293361,1.17,completed
-6.183714,-0.293361,1.26,completed
-6.183714,-0.293361,1.35,completed
-6.183714,-0.293361,1.44,completed
-6.183714,-0.293361,1.53,completed
-6.183714,-0.293361,1.62,completed
-6.183714,-0.293361,1.71,completed
-6.183714,-0.293361,1.8,completed
-6.183714,-0.293361,1.89,completed
-6.183714,-0.293361,1.98,completed
-6.183714,-0.293361,2.07,completed
-6.183714,-0.293361,2.16,completed
-6.183714,-0.293361,2.25,completed
-6.183714,-0.293361,2.34,completed
-6.183714,-0.293361,2.43,completed
-6.183714,-0.293361,2.52,completed
-6.183714,-0.293361,2.61,completed
-6.183714,-0.293361,2.7,completed
-6.183714,-0.293361,2.79,completed
-6.183714,-0.293361,2.88,completed
-6.183714,-0.293361,2.97,completed
-6.183714,-0.293361,3.06,completed
-6.183714,-0.293361,3.15,completed
-6.183714,-0.293361,3.24,completed
-6.183714,-0.293361,3.33,completed
-6.183714,-0.293361,3.42,completed
-6.183714,-0.293361,3.51,completed
-6.183714,-0.293361,3.6,completed
-6.183714,-0.293361,3.69,completed
-6.183714,-0.293361,3.75,completed
-6.19276,-0.195669,0.0,completed
-6.19276,-0.195669,0.09,completed
-6.19276,-0.195669,0.2,completed
-6.19276,-0.195669,0.27,completed
-6.19276,-0.195669,0.36,completed
-6.19276,-0.195669,0.45,completed
-6.19276,-0.195669,0.54,completed
-6.19276,-0.195669,0.63,completed
-6.19276,-0.195669,0.72,completed
-6.19276,-0.195669,0.81,completed
-6.19276,-0.195669,0.9,completed
-6.19276,-0.195669,0.99,completed
-6.19276,-0.195669,1.08,completed
-6.19276,-0.195669,1.17,completed
-6.19276,-0.195669,1.26,completed
-6.19276,-0.195669,1.35,completed
-6.19276,-0.195669,1.44,completed
-6.19276,-0.195669,1.53,completed
-6.19276,-0.195669,1.62,completed
-6.19276,-0.195669,1.71,completed
-6.19276,-0.195669,1.8,completed
-6.19276,-0.195669,1.89,completed
-6.19276,-0.195669,1.98,completed
-6.19276,-0.195669,2.07,completed
-6.19276,-0.195669,2.16,completed
-6.19276,-0.195669,2.25,completed
-6.19276,-0.195669,2.34,completed
-6.19276,-0.195669,2.43,completed
-6.19276,-0.195669,2.52,completed
-6.19276,-0.195669,2.61,completed
-6.19276,-0.195669,2.7,completed
-6.19276,-0.195669,2.79,completed
-6.19276,-0.195669,2.88,completed
-6.19276,-0.195669,2.97,completed
-6.19276,-0.195669,3.06,completed
-6.19276,-0.195669,3.15,completed
-6.19276,-0.195669,3.24,completed
-6.19276,-0.195669,3.33,completed
-6.19276,-0.195669,3.42,completed
-6.19276,-0.195669,3.51,completed
-6.19276,-0.195669,3.6,completed
-6.19276,-0.195669,3.69,completed
-6.19276,-0.195669,3.75,completed
-6.19819,-0.097863,0.0,completed
-6.19819,-0.097863,0.09,completed
-6.19819,-0.097863,0.2,completed
-6.19819,-0.097863,0.27,completed
-6.19819,-0.097863,0.36,completed
-6.19819,-0.097863,1.8,completed
-6.19819,-0.097863,1.89,completed
-6.19819,-0.097863,1.98,completed
-6.19819,-0.097863,2.07,completed
-6.19819,-0.097863,2.16,completed
-6.19819,-0.097863,2.25,completed
-6.19819,-0.097863,2.34,completed
-6.19819,-0.097863,2.43,completed
-6.19819,-0.097863,2.52,completed
-6.19819,-0.097863,2.61,completed
-6.19819,-0.097863,2.7,completed
-6.19819,-0.097863,2.79,completed
-6.19819,-0.097863,2.88,completed
-6.19819,-0.097863,2.97,completed
-6.19819,-0.097863,3.06,completed
-6.19819,-0.097863,3.15,completed
-6.19819,-0.097863,3.24,completed
-6.19819,-0.097863,3.33,completed
-6.19819,-0.097863,3.42,completed
-6.19819,-0.097863,3.51,completed
-6.19819,-0.097863,3.6,completed
-6.19819,-0.097863,3.69,completed
-6.19819,-0.097863,3.75,completed
-6.2,0.0,0.0,completed
-6.2,0.0,0.09,completed
-6.2,0.0,0.2,completed
-6.2,0.0,0.27,completed
-6.2,0.0,0.36,completed
-6.2,0.0,2.07,completed
-6.2,0.0,2.16,completed
-6.2,0.0,2.25,completed
-6.2,0.0,2.34,completed
-6.2,0.0,2.43,completed
-6.2,0.0,2.52,completed
-6.2,0.0,2.61,completed
-6.2,0.0,2.7,completed
-6.2,0.0,2.79,completed
-6.2,0.0,2.88,completed
-6.2,0.0,2.97,completed
-6.2,0.0,3.06,completed
-6.2,0.0,3.15,completed
-6.2,0.0,3.24,completed
-6.2,0.0,3.33,completed
-6.2,0.0,3.42,completed
-6.2,0.0,3.51,completed
-6.2,0.0,3.6,completed
-6.2,0.0,3.69,completed
-6.2,0.0,3.75,completed
-6.19819,0.097863,0.0,completed
-6.19819,0.097863,0.09,completed
-6.19819,0.097863,0.2,completed
-6.19819,0.097863,0.27,completed
-6.19819,0.097863,0.36,completed
-6.19819,0.097863,1.8,completed
-6.19819,0.097863,1.89,completed
-6.19819,0.097863,1.98,completed
-6.19819,0.097863,2.07,completed
-6.19819,0.097863,2.16,completed
-6.19819,0.097863,2.25,completed
-6.19819,0.097863,2.34,completed
-6.19819,0.097863,2.43,completed
-6.19819,0.097863,2.52,completed
-6.19819,0.097863,2.61,completed
-6.19819,0.097863,2.7,completed
-6.19819,0.097863,2.79,completed
-6.19819,0.097863,2.88,completed
-6.19819,0.097863,2.97,completed
-6.19819,0.097863,3.06,completed
-6.19819,0.097863,3.15,completed
-6.19819,0.097863,3.24,completed
-6.19819,0.097863,3.33,completed
-6.19819,0.097863,3.42,completed
-6.19819,0.097863,3.51,completed
-6.19819,0.097863,3.6,completed
-6.19819,0.097863,3.69,completed
-6.19819,0.097863,3.75,completed
-6.19276,0.195669,0.0,completed
-6.19276,0.195669,0.09,completed
-6.19276,0.195669,0.2,completed
-6.19276,0.195669,0.27,completed
-6.19276,0.195669,0.36,completed
-6.19276,0.195669,0.45,completed
-6.19276,0.195669,0.54,completed
-6.19276,0.195669,0.63,completed
-6.19276,0.195669,0.72,completed
-6.19276,0.195669,0.81,completed
-6.19276,0.195669,0.9,completed
-6.19276,0.195669,0.99,completed
-6.19276,0.195669,1.08,completed
-6.19276,0.195669,1.17,completed
-6.19276,0.195669,1.26,completed
-6.19276,0.195669,1.35,completed
-6.19276,0.195669,1.44,completed
-6.19276,0.195669,1.53,completed
-6.19276,0.195669,1.62,completed
-6.19276,0.195669,1.71,completed
-6.19276,0.195669,1.8,completed
-6.19276,0.195669,1.89,completed
-6.19276,0.195669,1.98,completed
-6.19276,0.195669,2.07,completed
-6.19276,0.195669,2.16,completed
-6.19276,0.195669,2.25,completed
-6.19276,0.195669,2.34,completed
-6.19276,0.195669,2.43,completed
-6.19276,0.195669,2.52,completed
-6.19276,0.195669,2.61,completed
-6.19276,0.195669,2.7,completed
-6.19276,0.195669,2.79,completed
-6.19276,0.195669,2.88,completed
-6.19276,0.195669,2.97,completed
-6.19276,0.195669,3.06,completed
-6.19276,0.195669,3.15,completed
-6.19276,0.195669,3.24,completed
-6.19276,0.195669,3.33,completed
-6.19276,0.195669,3.42,completed
-6.19276,0.195669,3.51,completed
-6.19276,0.195669,3.6,completed
-6.19276,0.195669,3.69,completed
-6.19276,0.195669,3.75,completed
-6.183714,0.293361,0.0,completed
-6.183714,0.293361,0.09,completed
-6.183714,0.293361,0.2,completed
-6.183714,0.293361,0.27,completed
-6.183714,0.293361,0.36,completed
-6.183714,0.293361,0.45,completed
-6.183714,0.293361,0.54,completed
-6.183714,0.293361,0.63,completed
-6.183714,0.293361,0.72,completed
-6.183714,0.293361,0.81,completed
-6.183714,0.293361,0.9,completed
-6.183714,0.293361,0.99,completed
-6.183714,0.293361,1.08,completed
-6.183714,0.293361,1.17,completed
-6.183714,0.293361,1.26,completed
-6.183714,0.293361,1.35,completed
-6.183714,0.293361,1.44,completed
-6.183714,0.293361,1.53,completed
-6.183714,0.293361,1.62,completed
-6.183714,0.293361,1.71,completed
-6.183714,0.293361,1.8,completed
-6.183714,0.293361,1.89,completed
-6.183714,0.293361,1.98,completed
-6.183714,0.293361,2.07,completed
-6.183714,0.293361,2.16,completed
-6.183714,0.293361,2.25,completed
-6.183714,0.293361,2.34,completed
-6.183714,0.293361,2.43,completed
-6.183714,0.293361,2.52,completed
-6.183714,0.293361,2.61,completed
-6.183714,0.293361,2.7,completed
-6.183714,0.293361,2.79,completed
-6.183714,0.293361,2.88,completed
-6.183714,0.293361,2.97,completed
-6.183714,0.293361,3.06,completed
-6.183714,0.293361,3.15,completed
-6.183714,0.293361,3.24,completed
-6.183714,0.293361,3.33,completed
-6.183714,0.293361,3.42,completed
-6.183714,0.293361,3.51,completed
-6.183714,0.293361,3.6,completed
-6.183714,0.293361,3.69,completed
-6.183714,0.293361,3.75,completed
-6.171056,0.390881,0.0,completed
-6.171056,0.390881,0.09,completed
-6.171056,0.390881,0.2,completed
-6.171056,0.390881,0.27,completed
-6.171056,0.390881,0.36,completed
-6.171056,0.390881,0.45,completed
-6.171056,0.390881,0.54,completed
-6.171056,0.390881,0.63,completed
-6.171056,0.390881,0.72,completed
-6.171056,0.390881,0.81,completed
-6.171056,0.390881,0.9,completed
-6.171056,0.390881,0.99,completed
-6.171056,0.390881,1.08,completed
-6.171056,0.390881,1.17,completed
-6.171056,0.390881,1.26,completed
-6.171056,0.390881,1.35,completed
-6.171056,0.390881,1.44,completed
-6.171056,0.390881,1.53,completed
-6.171056,0.390881,1.62,completed
-6.171056,0.390881,1.71,completed
-6.171056,0.390881,1.8,completed
-6.171056,0.390881,1.89,completed
-6.171056,0.390881,1.98,completed
-6.171056,0.390881,2.07,completed
-6.171056,0.390881,2.16,completed
-6.171056,0.390881,2.25,completed
-6.171056,0.390881,2.34,completed
-6.171056,0.390881,2.43,completed
-6.171056,0.390881,2.52,completed
-6.171056,0.390881,2.61,completed
-6.171056,0.390881,2.7,completed
-6.171056,0.390881,2.79,completed
-6.171056,0.390881,2.88,completed
-6.171056,0.390881,2.97,completed
-6.171056,0.390881,3.06,completed
-6.171056,0.390881,3.15,completed
-6.171056,0.390881,3.24,completed
-6.171056,0.390881,3.33,completed
-6.171056,0.390881,3.42,completed
-6.171056,0.390881,3.51,completed
-6.171056,0.390881,3.6,completed
-6.171056,0.390881,3.69,completed
-6.171056,0.390881,3.75,completed
-6.13494,-0.585181,0.0,completed
-6.13494,-0.585181,0.09,completed
-6.13494,-0.585181,0.2,completed
-6.13494,-0.585181,0.27,completed
-6.13494,-0.585181,0.36,completed
-6.13494,-0.585181,0.45,completed
-6.13494,-0.585181,0.54,completed
-6.13494,-0.585181,0.63,completed
-6.13494,-0.585181,0.72,completed
-6.13494,-0.585181,0.81,completed
-6.13494,-0.585181,0.9,completed
-6.13494,-0.585181,0.99,completed
-6.13494,-0.585181,1.08,completed
-6.13494,-0.585181,1.17,completed
-6.13494,-0.585181,1.26,completed
-6.13494,-0.585181,1.35,completed
-6.13494,-0.585181,1.44,completed
-6.13494,-0.585181,1.53,completed
-6.13494,-0.585181,1.62,completed
-6.13494,-0.585181,1.71,completed
-6.13494,-0.585181,1.8,completed
-6.13494,-0.585181,1.89,completed
-6.13494,-0.585181,1.98,completed
-6.13494,-0.585181,2.07,completed
-6.13494,-0.585181,2.16,completed
-6.13494,-0.585181,2.25,completed
-6.13494,-0.585181,2.34,completed
-6.13494,-0.585181,2.43,completed
-6.13494,-0.585181,2.52,completed
-6.13494,-0.585181,2.61,completed
-6.13494,-0.585181,2.7,completed
-6.13494,-0.585181,2.79,completed
-6.13494,-0.585181,2.88,completed
-6.13494,-0.585181,2.97,completed
-6.13494,-0.585181,3.06,completed
-6.13494,-0.585181,3.15,completed
-6.13494,-0.585181,3.24,completed
-6.13494,-0.585181,3.33,completed
-6.13494,-0.585181,3.42,completed
-6.13494,-0.585181,3.51,completed
-6.13494,-0.585181,3.6,completed
-6.13494,-0.585181,3.69,completed
-6.13494,-0.585181,3.75,completed
-6.154795,-0.488174,0.0,completed
-6.154795,-0.488174,0.09,completed
-6.154795,-0.488174,0.2,completed
-6.154795,-0.488174,0.27,completed
-6.154795,-0.488174,0.36,completed
-6.154795,-0.488174,0.45,completed
-6.154795,-0.488174,0.54,completed
-6.154795,-0.488174,0.63,completed
-6.154795,-0.488174,0.72,completed
-6.154795,-0.488174,0.81,completed
-6.154795,-0.488174,0.9,completed
-6.154795,-0.488174,0.99,completed
-6.154795,-0.488174,1.08,completed
-6.154795,-0.488174,1.17,completed
-6.154795,-0.488174,1.26,completed
-6.154795,-0.488174,1.35,completed
-6.154795,-0.488174,1.44,completed
-6.154795,-0.488174,1.53,completed
-6.154795,-0.488174,1.62,completed
-6.154795,-0.488174,1.71,completed
-6.154795,-0.488174,1.8,completed
-6.154795,-0.488174,1.89,completed
-6.154795,-0.488174,1.98,completed
-6.154795,-0.488174,2.07,completed
-6.154795,-0.488174,2.16,completed
-6.154795,-0.488174,2.25,completed
-6.154795,-0.488174,2.34,completed
-6.154795,-0.488174,2.43,completed
-6.154795,-0.488174,2.52,completed
-6.154795,-0.488174,2.61,completed
-6.154795,-0.488174,2.7,completed
-6.154795,-0.488174,2.79,completed
-6.154795,-0.488174,2.88,completed
-6.154795,-0.488174,2.97,completed
-6.154795,-0.488174,3.06,completed
-6.154795,-0.488174,3.15,completed
-6.154795,-0.488174,3.24,completed
-6.154795,-0.488174,3.33,completed
-6.154795,-0.488174,3.42,completed
-6.154795,-0.488174,3.51,completed
-6.154795,-0.488174,3.6,completed
-6.154795,-0.488174,3.69,completed
-6.154795,-0.488174,3.75,completed
-6.154795,0.488174,0.0,completed
-6.154795,0.488174,0.09,completed
-6.154795,0.488174,0.2,completed
-6.154795,0.488174,0.27,completed
-6.154795,0.488174,0.36,completed
-6.154795,0.488174,0.45,completed
-6.154795,0.488174,0.54,completed
-6.154795,0.488174,0.63,completed
-6.154795,0.488174,0.72,completed
-6.154795,0.488174,0.81,completed
-6.154795,0.488174,0.9,completed
-6.154795,0.488174,0.99,completed
-6.154795,0.488174,1.08,completed
-6.154795,0.488174,1.17,completed
-6.154795,0.488174,1.26,completed
-6.154795,0.488174,1.35,completed
-6.154795,0.488174,1.44,completed
-6.154795,0.488174,1.53,completed
-6.154795,0.488174,1.62,completed
-6.154795,0.488174,1.71,completed
-6.154795,0.488174,1.8,completed
-6.154795,0.488174,1.89,completed
-6.154795,0.488174,1.98,completed
-6.154795,0.488174,2.07,completed
-6.154795,0.488174,2.16,completed
-6.154795,0.488174,2.25,completed
-6.154795,0.488174,2.34,completed
-6.154795,0.488174,2.43,completed
-6.154795,0.488174,2.52,completed
-6.154795,0.488174,2.61,completed
-6.154795,0.488174,2.7,completed
-6.154795,0.488174,2.79,completed
-6.154795,0.488174,2.88,completed
-6.154795,0.488174,2.97,completed
-6.154795,0.488174,3.06,completed
-6.154795,0.488174,3.15,completed
-6.154795,0.488174,3.24,completed
-6.154795,0.488174,3.33,completed
-6.154795,0.488174,3.42,completed
-6.154795,0.488174,3.51,completed
-6.154795,0.488174,3.6,completed
-6.154795,0.488174,3.69,completed
-6.154795,0.488174,3.75,completed
-6.13494,0.585181,0.0,completed
-6.13494,0.585181,0.09,completed
-6.13494,0.585181,0.2,completed
-6.13494,0.585181,0.27,completed
-6.13494,0.585181,0.36,completed
-6.13494,0.585181,0.45,completed
-6.13494,0.585181,0.54,completed
-6.13494,0.585181,0.63,completed
-6.13494,0.585181,0.72,completed
-6.13494,0.585181,0.81,completed
-6.13494,0.585181,0.9,completed
-6.13494,0.585181,0.99,completed
-6.13494,0.585181,1.08,completed
-6.13494,0.585181,1.17,completed
-6.13494,0.585181,1.26,completed
-6.13494,0.585181,1.35,completed
-6.13494,0.585181,1.44,completed
-6.13494,0.585181,1.53,completed
-6.13494,0.585181,1.62,completed
-6.13494,0.585181,1.71,completed
-6.13494,0.585181,1.8,completed
-6.13494,0.585181,1.89,completed
-6.13494,0.585181,1.98,completed
-6.13494,0.585181,2.07,completed
-6.13494,0.585181,2.16,completed
-6.13494,0.585181,2.25,completed
-6.13494,0.585181,2.34,completed
-6.13494,0.585181,2.43,completed
-6.13494,0.585181,2.52,completed
-6.13494,0.585181,2.61,completed
-6.13494,0.585181,2.7,completed
-6.13494,0.585181,2.79,completed
-6.13494,0.585181,2.88,completed
-6.13494,0.585181,2.97,completed
-6.13494,0.585181,3.06,completed
-6.13494,0.585181,3.15,completed
-6.13494,0.585181,3.24,completed
-6.13494,0.585181,3.33,completed
-6.13494,0.585181,3.42,completed
-6.13494,0.585181,3.51,completed
-6.13494,0.585181,3.6,completed
-6.13494,0.585181,3.69,completed
-6.13494,0.585181,3.75,completed
-6.084495,-0.778113,0.0,completed
-6.084495,-0.778113,0.09,completed
-6.084495,-0.778113,0.2,completed
-6.084495,-0.778113,0.27,completed
-6.084495,-0.778113,0.36,completed
-6.084495,-0.778113,1.89,completed
-6.084495,-0.778113,1.98,completed
-6.084495,-0.778113,2.07,completed
-6.084495,-0.778113,2.16,completed
-6.084495,-0.778113,2.25,completed
-6.084495,-0.778113,2.34,completed
-6.084495,-0.778113,2.43,completed
-6.084495,-0.778113,2.52,completed
-6.084495,-0.778113,2.61,completed
-6.084495,-0.778113,2.7,completed
-6.084495,-0.778113,2.79,completed
-6.084495,-0.778113,2.88,completed
-6.084495,-0.778113,2.97,completed
-6.084495,-0.778113,3.06,completed
-6.084495,-0.778113,3.15,completed
-6.084495,-0.778113,3.24,completed
-6.084495,-0.778113,3.33,completed
-6.084495,-0.778113,3.42,completed
-6.084495,-0.778113,3.51,completed
-6.084495,-0.778113,3.6,completed
-6.084495,-0.778113,3.69,completed
-6.084495,-0.778113,3.75,completed
-6.111502,-0.681846,0.0,completed
-6.111502,-0.681846,0.09,completed
-6.111502,-0.681846,0.2,completed
-6.111502,-0.681846,0.27,completed
-6.111502,-0.681846,0.36,completed
-6.111502,-0.681846,0.45,completed
-6.111502,-0.681846,0.54,completed
-6.111502,-0.681846,0.63,completed
-6.111502,-0.681846,0.72,completed
-6.111502,-0.681846,0.81,completed
-6.111502,-0.681846,0.9,completed
-6.111502,-0.681846,0.99,completed
-6.111502,-0.681846,1.08,completed
-6.111502,-0.681846,1.17,completed
-6.111502,-0.681846,1.26,completed
-6.111502,-0.681846,1.35,completed
-6.111502,-0.681846,1.44,completed
-6.111502,-0.681846,1.53,completed
-6.111502,-0.681846,1.62,completed
-6.111502,-0.681846,1.71,completed
-6.111502,-0.681846,1.8,completed
-6.111502,-0.681846,1.89,completed
-6.111502,-0.681846,1.98,completed
-6.111502,-0.681846,2.07,completed
-6.111502,-0.681846,2.16,completed
-6.111502,-0.681846,2.25,completed
-6.111502,-0.681846,2.34,completed
-6.111502,-0.681846,2.43,completed
-6.111502,-0.681846,2.52,completed
-6.111502,-0.681846,2.61,completed
-6.111502,-0.681846,2.7,completed
-6.111502,-0.681846,2.79,completed
-6.111502,-0.681846,2.88,completed
-6.111502,-0.681846,2.97,completed
-6.111502,-0.681846,3.06,completed
-6.111502,-0.681846,3.15,completed
-6.111502,-0.681846,3.24,completed
-6.111502,-0.681846,3.33,completed
-6.111502,-0.681846,3.42,completed
-6.111502,-0.681846,3.51,completed
-6.111502,-0.681846,3.6,completed
-6.111502,-0.681846,3.69,completed
-6.111502,-0.681846,3.75,completed
-6.111502,0.681846,0.0,completed
-6.111502,0.681846,0.09,completed
-6.111502,0.681846,0.2,completed
-6.111502,0.681846,0.27,completed
-6.111502,0.681846,0.36,completed
-6.111502,0.681846,0.45,completed
-6.111502,0.681846,0.54,completed
-6.111502,0.681846,0.63,completed
-6.111502,0.681846,0.72,completed
-6.111502,0.681846,0.81,completed
-6.111502,0.681846,0.9,completed
-6.111502,0.681846,0.99,completed
-6.111502,0.681846,1.08,completed
-6.111502,0.681846,1.17,completed
-6.111502,0.681846,1.26,completed
-6.111502,0.681846,1.35,completed
-6.111502,0.681846,1.44,completed
-6.111502,0.681846,1.53,completed
-6.111502,0.681846,1.62,completed
-6.111502,0.681846,1.71,completed
-6.111502,0.681846,1.8,completed
-6.111502,0.681846,1.89,completed
-6.111502,0.681846,1.98,completed
-6.111502,0.681846,2.07,completed
-6.111502,0.681846,2.16,completed
-6.111502,0.681846,2.25,completed
-6.111502,0.681846,2.34,completed
-6.111502,0.681846,2.43,completed
-6.111502,0.681846,2.52,completed
-6.111502,0.681846,2.61,completed
