x,y,z,label
-2.336192,-2.705555,2.362143,reconstructed_only
-2.242466,-2.596934,2.194286,reconstructed_only
-2.242466,-2.596934,2.354286,reconstructed_only
-2.148741,-2.488312,2.026429,reconstructed_only
-2.148741,-2.488312,2.186429,reconstructed_only
-2.045012,-2.663669,2.354286,reconstructed_only
-2.055016,-2.37969,2.018571,reconstructed_only
-1.95954,-2.552256,2.186429,reconstructed_only
-1.915905,-3.851779,2.07,reconstructed_only
-1.915905,-3.851779,2.16,reconstructed_only
-1.919803,-2.838127,2.522143,reconstructed_only
-1.874067,-2.440842,2.018571,reconstructed_only
-1.842782,-2.724183,2.354286,reconstructed_only
-1.772863,-3.880896,1.98,reconstructed_only
-1.772863,-3.880896,2.07,reconstructed_only
-1.772863,-3.880896,2.16,reconstructed_only
-1.772863,-3.880896,2.25,reconstructed_only
-1.773024,-3.010752,2.53,reconstructed_only
-1.765762,-2.610238,2.186429,reconstructed_only
-1.704636,-2.894543,2.362143,reconstructed_only
-1.704636,-2.894543,2.522143,reconstructed_only
-1.688742,-2.496294,2.018571,reconstructed_only
-1.628786,-3.907746,1.98,reconstructed_only
-1.628786,-3.907746,2.07,reconstructed_only
-1.628786,-3.907746,2.16,reconstructed_only
-1.628786,-3.907746,2.25,reconstructed_only
-1.628786,-3.907746,2.34,reconstructed_only
-1.636248,-2.778334,2.194286,reconstructed_only
-1.636248,-2.778334,2.354286,reconstructed_only
-1.545085,-3.062402,2.69,reconstructed_only
-1.56786,-2.662125,2.026429,reconstructed_only
-1.56786,-2.662125,2.186429,reconstructed_only
-1.485489,-2.944199,2.522143,reconstructed_only
-1.499472,-2.545916,1.858571,reconstructed_only
-1.499472,-2.545916,2.018571,reconstructed_only
-1.483757,-3.932314,1.89,reconstructed_only
-1.483757,-3.932314,1.98,reconstructed_only
-1.483757,-3.932314,2.07,reconstructed_only
-1.483757,-3.932314,2.16,reconstructed_only
-1.483757,-3.932314,2.25,reconstructed_only
-1.483757,-3.932314,2.34,reconstructed_only
-1.483757,-3.932314,2.43,reconstructed_only
-1.425893,-2.825997,2.354286,reconstructed_only
-1.431084,-2.429706,1.850714,reconstructed_only
-1.366297,-2.707794,2.186429,reconstructed_only
-1.337862,-3.954586,1.89,reconstructed_only
-1.337862,-3.954586,1.98,reconstructed_only
-1.337862,-3.954586,2.07,reconstructed_only
-1.337862,-3.954586,2.16,reconstructed_only
-1.337862,-3.954586,2.25,reconstructed_only
-1.337862,-3.954586,2.34,reconstructed_only
-1.337862,-3.954586,2.43,reconstructed_only
-1.313537,-3.106899,2.69,reconstructed_only
-1.3067,-2.589591,2.018571,reconstructed_only
-1.262872,-2.986979,2.522143,reconstructed_only
-1.247104,-2.471388,1.850714,reconstructed_only
-1.191186,-3.974549,1.8,reconstructed_only
-1.191186,-3.974549,1.89,reconstructed_only
-1.191186,-3.974549,1.98,reconstructed_only
-1.191186,-3.974549,2.07,reconstructed_only
-1.191186,-3.974549,2.16,reconstructed_only
-1.191186,-3.974549,2.25,reconstructed_only
-1.191186,-3.974549,2.34,reconstructed_only
-1.191186,-3.974549,2.43,reconstructed_only
-1.212207,-2.867059,2.354286,reconstructed_only
-1.161542,-2.747139,2.186429,reconstructed_only
-1.110877,-2.627218,2.018571,reconstructed_only
-1.043814,-3.992191,1.8,reconstructed_only
-1.043814,-3.992191,1.89,reconstructed_only
-1.043814,-3.992191,1.98,reconstructed_only
-1.043814,-3.992191,2.07,reconstructed_only
-1.043814,-3.992191,2.16,reconstructed_only
-1.043814,-3.992191,2.25,reconstructed_only
-1.043814,-3.992191,2.34,reconstructed_only
-1.043814,-3.992191,2.43,reconstructed_only
-1.043814,-3.992191,2.52,reconstructed_only
-1.078921,-3.14414,2.53,reconstructed_only
-1.078921,-3.14414,2.69,reconstructed_only
-1.037305,-3.022783,2.362143,reconstructed_only
-1.037305,-3.022783,2.522143,reconstructed_only
-1.060212,-2.507298,1.850714,reconstructed_only
-0.99569,-2.901425,2.194286,reconstructed_only
-0.99569,-2.901425,2.354286,reconstructed_only
-0.954074,-2.780067,2.026429,reconstructed_only
-0.954074,-2.780067,2.186429,reconstructed_only
-0.912459,-2.65871,1.858571,reconstructed_only
-0.912459,-2.65871,2.018571,reconstructed_only
-0.895832,-4.007501,1.71,reconstructed_only
-0.895832,-4.007501,1.8,reconstructed_only
-0.895832,-4.007501,1.89,reconstructed_only
-0.895832,-4.007501,1.98,reconstructed_only
-0.895832,-4.007501,2.07,reconstructed_only
-0.895832,-4.007501,2.16,reconstructed_only
-0.895832,-4.007501,2.25,reconstructed_only
-0.895832,-4.007501,2.34,reconstructed_only
-0.895832,-4.007501,2.43,reconstructed_only
-0.895832,-4.007501,2.52,reconstructed_only
-0.870843,-2.537352,1.690714,reconstructed_only
-0.870843,-2.537352,1.850714,reconstructed_only
-0.841785,-3.174038,2.69,reconstructed_only
