x,y,z,label
-5.848533,-1.344227,3.33,reconstructed_only
-5.848533,-1.344227,3.42,reconstructed_only
-5.797101,-1.43615,3.24,reconstructed_only
-5.797101,-1.43615,3.33,reconstructed_only
-5.797101,-1.43615,3.42,reconstructed_only
-5.742283,-1.527234,3.15,reconstructed_only
-5.742283,-1.527234,3.24,reconstructed_only
-5.742283,-1.527234,3.33,reconstructed_only
-5.742283,-1.527234,3.42,reconstructed_only
-5.684112,-1.617427,2.97,reconstructed_only
-5.684112,-1.617427,3.06,reconstructed_only
-5.684112,-1.617427,3.15,reconstructed_only
-5.684112,-1.617427,3.24,reconstructed_only
-5.684112,-1.617427,3.33,reconstructed_only
-5.684112,-1.617427,3.42,reconstructed_only
-5.622621,-1.706674,2.88,reconstructed_only
-5.622621,-1.706674,2.97,reconstructed_only
-5.622621,-1.706674,3.06,reconstructed_only
-5.622621,-1.706674,3.15,reconstructed_only
-5.622621,-1.706674,3.24,reconstructed_only
-5.622621,-1.706674,3.33,reconstructed_only
-5.622621,-1.706674,3.42,reconstructed_only
-5.557847,-1.794926,2.79,reconstructed_only
-5.557847,-1.794926,2.88,reconstructed_only
-5.557847,-1.794926,2.97,reconstructed_only
-5.557847,-1.794926,3.06,reconstructed_only
-5.557847,-1.794926,3.15,reconstructed_only
-5.557847,-1.794926,3.24,reconstructed_only
-5.557847,-1.794926,3.33,reconstructed_only
-5.557847,-1.794926,3.42,reconstructed_only
-5.489827,-1.882129,2.61,reconstructed_only
-5.489827,-1.882129,2.7,reconstructed_only
-5.489827,-1.882129,2.79,reconstructed_only
-5.489827,-1.882129,2.88,reconstructed_only
-5.489827,-1.882129,2.97,reconstructed_only
-5.489827,-1.882129,3.06,reconstructed_only
-5.489827,-1.882129,3.15,reconstructed_only
-5.489827,-1.882129,3.24,reconstructed_only
-5.489827,-1.882129,3.33,reconstructed_only
-5.489827,-1.882129,3.42,reconstructed_only
-5.418602,-1.968233,2.52,reconstructed_only
-5.418602,-1.968233,2.61,reconstructed_only
-5.418602,-1.968233,2.7,reconstructed_only
-5.418602,-1.968233,2.79,reconstructed_only
-5.418602,-1.968233,2.88,reconstructed_only
-5.418602,-1.968233,2.97,reconstructed_only
-5.418602,-1.968233,3.06,reconstructed_only
-5.418602,-1.968233,3.15,reconstructed_only
-5.418602,-1.968233,3.24,reconstructed_only
-5.418602,-1.968233,3.33,reconstructed_only
-5.418602,-1.968233,3.42,reconstructed_only
-5.344212,-2.053187,2.43,reconstructed_only
-5.344212,-2.053187,2.52,reconstructed_only
-5.344212,-2.053187,2.61,reconstructed_only
-5.344212,-2.053187,2.7,reconstructed_only
-5.344212,-2.053187,2.79,reconstructed_only
-5.344212,-2.053187,2.88,reconstructed_only
-5.344212,-2.053187,2.97,reconstructed_only
-5.344212,-2.053187,3.06,reconstructed_only
-5.344212,-2.053187,3.15,reconstructed_only
-5.344212,-2.053187,3.24,reconstructed_only
-5.344212,-2.053187,3.33,reconstructed_only
-5.344212,-2.053187,3.42,reconstructed_only
-5.266701,-2.136943,2.25,reconstructed_only
-5.266701,-2.136943,2.34,reconstructed_only
-5.266701,-2.136943,2.43,reconstructed_only
-5.266701,-2.136943,2.52,reconstructed_only
-5.266701,-2.136943,2.61,reconstructed_only
-5.266701,-2.136943,2.7,reconstructed_only
-5.266701,-2.136943,2.79,reconstructed_only
-5.266701,-2.136943,2.88,reconstructed_only
-5.266701,-2.136943,2.97,reconstructed_only
-5.266701,-2.136943,3.06,reconstructed_only
-5.266701,-2.136943,3.15,reconstructed_only
-5.266701,-2.136943,3.24,reconstructed_only
-5.266701,-2.136943,3.33,reconstructed_only
-5.266701,-2.136943,3.42,reconstructed_only
-5.186115,-2.219451,2.16,reconstructed_only
-5.186115,-2.219451,2.25,reconstructed_only
-5.186115,-2.219451,2.34,reconstructed_only
-5.186115,-2.219451,2.43,reconstructed_only
-5.186115,-2.219451,2.52,reconstructed_only
-5.186115,-2.219451,2.61,reconstructed_only
-5.186115,-2.219451,2.7,reconstructed_only
-5.186115,-2.219451,2.79,reconstructed_only
-5.186115,-2.219451,2.88,reconstructed_only
-5.186115,-2.219451,2.97,reconstructed_only
-5.186115,-2.219451,3.06,reconstructed_only
-5.186115,-2.219451,3.15,reconstructed_only
-5.186115,-2.219451,3.24,reconstructed_only
-5.186115,-2.219451,3.33,reconstructed_only
-5.186115,-2.219451,3.42,reconstructed_only
-5.1025,-2.300662,2.07,reconstructed_only
-5.1025,-2.300662,2.16,reconstructed_only
-5.1025,-2.300662,2.25,reconstructed_only
-5.1025,-2.300662,2.34,reconstructed_only
-5.1025,-2.300662,2.43,reconstructed_only
-5.1025,-2.300662,2.52,reconstructed_only
-5.1025,-2.300662,2.61,reconstructed_only
-5.1025,-2.300662,2.7,reconstructed_only
-5.1025,-2.300662,2.79,reconstructed_only
-5.1025,-2.300662,2.88,reconstructed_only
-5.1025,-2.300662,2.97,reconstructed_only
-5.1025,-2.300662,3.06,reconstructed_only
-5.1025,-2.300662,3.15,reconstructed_only
-5.1025,-2.300662,3.24,reconstructed_only
-5.1025,-2.300662,3.33,reconstructed_only
-5.1025,-2.300662,3.42,reconstructed_only
-5.015905,-2.38053,2.07,reconstructed_only
-5.015905,-2.38053,2.16,reconstructed_only
-5.015905,-2.38053,2.25,reconstructed_only
-5.015905,-2.38053,2.34,reconstructed_only
-5.015905,-2.38053,2.43,reconstructed_only
-5.015905,-2.38053,2.52,reconstructed_only
-5.015905,-2.38053,2.61,reconstructed_only
-5.015905,-2.38053,2.7,reconstructed_only
-5.015905,-2.38053,2.79,reconstructed_only
-5.015905,-2.38053,2.88,reconstructed_only
-5.015905,-2.38053,2.97,reconstructed_only
-5.015905,-2.38053,3.06,reconstructed_only
-5.015905,-2.38053,3.15,reconstructed_only
-5.015905,-2.38053,3.24,reconstructed_only
-5.015905,-2.38053,3.33,reconstructed_only
-5.015905,-2.38053,3.42,reconstructed_only
-4.926382,-2.459008,1.8,reconstructed_only
-4.926382,-2.459008,1.89,reconstructed_only
-4.926382,-2.459008,1.98,reconstructed_only
-4.926382,-2.459008,2.07,reconstructed_only
-4.926382,-2.459008,2.16,reconstructed_only
-4.926382,-2.459008,2.25,reconstructed_only
-4.926382,-2.459008,2.34,reconstructed_only
-4.926382,-2.459008,2.43,reconstructed_only
-4.926382,-2.459008,2.52,reconstructed_only
-4.926382,-2.459008,2.61,reconstructed_only
-4.926382,-2.459008,2.7,reconstructed_only
-4.926382,-2.459008,2.79,reconstructed_only
-4.926382,-2.459008,2.88,reconstructed_only
-4.926382,-2.459008,2.97,reconstructed_only
-4.926382,-2.459008,3.06,reconstructed_only
-4.926382,-2.459008,3.15,reconstructed_only
-4.926382,-2.459008,3.24,reconstructed_only
-4.926382,-2.459008,3.33,reconstructed_only
-4.926382,-2.459008,3.42,reconstructed_only
-4.833981,-2.53605,1.71,reconstructed_only
-4.833981,-2.53605,1.8,reconstructed_only
-4.833981,-2.53605,1.89,reconstructed_only
-4.833981,-2.53605,1.98,reconstructed_only
-4.833981,-2.53605,2.07,reconstructed_only
-4.833981,-2.53605,2.16,reconstructed_only
-4.833981,-2.53605,2.25,reconstructed_only
-4.833981,-2.53605,2.34,reconstructed_only
-4.833981,-2.53605,2.43,reconstructed_only
-4.833981,-2.53605,2.52,reconstructed_only
