x,y,z,label
-2.747788,3.630529,1.17,reconstructed_only
-2.747788,3.630529,1.26,reconstructed_only
-2.747788,3.630529,1.35,reconstructed_only
-2.747788,3.630529,1.44,reconstructed_only
-2.747788,3.630529,1.53,reconstructed_only
-2.747788,3.630529,1.62,reconstructed_only
-2.747788,3.630529,1.71,reconstructed_only
-2.747788,3.630529,1.8,reconstructed_only
-2.747788,3.630529,1.89,reconstructed_only
-2.747788,3.630529,1.98,reconstructed_only
-2.747788,3.630529,2.07,reconstructed_only
-2.747788,3.630529,2.16,reconstructed_only
-2.747788,3.630529,2.25,reconstructed_only
-2.747788,3.630529,2.34,reconstructed_only
-2.747788,3.630529,2.43,reconstructed_only
-2.747788,3.630529,2.52,reconstructed_only
-2.747788,3.630529,2.61,reconstructed_only
-2.747788,3.630529,2.7,reconstructed_only
-2.747788,3.630529,2.79,reconstructed_only
-2.747788,3.630529,2.88,reconstructed_only
-2.747788,3.630529,2.97,reconstructed_only
-2.747788,3.630529,3.06,reconstructed_only
-2.747788,3.630529,3.15,reconstructed_only
-2.747788,3.630529,3.24,reconstructed_only
-2.747788,3.630529,3.33,reconstructed_only
-2.747788,3.630529,3.42,reconstructed_only
-2.747788,3.630529,3.51,reconstructed_only
-2.747788,3.630529,3.6,reconstructed_only
-2.747788,3.630529,3.69,reconstructed_only
-2.747788,3.630529,3.75,reconstructed_only
-2.612687,3.672841,1.17,reconstructed_only
-2.612687,3.672841,1.26,reconstructed_only
-2.612687,3.672841,1.35,reconstructed_only
-2.612687,3.672841,1.44,reconstructed_only
-2.612687,3.672841,1.53,reconstructed_only
-2.612687,3.672841,1.62,reconstructed_only
-2.612687,3.672841,1.71,reconstructed_only
-2.612687,3.672841,1.8,reconstructed_only
-2.612687,3.672841,1.89,reconstructed_only
-2.612687,3.672841,1.98,reconstructed_only
-2.612687,3.672841,2.07,reconstructed_only
-2.612687,3.672841,2.16,reconstructed_only
-2.612687,3.672841,2.25,reconstructed_only
-2.612687,3.672841,2.34,reconstructed_only
-2.612687,3.672841,2.43,reconstructed_only
-2.612687,3.672841,2.52,reconstructed_only
-2.612687,3.672841,2.61,reconstructed_only
-2.612687,3.672841,2.7,reconstructed_only
-2.612687,3.672841,2.79,reconstructed_only
-2.612687,3.672841,2.88,reconstructed_only
-2.612687,3.672841,2.97,reconstructed_only
-2.612687,3.672841,3.06,reconstructed_only
-2.612687,3.672841,3.15,reconstructed_only
-2.612687,3.672841,3.24,reconstructed_only
-2.612687,3.672841,3.33,reconstructed_only
-2.612687,3.672841,3.42,reconstructed_only
-2.612687,3.672841,3.51,reconstructed_only
-2.612687,3.672841,3.6,reconstructed_only
-2.612687,3.672841,3.69,reconstructed_only
-2.612687,3.672841,3.75,reconstructed_only
-2.47606,3.713008,1.17,reconstructed_only
-2.47606,3.713008,1.26,reconstructed_only
-2.47606,3.713008,1.35,reconstructed_only
-2.47606,3.713008,1.44,reconstructed_only
-2.47606,3.713008,1.53,reconstructed_only
-2.47606,3.713008,1.62,reconstructed_only
-2.47606,3.713008,1.71,reconstructed_only
-2.47606,3.713008,1.8,reconstructed_only
-2.47606,3.713008,1.89,reconstructed_only
-2.47606,3.713008,1.98,reconstructed_only
-2.47606,3.713008,2.07,reconstructed_only
-2.47606,3.713008,2.16,reconstructed_only
-2.47606,3.713008,2.25,reconstructed_only
-2.47606,3.713008,2.34,reconstructed_only
-2.47606,3.713008,2.43,reconstructed_only
-2.47606,3.713008,2.52,reconstructed_only
-2.47606,3.713008,2.61,reconstructed_only
-2.47606,3.713008,2.7,reconstructed_only
-2.47606,3.713008,2.79,reconstructed_only
-2.47606,3.713008,2.88,reconstructed_only
-2.47606,3.713008,2.97,reconstructed_only
-2.47606,3.713008,3.06,reconstructed_only
-2.47606,3.713008,3.15,reconstructed_only
-2.47606,3.713008,3.24,reconstructed_only
-2.47606,3.713008,3.33,reconstructed_only
-2.47606,3.713008,3.42,reconstructed_only
-2.47606,3.713008,3.51,reconstructed_only
-2.47606,3.713008,3.6,reconstructed_only
-2.47606,3.713008,3.69,reconstructed_only
-2.47606,3.713008,3.75,reconstructed_only
-2.337988,3.751007,1.17,reconstructed_only
-2.337988,3.751007,1.26,reconstructed_only
-2.337988,3.751007,1.35,reconstructed_only
-2.337988,3.751007,1.44,reconstructed_only
-2.337988,3.751007,1.53,reconstructed_only
-2.337988,3.751007,1.62,reconstructed_only
-2.337988,3.751007,1.71,reconstructed_only
-2.337988,3.751007,1.8,reconstructed_only
-2.337988,3.751007,1.89,reconstructed_only
-2.337988,3.751007,1.98,reconstructed_only
-2.337988,3.751007,2.07,reconstructed_only
-2.337988,3.751007,2.16,reconstructed_only
-2.337988,3.751007,2.25,reconstructed_only
-2.337988,3.751007,2.34,reconstructed_only
-2.337988,3.751007,2.43,reconstructed_only
-2.337988,3.751007,2.52,reconstructed_only
-2.337988,3.751007,2.61,reconstructed_only
-2.337988,3.751007,2.7,reconstructed_only
-2.337988,3.751007,2.79,reconstructed_only
-2.337988,3.751007,2.88,reconstructed_only
-2.337988,3.751007,2.97,reconstructed_only
-2.337988,3.751007,3.06,reconstructed_only
-2.337988,3.751007,3.15,reconstructed_only
-2.337988,3.751007,3.24,reconstructed_only
-2.337988,3.751007,3.33,reconstructed_only
-2.337988,3.751007,3.42,reconstructed_only
-2.337988,3.751007,3.51,reconstructed_only
-2.337988,3.751007,3.6,reconstructed_only
-2.337988,3.751007,3.69,reconstructed_only
-2.337988,3.751007,3.75,reconstructed_only
-2.19855,3.786816,1.17,reconstructed_only
-2.19855,3.786816,1.26,reconstructed_only
-2.19855,3.786816,1.35,reconstructed_only
-2.19855,3.786816,1.44,reconstructed_only
-2.19855,3.786816,1.53,reconstructed_only
-2.19855,3.786816,1.62,reconstructed_only
-2.19855,3.786816,1.71,reconstructed_only
-2.19855,3.786816,1.8,reconstructed_only
-2.19855,3.786816,1.89,reconstructed_only
-2.19855,3.786816,1.98,reconstructed_only
-2.19855,3.786816,2.07,reconstructed_only
-2.19855,3.786816,2.16,reconstructed_only
-2.19855,3.786816,2.25,reconstructed_only
-2.19855,3.786816,2.34,reconstructed_only
-2.19855,3.786816,2.43,reconstructed_only
-2.19855,3.786816,2.52,reconstructed_only
-2.19855,3.786816,2.61,reconstructed_only
-2.19855,3.786816,2.7,reconstructed_only
-2.19855,3.786816,2.79,reconstructed_only
-2.19855,3.786816,2.88,reconstructed_only
-2.19855,3.786816,2.97,reconstructed_only
-2.19855,3.786816,3.06,reconstructed_only
-2.19855,3.786816,3.15,reconstructed_only
-2.19855,3.786816,3.24,reconstructed_only
-2.19855,3.786816,3.33,reconstructed_only
-2.19855,3.786816,3.42,reconstructed_only
-2.19855,3.786816,3.51,reconstructed_only
-2.19855,3.786816,3.6,reconstructed_only
-2.19855,3.786816,3.69,reconstructed_only
-2.19855,3.786816,3.75,reconstructed_only
-2.057829,3.820413,1.8,reconstructed_only
-2.057829,3.820413,1.89,reconstructed_only
-2.057829,3.820413,1.98,reconstructed_only
-2.057829,3.820413,2.07,reconstructed_only
-2.057829,3.820413,2.16,reconstructed_only
-2.057829,3.820413,2.25,reconstructed_only
-2.057829,3.820413,2.34,reconstructed_only
-2.057829,3.820413,2.43,reconstructed_only
-2.057829,3.820413,2.52,reconstructed_only
-2.057829,3.820413,2.61,reconstructed_only
-2.057829,3.820413,2.7,reconstructed_only
-2.057829,3.820413,2.79,reconstructed_only
-2.057829,3.820413,2.88,reconstructed_only
-2.057829,3.820413,2.97,reconstructed_only
-2.057829,3.820413,3.06,reconstructed_only
-2.057829,3.820413,3.15,reconstructed_only
-2.057829,3.820413,3.24,reconstructed_only
-2.057829,3.820413,3.33,reconstructed_only
-2.057829,3.820413,3.42,reconstructed_only
-2.057829,3.820413,3.51,reconstructed_only
