x,y,z,label
0.388127,-1.276454,5.84,tower_wall
0.385784,-1.251488,5.42,tower_wall
0.39157,-1.254997,5.48,tower_wall
0.397206,-1.259532,5.54,tower_wall
0.40275,-1.264688,5.6,tower_wall
0.408272,-1.270005,5.66,tower_wall
0.413839,-1.275007,5.72,tower_wall
0.419518,-1.279248,5.78,tower_wall
0.425364,-1.282349,5.84,tower_wall
0.369542,-1.276129,4.94,tower_wall
0.376462,-1.270824,5.0,tower_wall
0.383377,-1.265566,5.06,tower_wall
0.390231,-1.260825,5.12,tower_wall
0.396975,-1.257023,5.18,tower_wall
0.40357,-1.2545,5.24,tower_wall
0.409989,-1.253482,5.3,tower_wall
0.416221,-1.25406,5.36,tower_wall
0.422273,-1.256182,5.42,tower_wall
0.428167,-1.259658,5.48,tower_wall
0.433939,-1.264178,5.54,tower_wall
0.439636,-1.269339,5.6,tower_wall
0.445311,-1.274678,5.66,tower_wall
0.451022,-1.27972,5.72,tower_wall
0.45682,-1.284014,5.78,tower_wall
0.462751,-1.287176,5.84,tower_wall
0.361958,-1.287507,4.52,tower_wall
0.367971,-1.290788,4.58,tower_wall
0.374106,-1.292671,4.64,tower_wall
0.380378,-1.292986,4.7,tower_wall
0.38679,-1.291707,4.76,tower_wall
0.393332,-1.288947,4.82,tower_wall
0.399981,-1.284952,4.88,tower_wall
0.406708,-1.28008,4.94,tower_wall
0.413472,-1.274766,5.0,tower_wall
0.420235,-1.269484,5.06,tower_wall
0.426953,-1.264706,5.12,tower_wall
0.433589,-1.26086,5.18,tower_wall
0.440114,-1.258288,5.24,tower_wall
0.446507,-1.257221,5.3,tower_wall
0.452761,-1.257753,5.36,tower_wall
0.458879,-1.259837,5.42,tower_wall
0.464877,-1.263288,5.48,tower_wall
0.470782,-1.267796,5.54,tower_wall
0.476631,-1.272959,5.6,tower_wall
0.482462,-1.278316,5.66,tower_wall
0.488318,-1.283389,5.72,tower_wall
0.494239,-1.287723,5.78,tower_wall
0.500258,-1.290933,5.84,tower_wall
0.350818,-1.259914,4.04,tower_wall
0.357095,-1.260323,4.1,tower_wall
0.36328,-1.262297,4.16,tower_wall
0.369384,-1.265658,4.22,tower_wall
0.375425,-1.270108,4.28,tower_wall
0.381425,-1.275247,4.34,tower_wall
0.387413,-1.280618,4.4,tower_wall
0.393414,-1.28574,4.46,tower_wall
0.399457,-1.290156,4.52,tower_wall
0.405564,-1.293471,4.58,tower_wall
0.411752,-1.295389,4.64,tower_wall
0.418032,-1.29574,4.7,tower_wall
0.424405,-1.29449,4.76,tower_wall
0.430864,-1.291754,4.82,tower_wall
0.437396,-1.287773,4.88,tower_wall
0.443979,-1.282905,4.94,tower_wall
0.450589,-1.277584,5.0,tower_wall
0.457198,-1.272286,5.06,tower_wall
0.463778,-1.267483,5.12,tower_wall
0.470303,-1.263604,5.18,tower_wall
0.476755,-1.260997,5.24,tower_wall
0.48312,-1.259894,5.3,tower_wall
0.48939,-1.260393,5.36,tower_wall
0.495571,-1.262451,5.42,tower_wall
0.501671,-1.265882,5.48,tower_wall
0.507709,-1.270382,5.54,tower_wall
0.513708,-1.275547,5.6,tower_wall
0.519695,-1.280916,5.66,tower_wall
0.525698,-1.28601,5.72,tower_wall
0.531744,-1.290374,5.78,tower_wall
0.537855,-1.293617,5.84,tower_wall
0.381158,-1.262733,3.98,tower_wall
0.387494,-1.26152,4.04,tower_wall
0.393782,-1.26191,4.1,tower_wall
0.400025,-1.263867,4.16,tower_wall
0.406228,-1.267217,4.22,tower_wall
0.412398,-1.27166,4.28,tower_wall
0.462281,-1.289454,4.76,arcade
0.468465,-1.293439,4.82,tower_wall
0.47488,-1.289467,4.88,tower_wall
0.481322,-1.284601,4.94,tower_wall
0.487777,-1.279276,5.0,tower_wall
0.494231,-1.273968,5.06,tower_wall
0.550481,-1.289454,5.6,arcade
0.556984,-1.282476,5.66,tower_wall
0.563135,-1.287583,5.72,tower_wall
0.569308,-1.291965,5.78,tower_wall
0.575513,-1.295229,5.84,tower_wall
0.336,-1.29,3.2,arcade
0.3423,-1.292052,3.26,tower_wall
0.3486,-1.295465,3.32,tower_wall
0.3549,-1.297496,3.38,tower_wall
0.3612,-1.297964,3.44,tower_wall
0.4242,-1.262056,4.04,tower_wall
0.4305,-1.262439,4.1,tower_wall
0.4368,-1.26439,4.16,tower_wall
0.4431,-1.267736,4.22,tower_wall
0.4494,-1.272178,4.28,tower_wall
0.5061,-1.29,4.82,arcade
0.5124,-1.290032,4.88,tower_wall
0.5187,-1.285167,4.94,tower_wall
0.525,-1.279841,5.0,tower_wall
0.5313,-1.274529,5.06,tower_wall
0.5943,-1.29,5.66,arcade
0.6006,-1.288108,5.72,tower_wall
0.6069,-1.292495,5.78,tower_wall
0.6132,-1.295766,5.84,tower_wall
0.367219,-1.289454,3.14,arcade
0.373449,-1.287039,3.2,tower_wall
0.379879,-1.291523,3.26,tower_wall
0.386279,-1.294929,3.32,tower_wall
0.392637,-1.296953,3.38,tower_wall
0.398951,-1.297414,3.44,tower_wall
0.454642,-1.262733,3.98,tower_wall
0.460906,-1.26152,4.04,tower_wall
0.467218,-1.26191,4.1,tower_wall
0.473575,-1.263867,4.16,tower_wall
0.479972,-1.267217,4.22,tower_wall
0.486402,-1.27166,4.28,tower_wall
0.537319,-1.289454,4.76,arcade
0.543735,-1.293439,4.82,tower_wall
0.54992,-1.289467,4.88,tower_wall
0.556078,-1.284601,4.94,tower_wall
0.562223,-1.279276,5.0,tower_wall
0.568369,-1.273968,5.06,tower_wall
0.625519,-1.289454,5.6,arcade
0.631616,-1.282476,5.66,tower_wall
0.638065,-1.287583,5.72,tower_wall
0.644492,-1.291965,5.78,tower_wall
0.650887,-1.295229,5.84,tower_wall
0.310608,-1.294708,2.24,tower_wall
0.316758,-1.292128,2.3,tower_wall
0.322833,-1.288271,2.36,tower_wall
0.328854,-1.283482,2.42,tower_wall
0.334846,-1.278188,2.48,tower_wall
0.340836,-1.272863,2.54,tower_wall
0.346852,-1.267982,2.6,tower_wall
0.352919,-1.263981,2.66,tower_wall
0.359058,-1.261218,2.72,tower_wall
0.365283,-1.259938,2.78,tower_wall
0.371602,-1.260258,2.84,tower_wall
0.378012,-1.262147,2.9,tower_wall
0.384503,-1.265438,2.96,tower_wall
0.39106,-1.269836,3.02,tower_wall
0.397657,-1.274949,3.08,tower_wall
0.40427,-1.280319,3.14,tower_wall
0.41087,-1.285467,3.2,tower_wall
0.41743,-1.289934,3.26,tower_wall
0.423927,-1.29332,3.32,tower_wall
0.430344,-1.295322,3.38,tower_wall
0.43667,-1.295763,3.44,tower_wall
0.442902,-1.294601,3.5,tower_wall
0.449047,-1.291943,3.56,tower_wall
0.455119,-1.288024,3.62,tower_wall
0.461138,-1.283194,3.68,tower_wall
0.467128,-1.277886,3.74,tower_wall
0.473119,-1.272574,3.8,tower_wall
0.479137,-1.267731,3.86,tower_wall
0.485207,-1.263791,3.92,tower_wall
0.491351,-1.261105,3.98,tower_wall
0.497582,-1.259914,4.04,tower_wall
0.503905,-1.260323,4.1,tower_wall
0.51032,-1.262297,4.16,tower_wall
0.516816,-1.265658,4.22,tower_wall
0.523375,-1.270108,4.28,tower_wall
0.529975,-1.275247,4.34,tower_wall
0.536587,-1.280618,4.4,tower_wall
0.543186,-1.28574,4.46,tower_wall
0.549743,-1.290156,4.52,tower_wall
0.556236,-1.293471,4.58,tower_wall
0.562648,-1.295389,4.64,tower_wall
0.568968,-1.29574,4.7,tower_wall
0.575195,-1.29449,4.76,tower_wall
0.581336,-1.291754,4.82,tower_wall
0.587404,-1.287773,4.88,tower_wall
0.593421,-1.282905,4.94,tower_wall
0.599411,-1.277584,5.0,tower_wall
0.605402,-1.272286,5.06,tower_wall
0.611422,-1.267483,5.12,tower_wall
0.617497,-1.263604,5.18,tower_wall
0.623645,-1.260997,5.24,tower_wall
0.62988,-1.259894,5.3,tower_wall
0.63621,-1.260393,5.36,tower_wall
0.642629,-1.262451,5.42,tower_wall
0.649129,-1.265882,5.48,tower_wall
0.655691,-1.270382,5.54,tower_wall
0.662292,-1.275547,5.6,tower_wall
0.668905,-1.280916,5.66,tower_wall
0.675502,-1.28601,5.72,tower_wall
0.682056,-1.290374,5.78,tower_wall
0.688545,-1.293617,5.84,tower_wall
0.295646,-1.26698,1.76,tower_wall
0.302391,-1.272064,1.82,tower_wall
0.30916,-1.277422,1.88,tower_wall
0.315911,-1.282575,1.94,tower_wall
0.322603,-1.287064,2.0,tower_wall
0.329203,-1.290486,2.06,tower_wall
0.335682,-1.292536,2.12,tower_wall
0.342026,-1.293031,2.18,tower_wall
0.348229,-1.291927,2.24,tower_wall
0.354301,-1.289323,2.3,tower_wall
0.360262,-1.285451,2.36,tower_wall
0.366143,-1.280657,2.42,tower_wall
0.37198,-1.275369,2.48,tower_wall
0.377816,-1.270059,2.54,tower_wall
0.383691,-1.265203,2.6,tower_wall
0.389644,-1.261233,2.66,tower_wall
0.395705,-1.258505,2.72,tower_wall
0.401896,-1.257261,2.78,tower_wall
0.408227,-1.257614,2.84,tower_wall
0.414695,-1.259531,2.9,tower_wall
0.421284,-1.262842,2.96,tower_wall
0.42797,-1.26725,3.02,tower_wall
0.434717,-1.272362,3.08,tower_wall
0.441486,-1.277721,3.14,tower_wall
0.448235,-1.282849,3.2,tower_wall
0.454923,-1.287287,3.26,tower_wall
0.461516,-1.290639,3.32,tower_wall
0.467988,-1.292606,3.38,tower_wall
0.474324,-1.293011,3.44,tower_wall
0.48052,-1.29182,3.5,tower_wall
0.486585,-1.289137,3.56,tower_wall
0.492541,-1.285203,3.62,tower_wall
0.498418,-1.280369,3.68,tower_wall
0.504254,-1.275067,3.74,tower_wall
0.510091,-1.269771,3.8,tower_wall
