x,y,z,label
1.316146,0.0,0.2,tower_wall
1.324644,0.0,0.26,tower_wall
1.331592,0.0,0.32,tower_wall
1.336933,0.0,0.38,tower_wall
1.340753,0.0,0.44,tower_wall
1.348163,0.0,0.74,tower_wall
1.350378,0.0,0.8,tower_wall
1.353809,0.0,0.86,tower_wall
1.358714,0.0,0.92,tower_wall
1.365216,0.0,0.98,tower_wall
1.4496,0.0,1.52,arcade
1.463881,0.0,1.58,tower_wall
1.469133,0.0,1.64,tower_wall
1.472873,0.0,1.7,tower_wall
1.475329,0.0,1.76,tower_wall
1.5378,0.0,2.36,arcade
1.526006,0.0,2.42,tower_wall
1.537419,0.0,2.48,tower_wall
1.549098,0.0,2.54,tower_wall
1.560563,0.0,2.6,tower_wall
1.626,0.0,3.2,arcade
1.612255,0.0,3.26,tower_wall
1.61459,0.0,3.32,tower_wall
1.618176,0.0,3.38,tower_wall
1.623256,0.0,3.44,tower_wall
1.721765,0.0,4.04,tower_wall
1.728443,0.0,4.1,tower_wall
1.733518,0.0,4.16,tower_wall
1.7371,0.0,4.22,tower_wall
1.739432,0.0,4.28,tower_wall
1.7961,0.0,4.82,arcade
1.78036,0.0,4.88,tower_wall
1.791152,0.0,4.94,tower_wall
1.802618,0.0,5.0,tower_wall
1.814297,0.0,5.06,tower_wall
1.8843,0.0,5.66,arcade
1.874841,0.0,5.72,tower_wall
1.876359,0.0,5.78,tower_wall
1.878818,0.0,5.84,tower_wall
1.882561,0.0,5.9,tower_wall
1.903101,0.0,6.08,tower_wall
1.912886,0.0,6.14,tower_wall
1.923727,0.0,6.2,tower_wall
1.935218,0.0,6.26,tower_wall
1.946895,0.0,6.32,tower_wall
1.958277,0.0,6.38,tower_wall
1.968911,0.0,6.44,tower_wall
1.97841,0.0,6.5,tower_wall
1.986487,0.0,6.56,tower_wall
1.316388,0.037692,0.2,tower_wall
1.324449,0.037743,0.26,tower_wall
1.330929,0.037748,0.32,tower_wall
1.335813,0.037707,0.38,tower_wall
1.339227,0.037623,0.44,tower_wall
1.344762,0.037051,0.68,tower_wall
1.346332,0.036913,0.74,tower_wall
1.348869,0.036804,0.8,tower_wall
1.352709,0.036732,0.86,tower_wall
1.358072,0.036705,0.92,tower_wall
1.365042,0.036725,0.98,tower_wall
1.442754,0.037519,1.46,arcade
1.456801,0.037745,1.52,tower_wall
1.463191,0.037747,1.58,tower_wall
1.467988,0.037704,1.64,tower_wall
1.471327,0.037617,1.7,tower_wall
1.473471,0.037496,1.76,tower_wall
1.530954,0.037519,2.3,arcade
1.515957,0.0369,2.36,tower_wall
1.5269,0.037035,2.42,tower_wall
1.538436,0.037187,2.48,tower_wall
1.5501,0.037343,2.54,tower_wall
1.561412,0.037489,2.6,tower_wall
1.619154,0.037519,3.14,arcade
1.608797,0.037035,3.2,tower_wall
1.610455,0.0369,3.26,tower_wall
1.613123,0.036794,3.32,tower_wall
1.617125,0.036727,3.38,tower_wall
1.622667,0.036705,3.44,tower_wall
1.71369,0.037704,3.98,tower_wall
1.721492,0.037747,4.04,tower_wall
1.727701,0.037745,4.1,tower_wall
1.732325,0.037696,4.16,tower_wall
1.735514,0.037605,4.22,tower_wall
1.737546,0.037481,4.28,tower_wall
1.789254,0.037519,4.76,arcade
1.770971,0.036804,4.82,tower_wall
1.781035,0.036913,4.88,tower_wall
1.792065,0.037051,4.94,tower_wall
1.80364,0.037205,5.0,tower_wall
1.815289,0.03736,5.06,tower_wall
1.877454,0.037519,5.6,arcade
1.871731,0.037169,5.66,tower_wall
1.872838,0.037018,5.72,tower_wall
1.874591,0.036886,5.78,tower_wall
1.877394,0.036784,5.84,tower_wall
1.881561,0.036722,5.9,tower_wall
1.90345,0.036809,6.08,tower_wall
1.913578,0.036921,6.14,tower_wall
1.924651,0.037059,6.2,tower_wall
1.936243,0.037213,6.26,tower_wall
1.947881,0.037369,6.32,tower_wall
1.959088,0.037512,6.38,tower_wall
1.969426,0.037629,6.44,tower_wall
1.978534,0.037711,6.5,tower_wall
1.986162,0.037749,6.56,tower_wall
1.315411,0.075391,0.2,tower_wall
1.323021,0.075467,0.26,tower_wall
1.329033,0.07545,0.32,tower_wall
1.333473,0.075342,0.38,tower_wall
1.336507,0.075152,0.44,tower_wall
1.338427,0.074897,0.5,tower_wall
1.339624,0.0746,0.56,tower_wall
1.340554,0.074287,0.62,tower_wall
1.341697,0.073986,0.68,tower_wall
1.343513,0.073725,0.74,tower_wall
1.346403,0.073527,0.8,tower_wall
1.350671,0.073408,0.86,tower_wall
1.356499,0.073381,0.92,tower_wall
1.36393,0.073447,0.98,tower_wall
1.372861,0.0736,1.04,tower_wall
1.383059,0.073827,1.1,tower_wall
1.394174,0.074107,1.16,tower_wall
1.405777,0.074416,1.22,tower_wall
1.417394,0.074726,1.28,tower_wall
1.428551,0.075009,1.34,tower_wall
1.438812,0.075239,1.4,tower_wall
1.447825,0.075398,1.46,tower_wall
1.455347,0.075469,1.52,tower_wall
1.461269,0.075447,1.58,tower_wall
1.465625,0.075333,1.64,tower_wall
1.468588,0.075139,1.7,tower_wall
1.470456,0.074881,1.76,tower_wall
1.471626,0.074582,1.82,tower_wall
1.472555,0.074269,1.88,tower_wall
1.473724,0.07397,1.94,tower_wall
1.47559,0.073712,2.0,tower_wall
1.47855,0.073518,2.06,tower_wall
1.482902,0.073404,2.12,tower_wall
1.488821,0.073382,2.18,tower_wall
1.496339,0.073453,2.24,tower_wall
1.505349,0.073611,2.3,tower_wall
1.515608,0.073841,2.36,tower_wall
1.526763,0.074124,2.42,tower_wall
1.538379,0.074434,2.48,tower_wall
1.549983,0.074743,2.54,tower_wall
1.5611,0.075023,2.6,tower_wall
1.5713,0.07525,2.66,tower_wall
1.580235,0.075404,2.72,tower_wall
1.587669,0.07547,2.78,tower_wall
1.593501,0.075443,2.84,tower_wall
1.597772,0.075325,2.9,tower_wall
1.600665,0.075126,2.96,tower_wall
1.602483,0.074865,3.02,tower_wall
1.603627,0.074565,3.08,tower_wall
1.604557,0.074252,3.14,tower_wall
1.605753,0.073955,3.2,tower_wall
1.607671,0.073699,3.26,tower_wall
1.610702,0.073509,3.32,tower_wall
1.615139,0.073401,3.38,tower_wall
1.621147,0.073384,3.44,tower_wall
1.628753,0.07346,3.5,tower_wall
1.637841,0.073622,3.56,tower_wall
1.64816,0.073856,3.62,tower_wall
1.659353,0.074141,3.68,tower_wall
1.670981,0.074451,3.74,tower_wall
1.68257,0.074759,3.8,tower_wall
1.693647,0.075038,3.86,tower_wall
1.703784,0.075261,3.92,tower_wall
1.71264,0.07541,3.98,tower_wall
1.719985,0.075471,4.04,tower_wall
1.725727,0.075438,4.1,tower_wall
1.729915,0.075315,4.16,tower_wall
1.732739,0.075113,4.22,tower_wall
1.734508,0.074849,4.28,tower_wall
1.735627,0.074547,4.34,tower_wall
1.736559,0.074235,4.4,tower_wall
1.737784,0.073939,4.46,tower_wall
1.739755,0.073687,4.52,tower_wall
1.742858,0.073501,4.58,tower_wall
1.74738,0.073397,4.64,tower_wall
1.753478,0.073385,4.7,tower_wall
1.761172,0.073467,4.76,tower_wall
