x,y,z,label
-3.2,-0.22,5.11,entablature
-3.2,-0.22,5.18,entablature
-3.13,-0.22,5.11,entablature
-3.13,-0.22,5.18,entablature
-3.06,-0.22,5.11,entablature
-3.06,-0.22,5.18,entablature
-2.99,-0.22,5.11,entablature
-2.99,-0.22,5.18,entablature
-2.92,-0.22,5.11,entablature
-2.92,-0.22,5.18,entablature
-2.85,-0.22,5.11,entablature
-2.85,-0.22,5.18,entablature
-2.78,-0.22,5.11,entablature
-2.78,-0.22,5.18,entablature
-2.71,-0.22,5.11,entablature
-2.71,-0.22,5.18,entablature
-2.64,-0.22,5.11,entablature
-2.64,-0.22,5.18,entablature
-2.57,-0.22,5.11,entablature
-2.57,-0.22,5.18,entablature
-2.5,-0.22,5.11,entablature
-2.5,-0.22,5.18,entablature
-2.43,-0.22,5.11,entablature
-2.43,-0.22,5.18,entablature
-2.36,-0.22,5.11,entablature
-2.36,-0.22,5.18,entablature
-2.29,-0.22,5.11,entablature
-2.29,-0.22,5.18,entablature
-2.22,-0.22,5.11,entablature
-2.22,-0.22,5.18,entablature
-2.15,-0.22,5.11,entablature
-2.15,-0.22,5.18,entablature
-2.08,-0.22,5.11,entablature
-2.08,-0.22,5.18,entablature
-2.01,-0.22,5.11,entablature
-2.01,-0.22,5.18,entablature
-1.94,-0.22,5.11,entablature
-1.94,-0.22,5.18,entablature
-1.87,-0.22,5.11,entablature
-1.87,-0.22,5.18,entablature
-1.8,-0.22,5.11,entablature
-1.8,-0.22,5.18,entablature
-1.73,-0.22,5.11,entablature
-1.73,-0.22,5.18,entablature
-1.66,-0.22,5.11,entablature
-1.66,-0.22,5.18,entablature
-1.59,-0.22,5.11,entablature
-1.59,-0.22,5.18,entablature
-1.52,-0.22,5.11,entablature
-1.52,-0.22,5.18,entablature
-1.45,-0.22,5.11,entablature
-1.45,-0.22,5.18,entablature
-1.38,-0.22,5.11,entablature
-1.38,-0.22,5.18,entablature
-1.31,-0.22,5.11,entablature
-1.31,-0.22,5.18,entablature
-1.24,-0.22,5.11,entablature
-1.24,-0.22,5.18,entablature
-1.17,-0.22,5.11,entablature
-1.17,-0.22,5.18,entablature
-1.1,-0.22,5.11,entablature
-1.1,-0.22,5.18,entablature
-1.03,-0.22,5.11,entablature
-1.03,-0.22,5.18,entablature
-0.96,-0.22,5.11,entablature
-0.96,-0.22,5.18,entablature
-0.89,-0.22,5.11,entablature
-0.89,-0.22,5.18,entablature
-0.82,-0.22,5.11,entablature
-0.82,-0.22,5.18,entablature
-0.75,-0.22,5.11,entablature
-0.75,-0.22,5.18,entablature
-0.68,-0.22,5.11,entablature
-0.68,-0.22,5.18,entablature
-0.61,-0.22,5.11,entablature
-0.61,-0.22,5.18,entablature
