x,y,z,label
-3.13,-0.22,1.12,column
-3.13,-0.22,1.19,column
-3.13,-0.22,1.26,column
-3.13,-0.22,1.33,column
-3.13,-0.22,1.4,column
-3.13,-0.22,1.47,column
-3.13,-0.22,1.54,column
-3.13,-0.22,1.61,column
-3.13,-0.22,1.68,column
-3.13,-0.22,1.75,column
-3.13,-0.22,1.82,column
-3.13,-0.22,1.89,column
-3.13,-0.22,1.96,column
-3.13,-0.22,2.03,column
-3.13,-0.22,2.1,column
-3.13,-0.22,2.17,column
-3.13,-0.22,2.24,column
-3.13,-0.22,2.31,column
-3.13,-0.22,2.38,column
-3.13,-0.22,2.45,column
-3.13,-0.22,2.52,column
-3.13,-0.22,2.59,column
-3.13,-0.22,2.66,column
-3.13,-0.22,2.73,column
-3.13,-0.22,2.8,column
-3.13,-0.22,2.87,column
-3.06,-0.22,1.12,column
-3.06,-0.22,1.19,column
-3.06,-0.22,1.26,column
-3.06,-0.22,1.33,column
-3.06,-0.22,1.4,column
-3.06,-0.22,1.47,column
-3.06,-0.22,1.54,column
-3.06,-0.22,1.61,column
-3.06,-0.22,1.68,column
-3.06,-0.22,1.75,column
-3.06,-0.22,1.82,column
-3.06,-0.22,1.89,column
-3.06,-0.22,1.96,column
-3.06,-0.22,2.03,column
-3.06,-0.22,2.1,column
-3.06,-0.22,2.17,column
-3.06,-0.22,2.24,column
-3.06,-0.22,2.31,column
-3.06,-0.22,2.38,column
-3.06,-0.22,2.45,column
-3.06,-0.22,2.52,column
-3.06,-0.22,2.59,column
-3.06,-0.22,2.66,column
-3.06,-0.22,2.73,column
-3.06,-0.22,2.8,column
-3.06,-0.22,2.87,column
-2.99,-0.22,1.12,column
-2.99,-0.22,1.19,column
-2.99,-0.22,1.26,column
-2.99,-0.22,1.33,column
-2.99,-0.22,1.4,column
-2.99,-0.22,1.47,column
-2.99,-0.22,1.54,column
-2.99,-0.22,1.61,column
-2.99,-0.22,1.68,column
-2.99,-0.22,1.75,column
-2.99,-0.22,1.82,column
-2.99,-0.22,1.89,column
-2.99,-0.22,1.96,column
-2.99,-0.22,2.03,column
-2.99,-0.22,2.1,column
-2.99,-0.22,2.17,column
-2.99,-0.22,2.24,column
-2.99,-0.22,2.31,column
-2.99,-0.22,2.38,column
-2.99,-0.22,2.45,column
-2.99,-0.22,2.52,column
-2.99,-0.22,2.59,column
-2.99,-0.22,2.66,column
-2.99,-0.22,2.73,column
-2.99,-0.22,2.8,column
-2.99,-0.22,2.87,column
-2.92,-0.22,1.12,column
-2.92,-0.22,1.19,column
-2.92,-0.22,1.26,column
-2.92,-0.22,1.33,column
-2.92,-0.22,1.4,column
-2.92,-0.22,1.47,column
-2.92,-0.22,1.54,column
-2.92,-0.22,1.61,column
-2.92,-0.22,1.68,column
-2.92,-0.22,1.75,column
-2.92,-0.22,1.82,column
-2.92,-0.22,1.89,column
-2.92,-0.22,1.96,column
-2.92,-0.22,2.03,column
-2.92,-0.22,2.1,column
-2.92,-0.22,2.17,column
-2.92,-0.22,2.24,column
-2.92,-0.22,2.31,column
-2.92,-0.22,2.38,column
-2.92,-0.22,2.45,column
-2.92,-0.22,2.52,column
-2.92,-0.22,2.59,column
-2.92,-0.22,2.66,column
-2.92,-0.22,2.73,column
-2.92,-0.22,2.8,column
-2.92,-0.22,2.87,column
-2.85,-0.22,1.12,column
-2.85,-0.22,1.19,column
-2.85,-0.22,1.26,column
-2.85,-0.22,1.33,column
-2.85,-0.22,1.4,column
-2.85,-0.22,1.47,column
-2.85,-0.22,1.54,column
-2.85,-0.22,1.61,column
-2.85,-0.22,1.68,column
-2.85,-0.22,1.75,column
-2.85,-0.22,1.82,column
-2.85,-0.22,1.89,column
-2.85,-0.22,1.96,column
-2.85,-0.22,2.03,column
-2.85,-0.22,2.1,column
-2.85,-0.22,2.17,column
-2.85,-0.22,2.24,column
-2.85,-0.22,2.31,column
-2.85,-0.22,2.38,column
-2.85,-0.22,2.45,column
-2.85,-0.22,2.52,column
-2.85,-0.22,2.59,column
-2.85,-0.22,2.66,column
-2.85,-0.22,2.73,column
-2.85,-0.22,2.8,column
-2.85,-0.22,2.87,column
-2.78,-0.22,1.12,column
-2.78,-0.22,1.19,column
-2.78,-0.22,1.26,column
-2.78,-0.22,1.33,column
-2.78,-0.22,1.4,column
-2.78,-0.22,1.47,column
-2.78,-0.22,1.54,column
-2.78,-0.22,1.61,column
-2.78,-0.22,1.68,column
-2.78,-0.22,1.75,column
-2.78,-0.22,1.82,column
-2.78,-0.22,1.89,column
-2.78,-0.22,1.96,column
-2.78,-0.22,2.03,column
-2.78,-0.22,2.1,column
-2.78,-0.22,2.17,column
-2.78,-0.22,2.24,column
-2.78,-0.22,2.31,column
-2.78,-0.22,2.38,column
-2.78,-0.22,2.45,column
-2.78,-0.22,2.52,column
-2.78,-0.22,2.59,column
-2.78,-0.22,2.66,column
-2.78,-0.22,2.73,column
-2.78,-0.22,2.8,column
-2.78,-0.22,2.87,column
-2.71,-0.22,1.12,column
-2.71,-0.22,1.19,column
-2.71,-0.22,1.26,column
-2.71,-0.22,1.33,column
-2.71,-0.22,1.4,column
-2.71,-0.22,1.47,column
-2.71,-0.22,1.54,column
-2.71,-0.22,1.61,column
-2.71,-0.22,1.68,column
-2.71,-0.22,1.75,column
-2.71,-0.22,1.82,column
-2.71,-0.22,1.89,column
-2.71,-0.22,1.96,column
-2.71,-0.22,2.03,column
-2.71,-0.22,2.1,column
-2.71,-0.22,2.17,column
-2.71,-0.22,2.24,column
-2.71,-0.22,2.31,column
-2.71,-0.22,2.38,column
-2.71,-0.22,2.45,column
-2.71,-0.22,2.52,column
-2.71,-0.22,2.59,column
-2.71,-0.22,2.66,column
-2.71,-0.22,2.73,column
-2.71,-0.22,2.8,column
-2.71,-0.22,2.87,column
-2.64,-0.22,1.12,column
-2.64,-0.22,1.19,column
-2.64,-0.22,1.26,column
-2.64,-0.22,1.33,column
-2.64,-0.22,1.4,column
-2.64,-0.22,1.47,column
-2.64,-0.22,1.54,column
-2.64,-0.22,1.61,column
-2.64,-0.22,1.68,column
-2.64,-0.22,1.75,column
-2.64,-0.22,1.82,column
-2.64,-0.22,1.89,column
-2.64,-0.22,1.96,column
-2.64,-0.22,2.03,column
-2.64,-0.22,2.1,column
-2.64,-0.22,2.17,column
-2.64,-0.22,2.24,column
-2.64,-0.22,2.31,column
-2.64,-0.22,2.38,column
-2.64,-0.22,2.45,column
-2.64,-0.22,2.52,column
-2.64,-0.22,2.59,column
-2.64,-0.22,2.66,column
-2.64,-0.22,2.73,column
-2.64,-0.22,2.8,column
-2.64,-0.22,2.87,column
-2.57,-0.22,1.12,column
-2.57,-0.22,1.19,column
-2.57,-0.22,1.26,column
-2.57,-0.22,1.33,column
-2.57,-0.22,1.4,column
-2.57,-0.22,1.47,column
-2.57,-0.22,1.54,column
-2.57,-0.22,1.61,column
-2.57,-0.22,1.68,column
-2.57,-0.22,1.75,column
-2.57,-0.22,1.82,column
-2.57,-0.22,1.89,column
-2.57,-0.22,1.96,column
-2.57,-0.22,2.03,column
-2.57,-0.22,2.1,column
-2.57,-0.22,2.17,column
-2.57,-0.22,2.24,column
-2.57,-0.22,2.31,column
-2.57,-0.22,2.38,column
-2.57,-0.22,2.45,column
-2.57,-0.22,2.52,column
-2.57,-0.22,2.59,column
-2.57,-0.22,2.66,column
-2.57,-0.22,2.73,column
-2.57,-0.22,2.8,column
-2.57,-0.22,2.87,column
-2.5,-0.22,1.12,column
-2.5,-0.22,1.19,column
-2.5,-0.22,1.26,column
-2.5,-0.22,1.33,column
-2.5,-0.22,1.4,column
-2.5,-0.22,1.47,column
-2.5,-0.22,1.54,column
-2.5,-0.22,1.61,column
-2.5,-0.22,1.68,column
-2.5,-0.22,1.75,column
-2.5,-0.22,1.82,column
-2.5,-0.22,1.89,column
-2.5,-0.22,1.96,column
-2.5,-0.22,2.03,column
-2.5,-0.22,2.1,column
-2.5,-0.22,2.17,column
-2.5,-0.22,2.24,column
-2.5,-0.22,2.31,column
-2.5,-0.22,2.38,column
-2.5,-0.22,2.45,column
-2.5,-0.22,2.52,column
-2.5,-0.22,2.59,column
-2.5,-0.22,2.66,column
-2.5,-0.22,2.73,column
-2.5,-0.22,2.8,column
-2.5,-0.22,2.87,column
-2.43,-0.22,1.12,column
-2.43,-0.22,1.19,column
-2.43,-0.22,1.26,column
-2.43,-0.22,1.33,column
-2.43,-0.22,1.4,column
-2.43,-0.22,1.47,column
-2.43,-0.22,1.54,column
-2.43,-0.22,1.61,column
-2.43,-0.22,1.68,column
-2.43,-0.22,1.75,column
-2.43,-0.22,1.82,column
-2.43,-0.22,1.89,column
-2.43,-0.22,1.96,column
-2.43,-0.22,2.03,column
-2.43,-0.22,2.1,column
-2.43,-0.22,2.17,column
-2.43,-0.22,2.24,column
-2.43,-0.22,2.31,column
-2.43,-0.22,2.38,column
-2.43,-0.22,2.45,column
-2.43,-0.22,2.52,column
-2.43,-0.22,2.59,column
-2.43,-0.22,2.66,column
-2.43,-0.22,2.73,column
-2.43,-0.22,2.8,column
-2.43,-0.22,2.87,column
-2.36,-0.22,1.12,column
-2.36,-0.22,1.19,column
-2.36,-0.22,1.26,column
-2.36,-0.22,1.33,column
-2.36,-0.22,1.4,column
-2.36,-0.22,1.47,column
-2.36,-0.22,1.54,column
-2.36,-0.22,1.61,column
-2.36,-0.22,1.68,column
-2.36,-0.22,1.75,column
-2.36,-0.22,1.82,column
-2.36,-0.22,1.89,column
-2.36,-0.22,1.96,column
-2.36,-0.22,2.03,column
-2.36,-0.22,2.1,column
-2.36,-0.22,2.17,column
-2.36,-0.22,2.24,column
-2.36,-0.22,2.31,column
-2.36,-0.22,2.38,column
-2.36,-0.22,2.45,column
-2.36,-0.22,2.52,column
-2.36,-0.22,2.59,column
-2.36,-0.22,2.66,column
-2.36,-0.22,2.73,column
