x,y,z,label
6.2,0.0,0.0,facade
6.2,0.0,0.09,facade
6.2,0.0,0.18,facade
6.2,0.0,0.27,facade
6.2,0.0,0.36,facade
6.2,0.0,2.07,facade
6.2,0.0,2.16,facade
6.2,0.0,2.25,facade
6.2,0.0,2.34,facade
6.2,0.0,2.43,facade
6.2,0.0,2.52,facade
6.2,0.0,2.61,facade
6.2,0.0,2.7,facade
6.2,0.0,2.79,facade
6.2,0.0,2.88,facade
6.2,0.0,2.97,facade
6.2,0.0,3.06,facade
6.2,0.0,3.15,facade
6.2,0.0,3.24,facade
6.2,0.0,3.33,facade
6.2,0.0,3.42,facade
6.2,0.0,3.51,facade
6.2,0.0,3.6,facade
6.2,0.0,3.69,facade
6.19819,0.097863,0.0,facade
6.19819,0.097863,0.09,facade
6.19819,0.097863,0.18,facade
6.19819,0.097863,0.27,facade
6.19819,0.097863,0.36,facade
6.19819,0.097863,1.8,arch_edge
6.19819,0.097863,1.89,facade
6.19819,0.097863,1.98,facade
6.19819,0.097863,2.07,facade
6.19819,0.097863,2.16,facade
6.19819,0.097863,2.25,facade
6.19819,0.097863,2.34,facade
6.19819,0.097863,2.43,facade
6.19819,0.097863,2.52,facade
6.19819,0.097863,2.61,facade
6.19819,0.097863,2.7,facade
6.19819,0.097863,2.79,facade
6.19819,0.097863,2.88,facade
6.19819,0.097863,2.97,facade
6.19819,0.097863,3.06,facade
6.19819,0.097863,3.15,facade
6.19819,0.097863,3.24,facade
6.19819,0.097863,3.33,facade
6.19819,0.097863,3.42,facade
6.19819,0.097863,3.51,facade
6.19819,0.097863,3.6,facade
6.19819,0.097863,3.69,facade
6.19276,0.195669,0.0,facade
6.19276,0.195669,0.09,facade
6.19276,0.195669,0.18,facade
6.19276,0.195669,0.27,facade
6.19276,0.195669,0.36,facade
6.19276,0.195669,0.45,facade
6.19276,0.195669,0.54,facade
6.19276,0.195669,0.63,facade
6.19276,0.195669,0.72,facade
6.19276,0.195669,0.81,facade
6.19276,0.195669,0.9,facade
6.19276,0.195669,0.99,facade
6.19276,0.195669,1.08,facade
6.19276,0.195669,1.17,facade
6.19276,0.195669,1.26,facade
6.19276,0.195669,1.35,facade
6.19276,0.195669,1.44,facade
6.19276,0.195669,1.53,facade
6.19276,0.195669,1.62,facade
6.19276,0.195669,1.71,facade
6.19276,0.195669,1.8,facade
6.19276,0.195669,1.89,facade
6.19276,0.195669,1.98,facade
6.19276,0.195669,2.07,facade
6.19276,0.195669,2.16,facade
6.19276,0.195669,2.25,facade
6.19276,0.195669,2.34,facade
6.19276,0.195669,2.43,facade
6.19276,0.195669,2.52,facade
6.19276,0.195669,2.61,facade
6.19276,0.195669,2.7,facade
6.19276,0.195669,2.79,facade
6.19276,0.195669,2.88,facade
6.19276,0.195669,2.97,facade
6.19276,0.195669,3.06,facade
6.19276,0.195669,3.15,facade
6.19276,0.195669,3.24,facade
6.19276,0.195669,3.33,facade
6.19276,0.195669,3.42,facade
6.19276,0.195669,3.51,facade
6.19276,0.195669,3.6,facade
6.19276,0.195669,3.69,facade
6.183714,0.293361,0.0,facade
6.183714,0.293361,0.09,facade
6.183714,0.293361,0.18,facade
6.183714,0.293361,0.27,facade
6.183714,0.293361,0.36,facade
6.183714,0.293361,0.45,facade
6.183714,0.293361,0.54,facade
6.183714,0.293361,0.63,facade
6.183714,0.293361,0.72,facade
6.183714,0.293361,0.81,facade
6.183714,0.293361,0.9,facade
6.183714,0.293361,0.99,facade
6.183714,0.293361,1.08,facade
6.183714,0.293361,1.17,facade
6.183714,0.293361,1.26,facade
6.183714,0.293361,1.35,facade
6.183714,0.293361,1.44,facade
6.183714,0.293361,1.53,facade
6.183714,0.293361,1.62,facade
6.183714,0.293361,1.71,facade
6.183714,0.293361,1.8,facade
6.183714,0.293361,1.89,facade
6.183714,0.293361,1.98,facade
6.183714,0.293361,2.07,facade
6.183714,0.293361,2.16,facade
6.183714,0.293361,2.25,facade
6.183714,0.293361,2.34,facade
6.183714,0.293361,2.43,facade
6.183714,0.293361,2.52,facade
