x,y,z,label
-1.400727,-0.207253,0.135,pinc_display_clean
-1.406156,-0.166013,0.135,pinc_display_clean
-1.401431,-0.166013,0.18,pinc_display_clean
-1.410383,-0.124633,0.135,pinc_display_clean
-1.405658,-0.124633,0.18,pinc_display_clean
-1.413406,-0.083147,0.135,pinc_display_clean
-1.408681,-0.083147,0.18,pinc_display_clean
-1.41522,-0.041591,0.135,pinc_display_clean
-1.410495,-0.041591,0.18,pinc_display_clean
-1.415825,0.0,0.135,pinc_display_clean
-1.4111,0.0,0.18,pinc_display_clean
-1.41522,0.041591,0.135,pinc_display_clean
-1.410495,0.041591,0.18,pinc_display_clean
-1.413406,0.083147,0.135,pinc_display_clean
-1.408681,0.083147,0.18,pinc_display_clean
-1.410383,0.124633,0.135,pinc_display_clean
-1.405658,0.124633,0.18,pinc_display_clean
-1.406156,0.166013,0.135,pinc_display_clean
-1.401431,0.166013,0.18,pinc_display_clean
-1.400727,0.207253,0.135,pinc_display_clean
-1.367099,-0.370111,0.135,pinc_display_clean
-1.362374,-0.370111,0.18,pinc_display_clean
-1.377279,-0.329781,0.135,pinc_display_clean
-1.372554,-0.329781,0.18,pinc_display_clean
-1.386282,-0.289171,0.135,pinc_display_clean
-1.381557,-0.289171,0.18,pinc_display_clean
-1.3941,-0.248317,0.135,pinc_display_clean
-1.389375,-0.248317,0.18,pinc_display_clean
-1.396002,-0.207253,0.18,pinc_display_clean
-1.396002,0.207253,0.18,pinc_display_clean
-1.3941,0.248317,0.135,pinc_display_clean
-1.389375,0.248317,0.18,pinc_display_clean
-1.386282,0.289171,0.135,pinc_display_clean
-1.381557,0.289171,0.18,pinc_display_clean
-1.377279,0.329781,0.135,pinc_display_clean
-1.372554,0.329781,0.18,pinc_display_clean
-1.367099,0.370111,0.135,pinc_display_clean
-1.362374,0.370111,0.18,pinc_display_clean
-1.329585,-0.489089,0.135,pinc_display_clean
-1.32486,-0.489089,0.18,pinc_display_clean
-1.343242,-0.449799,0.135,pinc_display_clean
-1.338517,-0.449799,0.18,pinc_display_clean
-1.35575,-0.410129,0.135,pinc_display_clean
-1.351025,-0.410129,0.18,pinc_display_clean
-1.35575,0.410129,0.135,pinc_display_clean
-1.351025,0.410129,0.18,pinc_display_clean
-1.343242,0.449799,0.135,pinc_display_clean
-1.338517,0.449799,0.18,pinc_display_clean
-1.329585,0.489089,0.135,pinc_display_clean
-1.32486,0.489089,0.18,pinc_display_clean
-1.327749,0.589332,0.905,pinc_display_clean
-1.320924,0.589332,0.97,pinc_display_clean
-1.349195,1.066805,0.0,pinc_display_clean
-1.281845,-0.604344,0.135,pinc_display_clean
-1.298874,-0.566394,0.135,pinc_display_clean
-1.294149,-0.566394,0.18,pinc_display_clean
-1.314792,-0.527965,0.135,pinc_display_clean
-1.310067,-0.527965,0.18,pinc_display_clean
-1.288025,0.410129,0.78,pinc_display_clean
-1.2833,0.410129,0.825,pinc_display_clean
-1.314792,0.527965,0.135,pinc_display_clean
-1.310067,0.527965,0.18,pinc_display_clean
-1.298874,0.566394,0.135,pinc_display_clean
-1.294149,0.566394,0.18,pinc_display_clean
-1.289424,0.566394,0.225,pinc_display_clean
-1.309272,0.581679,0.905,pinc_display_clean
-1.302447,0.581679,0.97,pinc_display_clean
-1.3048605,0.5855055,1.035,pinc_display_clean
-1.281845,0.604344,0.135,pinc_display_clean
-1.318626,0.929194,0.08,pinc_display_clean
-1.29104,0.967397,0.08,pinc_display_clean
-1.286955,1.079883,0.0,pinc_display_clean
-1.317596,1.105595,0.0,pinc_display_clean
-1.284883,1.143449,0.0,pinc_display_clean
-1.2541164999999999,-0.660231,0.135,pinc_display_clean
-1.258995,-0.641783,0.18,pinc_display_clean
-1.27712,-0.604344,0.18,pinc_display_clean
-1.258075,0.0,2.685,pinc_display_clean
-1.25125,0.0,2.75,pinc_display_clean
-1.244425,0.0,2.815,pinc_display_clean
-1.275517,0.449799,0.78,pinc_display_clean
-1.270792,0.449799,0.825,pinc_display_clean
-1.266067,0.449799,0.87,pinc_display_clean
-1.26186,0.489089,0.78,pinc_display_clean
-1.257135,0.489089,0.825,pinc_display_clean
-1.25241,0.489089,0.87,pinc_display_clean
-1.247067,0.527965,0.78,pinc_display_clean
-1.242342,0.527965,0.825,pinc_display_clean
-1.27712,0.604344,0.18,pinc_display_clean
-1.272395,0.604344,0.225,pinc_display_clean
-1.2541164999999999,0.660231,0.135,pinc_display_clean
-1.258995,0.641783,0.18,pinc_display_clean
-1.25427,0.641783,0.225,pinc_display_clean
-1.242853,0.776965,0.16,pinc_display_clean
-1.262353,1.004781,0.08,pinc_display_clean
-1.251083,1.180336,0.0,pinc_display_clean
-1.202922,-0.750717,0.135,pinc_display_clean
-1.224241,-0.715,0.135,pinc_display_clean
-1.219516,-0.715,0.18,pinc_display_clean
-1.239788,-0.678679,0.18,pinc_display_clean
-1.238075,0.0,2.685,pinc_display_clean
-1.23125,0.0,2.75,pinc_display_clean
