x,y,z,label
-1.684466,-0.347814,0.0,reconstructed_only
-1.693869,-0.298675,0.0,reconstructed_only
-1.70184,-0.249283,0.0,reconstructed_only
-1.70837,-0.19968,0.0,reconstructed_only
-1.713455,-0.149908,0.0,reconstructed_only
-1.71709,-0.100009,0.0,reconstructed_only
-1.719272,-0.050026,0.0,reconstructed_only
-1.72,0.0,0.0,reconstructed_only
-1.719272,0.050026,0.0,reconstructed_only
-1.71709,0.100009,0.0,reconstructed_only
-1.713455,0.149908,0.0,reconstructed_only
-1.70837,0.19968,0.0,reconstructed_only
-1.70184,0.249283,0.0,reconstructed_only
-1.693869,0.298675,0.0,reconstructed_only
-1.684466,0.347814,0.0,reconstructed_only
-1.647742,-0.493302,0.0,reconstructed_only
-1.661392,-0.445169,0.0,reconstructed_only
-1.673637,-0.396659,0.0,reconstructed_only
-1.66864,-0.195036,0.0,reconstructed_only
-1.68,0.0,0.0,reconstructed_only
-1.66864,0.195036,0.0,reconstructed_only
-1.673637,0.396659,0.0,reconstructed_only
-1.661392,0.445169,0.0,reconstructed_only
-1.647742,0.493302,0.0,reconstructed_only
-1.616271,-0.588275,0.0,reconstructed_only
-1.632697,-0.541017,0.0,reconstructed_only
-1.634715,-0.387435,0.0,reconstructed_only
-1.600646,-0.188071,0.08,reconstructed_only
-1.605435,-0.141192,0.08,reconstructed_only
-1.608859,-0.094195,0.08,reconstructed_only
-1.610915,-0.047117,0.08,reconstructed_only
-1.6116,0.0,0.08,reconstructed_only
-1.610915,0.047117,0.08,reconstructed_only
-1.608859,0.094195,0.08,reconstructed_only
-1.605435,0.141192,0.08,reconstructed_only
-1.600646,0.188071,0.08,reconstructed_only
-1.634715,0.387435,0.0,reconstructed_only
-1.632697,0.541017,0.0,reconstructed_only
-1.616271,0.588275,0.0,reconstructed_only
-1.579332,-0.681257,0.0,reconstructed_only
-1.598478,-0.635035,0.0,reconstructed_only
-1.578684,-0.574594,0.0,reconstructed_only
-1.567933,-0.373598,0.08,reconstructed_only
-1.578132,-0.327592,0.08,reconstructed_only
-1.586989,-0.28131,0.08,reconstructed_only
-1.594495,-0.23479,0.08,reconstructed_only
-1.594495,0.23479,0.08,reconstructed_only
-1.586989,0.28131,0.08,reconstructed_only
-1.578132,0.327592,0.08,reconstructed_only
-1.567933,0.373598,0.08,reconstructed_only
-1.578684,0.574594,0.0,reconstructed_only
-1.598478,0.635035,0.0,reconstructed_only
-1.579332,0.681257,0.0,reconstructed_only
-1.537048,-0.771935,0.0,reconstructed_only
-1.558849,-0.726903,0.0,reconstructed_only
-1.529373,-0.509563,0.08,reconstructed_only
-1.543543,-0.464621,0.08,reconstructed_only
-1.5564,-0.419287,0.08,reconstructed_only
-1.549452,-0.181105,0.0,reconstructed_only
-1.541052,-0.181105,0.08,reconstructed_only
-1.56,0.0,0.0,reconstructed_only
-1.5516,0.0,0.08,reconstructed_only
-1.549452,0.181105,0.0,reconstructed_only
-1.541052,0.181105,0.08,reconstructed_only
-1.5564,0.419287,0.08,reconstructed_only
-1.543543,0.464621,0.08,reconstructed_only
-1.529373,0.509563,0.08,reconstructed_only
-1.558849,0.726903,0.0,reconstructed_only
-1.537048,0.771935,0.0,reconstructed_only
-1.489564,-0.86,0.0,reconstructed_only
-1.513946,-0.816313,0.0,reconstructed_only
-1.501303,-0.753983,0.0,reconstructed_only
-1.497143,-0.598114,0.08,reconstructed_only
-1.513902,-0.554073,0.08,reconstructed_only
-1.51795,-0.359761,0.0,reconstructed_only
-1.50955,-0.359761,0.08,reconstructed_only
-1.51795,0.359761,0.0,reconstructed_only
-1.50955,0.359761,0.08,reconstructed_only
-1.513902,0.554073,0.08,reconstructed_only
-1.497143,0.598114,0.08,reconstructed_only
-1.501303,0.753983,0.0,reconstructed_only
-1.513946,0.816313,0.0,reconstructed_only
-1.489564,0.86,0.0,reconstructed_only
-1.463921,-0.90296,0.0,reconstructed_only
-1.459819,-0.684642,0.08,reconstructed_only
-1.47911,-0.641649,0.08,reconstructed_only
-1.46592,-0.533551,0.0,reconstructed_only
-1.45752,-0.533551,0.08,reconstructed_only
-1.440715,-0.256999,0.16,reconstructed_only
-1.447574,-0.214499,0.16,reconstructed_only
-1.453193,-0.171818,0.16,reconstructed_only
-1.457568,-0.12899,0.16,reconstructed_only
-1.460696,-0.086054,0.16,reconstructed_only
-1.462574,-0.043045,0.16,reconstructed_only
-1.4632,0.0,0.16,reconstructed_only
-1.444975,0.0,0.905,reconstructed_only
-1.462574,0.043045,0.16,reconstructed_only
-1.460696,0.086054,0.16,reconstructed_only
-1.457568,0.12899,0.16,reconstructed_only
-1.453193,0.171818,0.16,reconstructed_only
-1.447574,0.214499,0.16,reconstructed_only
-1.440715,0.256999,0.16,reconstructed_only
-1.46592,0.533551,0.0,reconstructed_only
-1.45752,0.533551,0.08,reconstructed_only
-1.47911,0.641649,0.08,reconstructed_only
-1.459819,0.684642,0.08,reconstructed_only
-1.463921,0.90296,0.0,reconstructed_only
-1.408942,-0.986551,0.0,reconstructed_only
-1.4203295,-0.9341649999999999,0.0,reconstructed_only
-1.417526,-0.768853,0.08,reconstructed_only
-1.402355,-0.760768,0.265723,reconstructed_only
-1.439285,-0.727055,0.08,reconstructed_only
-1.413502,-0.741805,0.253931,reconstructed_only
-1.401024,-0.424469,0.16,reconstructed_only
-1.41277,-0.383052,0.16,reconstructed_only
-1.401185,-0.332087,0.0,reconstructed_only
-1.423306,-0.341311,0.16,reconstructed_only
-1.432624,-0.299282,0.16,reconstructed_only
-1.430263,-0.167174,0.0,reconstructed_only
-1.421863,-0.167174,0.08,reconstructed_only
-1.413463,-0.167174,0.16,reconstructed_only
-1.400933,-0.124633,0.225,reconstructed_only
-1.403956,-0.083147,0.225,reconstructed_only
-1.40577,-0.041591,0.225,reconstructed_only
-1.44,0.0,0.0,reconstructed_only
-1.4316,0.0,0.08,reconstructed_only
-1.4232,0.0,0.16,reconstructed_only
-1.406375,0.0,0.225,reconstructed_only
-1.424975,0.0,0.905,reconstructed_only
-1.42815,0.0,0.97,reconstructed_only
-1.421325,0.0,1.035,reconstructed_only
-1.4145,0.0,1.1,reconstructed_only
-1.417675,0.0,1.165,reconstructed_only
-1.41085,0.0,1.23,reconstructed_only
-1.404025,0.0,1.295,reconstructed_only
-1.40577,0.041591,0.225,reconstructed_only
-1.403956,0.083147,0.225,reconstructed_only
-1.400933,0.124633,0.225,reconstructed_only
-1.430263,0.167174,0.0,reconstructed_only
-1.421863,0.167174,0.08,reconstructed_only
-1.413463,0.167174,0.16,reconstructed_only
-1.432624,0.299282,0.16,reconstructed_only
-1.401185,0.332087,0.0,reconstructed_only
-1.423306,0.341311,0.16,reconstructed_only
-1.41277,0.383052,0.16,reconstructed_only
-1.401024,0.424469,0.16,reconstructed_only
-1.439285,0.727055,0.08,reconstructed_only
-1.417526,0.768853,0.08,reconstructed_only
-1.4203295,0.9341649999999999,0.0,reconstructed_only
-1.408942,0.986551,0.0,reconstructed_only
-1.379652,-1.027113,0.0,reconstructed_only
-1.370409,-0.850462,0.08,reconstructed_only
-1.394561,-0.81,0.08,reconstructed_only
-1.3673685,-0.816819,0.3011005,reconstructed_only
-1.394775,-0.773332,0.273585,reconstructed_only
-1.383186,-0.7920575,0.2853775,reconstructed_only
-1.394067,-0.700127,0.0,reconstructed_only
-1.385667,-0.700127,0.08,reconstructed_only
-1.373945,-0.50619,0.16,reconstructed_only
-1.388079,-0.465526,0.16,reconstructed_only
-1.392785,-0.332087,0.08,reconstructed_only
-1.384385,-0.332087,0.16,reconstructed_only
-1.367829,-0.329781,0.225,reconstructed_only
-1.376832,-0.289171,0.225,reconstructed_only
-1.38465,-0.248317,0.225,reconstructed_only
-1.391277,-0.207253,0.225,reconstructed_only
-1.396706,-0.166013,0.225,reconstructed_only
-1.397675,0.0,1.165,reconstructed_only
-1.39085,0.0,1.23,reconstructed_only
-1.384025,0.0,1.295,reconstructed_only
-1.3872,0.0,1.36,reconstructed_only
-1.380375,0.0,1.425,reconstructed_only
-1.37355,0.0,1.49,reconstructed_only
-1.396706,0.166013,0.225,reconstructed_only
-1.391277,0.207253,0.225,reconstructed_only
-1.38465,0.248317,0.225,reconstructed_only
-1.376832,0.289171,0.225,reconstructed_only
-1.392785,0.332087,0.08,reconstructed_only
-1.384385,0.332087,0.16,reconstructed_only
-1.367829,0.329781,0.225,reconstructed_only
-1.388079,0.465526,0.16,reconstructed_only
-1.373945,0.50619,0.16,reconstructed_only
-1.394067,0.700127,0.0,reconstructed_only
-1.385667,0.700127,0.08,reconstructed_only
-1.394561,0.81,0.08,reconstructed_only
-1.370409,0.850462,0.08,reconstructed_only
-1.379652,1.027113,0.0,reconstructed_only
-1.349195,-1.066805,0.0,reconstructed_only
-1.34509,-0.890205,0.08,reconstructed_only
-1.32166,-0.883593,0.34434,reconstructed_only
-1.3386243333333334,-0.8595236666666667,0.32861633333333334,reconstructed_only
-1.355234,-0.835232,0.312893,reconstructed_only
-1.324536,-0.625475,0.16,reconstructed_only
-1.34216,-0.586198,0.16,reconstructed_only
-1.327749,-0.589332,0.905,reconstructed_only
-1.320924,-0.589332,0.97,reconstructed_only
-1.358634,-0.546425,0.16,reconstructed_only
-1.353157,-0.492509,0.0,reconstructed_only
-1.344757,-0.492509,0.08,reconstructed_only
-1.336357,-0.492509,0.16,reconstructed_only
-1.320135,-0.489089,0.225,reconstructed_only
-1.333792,-0.449799,0.225,reconstructed_only
-1.3463,-0.410129,0.225,reconstructed_only
-1.357649,-0.370111,0.225,reconstructed_only
-1.326375,-0.248317,0.78,reconstructed_only
-1.32165,-0.248317,0.825,reconstructed_only
-1.333002,-0.207253,0.78,reconstructed_only
-1.328277,-0.207253,0.825,reconstructed_only
-1.323552,-0.207253,0.87,reconstructed_only
-1.338431,-0.166013,0.78,reconstructed_only
-1.333706,-0.166013,0.825,reconstructed_only
-1.328981,-0.166013,0.87,reconstructed_only
-1.342658,-0.124633,0.78,reconstructed_only
-1.337933,-0.124633,0.825,reconstructed_only
-1.333208,-0.124633,0.87,reconstructed_only
-1.345681,-0.083147,0.78,reconstructed_only
-1.340956,-0.083147,0.825,reconstructed_only
-1.336231,-0.083147,0.87,reconstructed_only
-1.347495,-0.041591,0.78,reconstructed_only
-1.34277,-0.041591,0.825,reconstructed_only
-1.338045,-0.041591,0.87,reconstructed_only
-1.3481,0.0,0.78,reconstructed_only
-1.343375,0.0,0.825,reconstructed_only
-1.33865,0.0,0.87,reconstructed_only
-1.34835,0.0,1.73,reconstructed_only
-1.341525,0.0,1.795,reconstructed_only
-1.3347,0.0,1.86,reconstructed_only
-1.337875,0.0,1.925,reconstructed_only
-1.33105,0.0,1.99,reconstructed_only
-1.324225,0.0,2.055,reconstructed_only
-1.347495,0.041591,0.78,reconstructed_only
-1.34277,0.041591,0.825,reconstructed_only
-1.338045,0.041591,0.87,reconstructed_only
-1.345681,0.083147,0.78,reconstructed_only
-1.340956,0.083147,0.825,reconstructed_only
-1.336231,0.083147,0.87,reconstructed_only
-1.342658,0.124633,0.78,reconstructed_only
-1.337933,0.124633,0.825,reconstructed_only
-1.333208,0.124633,0.87,reconstructed_only
-1.338431,0.166013,0.78,reconstructed_only
-1.333706,0.166013,0.825,reconstructed_only
-1.328981,0.166013,0.87,reconstructed_only
-1.333002,0.207253,0.78,reconstructed_only
-1.328277,0.207253,0.825,reconstructed_only
-1.323552,0.207253,0.87,reconstructed_only
-1.326375,0.248317,0.78,reconstructed_only
-1.32165,0.248317,0.825,reconstructed_only
-1.357649,0.370111,0.225,reconstructed_only
-1.3463,0.410129,0.225,reconstructed_only
-1.333792,0.449799,0.225,reconstructed_only
-1.353157,0.492509,0.0,reconstructed_only
-1.344757,0.492509,0.08,reconstructed_only
-1.336357,0.492509,0.16,reconstructed_only
-1.320135,0.489089,0.225,reconstructed_only
-1.358634,0.546425,0.16,reconstructed_only
-1.34216,0.586198,0.16,reconstructed_only
-1.324536,0.625475,0.16,reconstructed_only
-1.34509,0.890205,0.08,reconstructed_only
-1.284883,-1.143449,0.0,reconstructed_only
-1.317596,-1.105595,0.0,reconstructed_only
-1.286955,-1.079883,0.0,reconstructed_only
-1.29104,-0.967397,0.08,reconstructed_only
-1.318626,-0.929194,0.08,reconstructed_only
-1.286402,-0.930857,0.375786,reconstructed_only
-1.313002,-0.895514,0.352201,reconstructed_only
-1.299806,-0.9132565,0.36399400000000004,reconstructed_only
-1.303361,-0.857234,0.0,reconstructed_only
-1.294961,-0.857234,0.08,reconstructed_only
-1.285898,-0.702409,0.16,reconstructed_only
-1.286831,-0.646271,0.0,reconstructed_only
-1.305776,-0.664223,0.16,reconstructed_only
-1.289424,-0.566394,0.225,reconstructed_only
-1.309272,-0.581679,0.905,reconstructed_only
-1.302447,-0.581679,0.97,reconstructed_only
-1.3048605,-0.5855055,1.035,reconstructed_only
-1.2980355000000001,-0.5855055,1.1,reconstructed_only
-1.2912105,-0.5855055,1.165,reconstructed_only
-1.293624,-0.589332,1.23,reconstructed_only
-1.286799,-0.589332,1.295,reconstructed_only
-1.305342,-0.527965,0.225,reconstructed_only
-1.288025,-0.410129,0.78,reconstructed_only
-1.2833,-0.410129,0.825,reconstructed_only
-1.299374,-0.370111,0.78,reconstructed_only
-1.294649,-0.370111,0.825,reconstructed_only
-1.289924,-0.370111,0.87,reconstructed_only
-1.309554,-0.329781,0.78,reconstructed_only
-1.304829,-0.329781,0.825,reconstructed_only
-1.300104,-0.329781,0.87,reconstructed_only
-1.284419,-0.304413,0.0,reconstructed_only
-1.318557,-0.289171,0.78,reconstructed_only
-1.313832,-0.289171,0.825,reconstructed_only
-1.309107,-0.289171,0.87,reconstructed_only
-1.316925,-0.248317,0.87,reconstructed_only
-1.311075,-0.153243,0.0,reconstructed_only
-1.302675,-0.153243,0.08,reconstructed_only
-1.294275,-0.153243,0.16,reconstructed_only
-1.32,0.0,0.0,reconstructed_only
-1.3116,0.0,0.08,reconstructed_only
-1.3032,0.0,0.16,reconstructed_only
-1.317875,0.0,1.925,reconstructed_only
-1.31105,0.0,1.99,reconstructed_only
-1.304225,0.0,2.055,reconstructed_only
-1.3074,0.0,2.12,reconstructed_only
-1.300575,0.0,2.185,reconstructed_only
-1.29375,0.0,2.25,reconstructed_only
-1.296925,0.0,2.315,reconstructed_only
-1.311075,0.153243,0.0,reconstructed_only
-1.302675,0.153243,0.08,reconstructed_only
-1.294275,0.153243,0.16,reconstructed_only
-1.316925,0.248317,0.87,reconstructed_only
-1.284419,0.304413,0.0,reconstructed_only
-1.318557,0.289171,0.78,reconstructed_only
-1.313832,0.289171,0.825,reconstructed_only
-1.309107,0.289171,0.87,reconstructed_only
-1.309554,0.329781,0.78,reconstructed_only
-1.304829,0.329781,0.825,reconstructed_only
-1.300104,0.329781,0.87,reconstructed_only
-1.299374,0.370111,0.78,reconstructed_only
-1.294649,0.370111,0.825,reconstructed_only
-1.289924,0.370111,0.87,reconstructed_only
-1.305342,0.527965,0.225,reconstructed_only
-1.2980355000000001,0.5855055,1.1,reconstructed_only
-1.2912105,0.5855055,1.165,reconstructed_only
-1.293624,0.589332,1.23,reconstructed_only
-1.286799,0.589332,1.295,reconstructed_only
-1.286831,0.646271,0.0,reconstructed_only
-1.305776,0.664223,0.16,reconstructed_only
-1.285898,0.702409,0.16,reconstructed_only
-1.303361,0.857234,0.0,reconstructed_only
-1.294961,0.857234,0.08,reconstructed_only
-1.251083,-1.180336,0.0,reconstructed_only
-1.262353,-1.004781,0.08,reconstructed_only
-1.258878,-0.965551,0.399371,reconstructed_only
-1.244761,-0.9826375,0.4111635,reconstructed_only
-1.2727415,-0.9482775,0.3875785,reconstructed_only
-1.242853,-0.776965,0.16,reconstructed_only
-1.264918,-0.74,0.16,reconstructed_only
-1.278431,-0.646271,0.08,reconstructed_only
-1.270031,-0.646271,0.16,reconstructed_only
-1.25427,-0.641783,0.225,reconstructed_only
-1.272395,-0.604344,0.225,reconstructed_only
-1.275147,-0.581679,1.23,reconstructed_only
-1.268322,-0.581679,1.295,reconstructed_only
-1.2707355,-0.5855055,1.36,reconstructed_only
-1.2639105000000002,-0.5855055,1.425,reconstructed_only
-1.2570855,-0.5855055,1.49,reconstructed_only
-1.241124,-0.589332,1.73,reconstructed_only
-1.247067,-0.527965,0.78,reconstructed_only
-1.242342,-0.527965,0.825,reconstructed_only
-1.26186,-0.489089,0.78,reconstructed_only
-1.257135,-0.489089,0.825,reconstructed_only
-1.25241,-0.489089,0.87,reconstructed_only
-1.240394,-0.451467,0.0,reconstructed_only
-1.275517,-0.449799,0.78,reconstructed_only
-1.270792,-0.449799,0.825,reconstructed_only
-1.266067,-0.449799,0.87,reconstructed_only
-1.278575,-0.410129,0.87,reconstructed_only
-1.276019,-0.304413,0.08,reconstructed_only
-1.267619,-0.304413,0.16,reconstructed_only
-1.247725,-0.22371,0.2,reconstructed_only
-1.245709,-0.224466,0.26,reconstructed_only
-1.24258,-0.225025,0.32,reconstructed_only
-1.246377,-0.207253,1.605,reconstructed_only
-1.241652,-0.207253,1.65,reconstructed_only
-1.255024,-0.18691,0.2,reconstructed_only
-1.252743,-0.187499,0.26,reconstructed_only
-1.24925,-0.18791,0.32,reconstructed_only
-1.244296,-0.188107,0.38,reconstructed_only
-1.251806,-0.166013,1.605,reconstructed_only
-1.247081,-0.166013,1.65,reconstructed_only
-1.242356,-0.166013,1.695,reconstructed_only
-1.261189,-0.149866,0.2,reconstructed_only
-1.258605,-0.150301,0.26,reconstructed_only
-1.254721,-0.150583,0.32,reconstructed_only
-1.24932,-0.150688,0.38,reconstructed_only
-1.242323,-0.150607,0.44,reconstructed_only
-1.256033,-0.124633,1.605,reconstructed_only
-1.251308,-0.124633,1.65,reconstructed_only
-1.246583,-0.124633,1.695,reconstructed_only
-1.266201,-0.112615,0.2,reconstructed_only
-1.26328,-0.112911,0.26,reconstructed_only
-1.258979,-0.113086,0.32,reconstructed_only
-1.25312,-0.113125,0.38,reconstructed_only
-1.245662,-0.113023,0.44,reconstructed_only
-1.259056,-0.083147,1.605,reconstructed_only
-1.254331,-0.083147,1.65,reconstructed_only
-1.249606,-0.083147,1.695,reconstructed_only
-1.270041,-0.075195,0.2,reconstructed_only
-1.266752,-0.07537,0.26,reconstructed_only
-1.262015,-0.075461,0.32,reconstructed_only
-1.255689,-0.075459,0.38,reconstructed_only
-1.247778,-0.075366,0.44,reconstructed_only
-1.26087,-0.041591,1.605,reconstructed_only
-1.256145,-0.041591,1.65,reconstructed_only
-1.25142,-0.041591,1.695,reconstructed_only
-1.272694,-0.037643,0.2,reconstructed_only
-1.26901,-0.037719,0.26,reconstructed_only
-1.263821,-0.037751,0.32,reconstructed_only
-1.257027,-0.037737,0.38,reconstructed_only
-1.248673,-0.037677,0.44,reconstructed_only
-1.274267,0.018846,0.2,reconstructed_only
-1.2699465,0.0188715,0.26,reconstructed_only
-1.2640605,0.018874,0.32,reconstructed_only
-1.256573,0.0188535,0.38,reconstructed_only
-1.24759,0.0188115,0.44,reconstructed_only
-1.261475,0.0,1.605,reconstructed_only
-1.25675,0.0,1.65,reconstructed_only
-1.252025,0.0,1.695,reconstructed_only
-1.276925,0.0,2.315,reconstructed_only
-1.261725,0.0,2.555,reconstructed_only
-1.2549,0.0,2.62,reconstructed_only
-1.273411,0.075391,0.2,reconstructed_only
-1.268421,0.075467,0.26,reconstructed_only
-1.261833,0.07545,0.32,reconstructed_only
-1.253673,0.075342,0.38,reconstructed_only
-1.244107,0.075152,0.44,reconstructed_only
-1.26087,0.041591,1.605,reconstructed_only
-1.256145,0.041591,1.65,reconstructed_only
-1.25142,0.041591,1.695,reconstructed_only
-1.27121,0.113054,0.2,reconstructed_only
-1.26576,0.113128,0.26,reconstructed_only
-1.258709,0.113062,0.32,reconstructed_only
-1.250123,0.112862,0.38,reconstructed_only
-1.240206,0.112546,0.44,reconstructed_only
-1.259056,0.083147,1.605,reconstructed_only
-1.254331,0.083147,1.65,reconstructed_only
-1.249606,0.083147,1.695,reconstructed_only
-1.267783,0.150637,0.2,reconstructed_only
-1.26187,0.150682,0.26,reconstructed_only
-1.254365,0.150541,0.32,reconstructed_only
-1.245375,0.150227,0.38,reconstructed_only
-1.256033,0.124633,1.605,reconstructed_only
-1.251308,0.124633,1.65,reconstructed_only
-1.246583,0.124633,1.695,reconstructed_only
-1.263131,0.188097,0.2,reconstructed_only
-1.256756,0.188087,0.26,reconstructed_only
-1.248812,0.187846,0.32,reconstructed_only
-1.251806,0.166013,1.605,reconstructed_only
-1.247081,0.166013,1.65,reconstructed_only
-1.242356,0.166013,1.695,reconstructed_only
-1.257258,0.225391,0.2,reconstructed_only
-1.250429,0.225298,0.26,reconstructed_only
-1.242065,0.224934,0.32,reconstructed_only
-1.246377,0.207253,1.605,reconstructed_only
-1.241652,0.207253,1.65,reconstructed_only
-1.250173,0.262476,0.2,reconstructed_only
-1.242899,0.262275,0.26,reconstructed_only
-1.276019,0.304413,0.08,reconstructed_only
-1.267619,0.304413,0.16,reconstructed_only
-1.241884,0.299309,0.2,reconstructed_only
-1.278575,0.410129,0.87,reconstructed_only
-1.240394,0.451467,0.0,reconstructed_only
