x,y,z,label
-3.2,-0.22,3.22,reconstructed_only
-3.2,-0.22,3.24,reconstructed_only
-3.2,-0.22,3.29,reconstructed_only
-3.2,-0.22,3.33,reconstructed_only
-3.2,-0.22,3.36,reconstructed_only
-3.2,-0.22,3.425,reconstructed_only
-3.2,-0.22,3.505,reconstructed_only
-3.2,-0.22,3.57,reconstructed_only
-3.2,-0.22,3.6,reconstructed_only
-3.2,-0.22,3.64,reconstructed_only
-3.2,-0.22,3.7,reconstructed_only
-3.2,-0.22,3.72,reconstructed_only
-3.2,-0.22,3.78,reconstructed_only
-3.2,-0.22,3.8600000000000003,reconstructed_only
-3.2,-0.22,3.92,reconstructed_only
-3.2,-0.22,3.975,reconstructed_only
-3.2,-0.22,4.055,reconstructed_only
-3.2,-0.22,4.135,reconstructed_only
-3.2,-0.22,4.215,reconstructed_only
-3.2,-0.22,4.27,reconstructed_only
-3.2,-0.22,4.33,reconstructed_only
-3.2,-0.22,4.41,reconstructed_only
-3.2,-0.22,4.49,reconstructed_only
-3.2,-0.22,4.55,reconstructed_only
-3.2,-0.22,4.59,reconstructed_only
-3.2,-0.22,4.62,reconstructed_only
-3.2,-0.22,4.68,reconstructed_only
-3.2,-0.22,4.69,reconstructed_only
-3.2,-0.22,4.76,reconstructed_only
-3.2,-0.22,4.77,reconstructed_only
-3.2,-0.22,4.83,reconstructed_only
-3.2,-0.22,4.86,reconstructed_only
-3.2,-0.22,4.9,reconstructed_only
-3.2,-0.22,4.95,reconstructed_only
-3.2,-0.22,4.97,reconstructed_only
-3.2,-0.22,5.04,reconstructed_only
-3.2,-0.22,5.11,reconstructed_only
-3.2,-0.22,5.13,reconstructed_only
-3.2,-0.22,5.18,reconstructed_only
-3.2,-0.22,5.2,reconstructed_only
-3.2,-0.15,3.24,reconstructed_only
-3.2,-0.15,3.33,reconstructed_only
-3.2,-0.15,3.42,reconstructed_only
-3.2,-0.15,3.51,reconstructed_only
-3.2,-0.15,3.6,reconstructed_only
-3.2,-0.15,3.69,reconstructed_only
-3.2,-0.15,3.72,reconstructed_only
-3.2,-0.15,3.78,reconstructed_only
-3.2,-0.15,3.87,reconstructed_only
-3.2,-0.15,3.96,reconstructed_only
-3.2,-0.15,4.05,reconstructed_only
-3.2,-0.15,4.14,reconstructed_only
-3.2,-0.15,4.23,reconstructed_only
-3.2,-0.15,4.32,reconstructed_only
-3.2,-0.15,4.41,reconstructed_only
-3.2,-0.15,4.5,reconstructed_only
-3.2,-0.15,4.59,reconstructed_only
-3.2,-0.15,4.68,reconstructed_only
-3.2,-0.15,4.77,reconstructed_only
-3.2,-0.15,4.86,reconstructed_only
-3.2,-0.15,4.95,reconstructed_only
-3.2,-0.15,5.04,reconstructed_only
-3.2,-0.15,5.13,reconstructed_only
-3.2,-0.15,5.2,reconstructed_only
-3.2,-0.08,3.24,reconstructed_only
-3.2,-0.08,3.33,reconstructed_only
-3.2,-0.08,3.42,reconstructed_only
-3.2,-0.08,3.51,reconstructed_only
-3.2,-0.08,3.6,reconstructed_only
-3.2,-0.08,3.69,reconstructed_only
-3.2,-0.08,3.72,reconstructed_only
-3.2,-0.08,3.78,reconstructed_only
-3.2,-0.08,3.87,reconstructed_only
-3.2,-0.08,3.96,reconstructed_only
-3.2,-0.08,4.05,reconstructed_only
-3.2,-0.08,4.14,reconstructed_only
-3.2,-0.08,4.23,reconstructed_only
-3.2,-0.08,4.32,reconstructed_only
-3.2,-0.08,4.41,reconstructed_only
-3.2,-0.08,4.5,reconstructed_only
-3.2,-0.08,4.59,reconstructed_only
-3.2,-0.08,4.68,reconstructed_only
-3.2,-0.08,4.77,reconstructed_only
-3.2,-0.08,4.86,reconstructed_only
-3.2,-0.08,4.95,reconstructed_only
-3.2,-0.08,5.04,reconstructed_only
-3.2,-0.08,5.13,reconstructed_only
-3.2,-0.08,5.2,reconstructed_only
-3.2,-0.01,3.24,reconstructed_only
-3.2,-0.01,3.33,reconstructed_only
-3.2,-0.01,3.42,reconstructed_only
-3.2,-0.01,3.51,reconstructed_only
-3.2,-0.01,3.6,reconstructed_only
-3.2,-0.01,3.69,reconstructed_only
-3.2,-0.01,3.72,reconstructed_only
-3.2,-0.01,3.78,reconstructed_only
-3.2,-0.01,3.87,reconstructed_only
-3.2,-0.01,3.96,reconstructed_only
-3.2,-0.01,4.05,reconstructed_only
-3.2,-0.01,4.14,reconstructed_only
-3.2,-0.01,4.23,reconstructed_only
-3.2,-0.01,4.32,reconstructed_only
-3.2,-0.01,4.41,reconstructed_only
-3.2,-0.01,4.5,reconstructed_only
-3.2,-0.01,4.59,reconstructed_only
-3.2,-0.01,4.68,reconstructed_only
-3.2,-0.01,4.77,reconstructed_only
-3.2,-0.01,4.86,reconstructed_only
-3.2,-0.01,4.95,reconstructed_only
-3.2,-0.01,5.04,reconstructed_only
-3.2,-0.01,5.13,reconstructed_only
-3.2,-0.01,5.2,reconstructed_only
-3.2,0.06,3.24,reconstructed_only
-3.2,0.06,3.33,reconstructed_only
-3.2,0.06,3.42,reconstructed_only
-3.2,0.06,3.51,reconstructed_only
-3.2,0.06,3.6,reconstructed_only
-3.2,0.06,3.69,reconstructed_only
-3.2,0.06,3.72,reconstructed_only
-3.2,0.06,3.78,reconstructed_only
-3.2,0.06,3.87,reconstructed_only
-3.2,0.06,3.96,reconstructed_only
-3.2,0.06,4.05,reconstructed_only
-3.2,0.06,4.14,reconstructed_only
-3.2,0.06,4.23,reconstructed_only
-3.2,0.06,4.32,reconstructed_only
-3.2,0.06,4.41,reconstructed_only
-3.2,0.06,4.5,reconstructed_only
-3.2,0.06,4.59,reconstructed_only
-3.2,0.06,4.68,reconstructed_only
-3.2,0.06,4.77,reconstructed_only
-3.2,0.06,4.86,reconstructed_only
-3.2,0.06,4.95,reconstructed_only
-3.2,0.06,5.04,reconstructed_only
-3.2,0.06,5.13,reconstructed_only
-3.2,0.06,5.2,reconstructed_only
-3.2,0.13,3.24,reconstructed_only
-3.2,0.13,3.33,reconstructed_only
-3.2,0.13,3.42,reconstructed_only
-3.2,0.13,3.51,reconstructed_only
-3.2,0.13,3.6,reconstructed_only
-3.2,0.13,3.69,reconstructed_only
-3.2,0.13,3.72,reconstructed_only
-3.2,0.13,3.78,reconstructed_only
-3.2,0.13,3.87,reconstructed_only
-3.2,0.13,3.96,reconstructed_only
-3.2,0.13,4.05,reconstructed_only
-3.2,0.13,4.14,reconstructed_only
-3.2,0.13,4.23,reconstructed_only
-3.2,0.13,4.32,reconstructed_only
-3.2,0.13,4.41,reconstructed_only
-3.2,0.13,4.5,reconstructed_only
-3.2,0.13,4.59,reconstructed_only
-3.2,0.13,4.68,reconstructed_only
-3.2,0.13,4.77,reconstructed_only
-3.2,0.13,4.86,reconstructed_only
-3.2,0.13,4.95,reconstructed_only
-3.2,0.13,5.04,reconstructed_only
-3.2,0.13,5.13,reconstructed_only
-3.2,0.13,5.2,reconstructed_only
-3.2,0.22,3.22,reconstructed_only
-3.2,0.2,3.24,reconstructed_only
